cell_id,Fulmarus glacialis,Fulmarus glacialis glacialis/auduboni,Fulmarus glacialis rodgersii
840029dffffffff,2.0,2.0,0.0
84002d7ffffffff,3.0,2.0,0.0
8401509ffffffff,2.0,2.0,0.0
8401517ffffffff,8.0,8.0,0.0
840151dffffffff,2.0,2.0,0.0
8401523ffffffff,2.0,2.0,0.0
840153bffffffff,16.0,16.0,0.0
8401567ffffffff,2.0,2.0,0.0
8401585ffffffff,8.0,8.0,0.0
84015a1ffffffff,21.0,21.0,0.0
84015a3ffffffff,19.0,19.0,0.0
84015a5ffffffff,2.0,2.0,0.0
84015a9ffffffff,12.0,10.0,0.0
84015abffffffff,7.0,7.0,0.0
84015adffffffff,2.0,2.0,0.0
84015e1ffffffff,116.0,116.0,0.0
84015e3ffffffff,9.0,9.0,0.0
84015e9ffffffff,1.0,1.0,0.0
84024c1ffffffff,6.0,0.0,0.0
84024c9ffffffff,4.0,0.0,0.0
840250bffffffff,1.0,1.0,0.0
8402935ffffffff,1.0,0.0,0.0
840626bffffffff,1.0,0.0,0.0
8406893ffffffff,1.0,1.0,0.0
840689bffffffff,5.0,5.0,0.0
84068d5ffffffff,1.0,0.0,0.0
8406967ffffffff,1.0,0.0,0.0
8406d1dffffffff,1.0,1.0,0.0
8406d45ffffffff,3.0,3.0,0.0
8406d4dffffffff,1.0,1.0,0.0
8406d69ffffffff,1.0,0.0,0.0
8406d6bffffffff,1.0,1.0,0.0
8407043ffffffff,5.0,0.0,0.0
840755dffffffff,5.0,4.0,0.0
840758dffffffff,2.0,2.0,0.0
84075d9ffffffff,2.0,0.0,0.0
8407711ffffffff,1.0,1.0,0.0
8407733ffffffff,43.0,41.0,0.0
840773bffffffff,4.0,4.0,0.0
8409987ffffffff,1.0,0.0,0.0
84099a5ffffffff,1.0,1.0,0.0
84099bdffffffff,2.0,0.0,0.0
840c415ffffffff,5.0,0.0,0.0
840c423ffffffff,3.0,0.0,3.0
840c431ffffffff,6.0,0.0,6.0
840c435ffffffff,5.0,0.0,5.0
840c437ffffffff,1.0,0.0,1.0
840c43dffffffff,4.0,0.0,4.0
840c503ffffffff,2.0,0.0,0.0
840c51dffffffff,2.0,0.0,0.0
840c53bffffffff,2.0,0.0,0.0
840c5a1ffffffff,2.0,0.0,0.0
840c5a7ffffffff,2.0,0.0,0.0
840c5adffffffff,2.0,0.0,0.0
840c5e5ffffffff,2.0,0.0,0.0
840c5e7ffffffff,2.0,0.0,0.0
840c687ffffffff,4.0,0.0,2.0
840c6a3ffffffff,1.0,0.0,1.0
840c6abffffffff,1.0,0.0,0.0
840ca43ffffffff,53.0,0.0,1.0
840ccc3ffffffff,2.0,0.0,0.0
840d039ffffffff,17.0,0.0,0.0
840d113ffffffff,2.0,0.0,0.0
840d66dffffffff,1.0,0.0,0.0
840d75bffffffff,1.0,0.0,0.0
840d88bffffffff,5.0,0.0,0.0
840d891ffffffff,2.0,0.0,0.0
840d89dffffffff,1.0,0.0,0.0
840d8d7ffffffff,1.0,0.0,0.0
840da83ffffffff,3.0,0.0,0.0
840da87ffffffff,1.0,0.0,0.0
840dab1ffffffff,1.0,0.0,0.0
840e491ffffffff,2.0,0.0,0.0
840e493ffffffff,35.0,0.0,0.0
840e49bffffffff,21.0,0.0,0.0
840ecc9ffffffff,6.0,0.0,0.0
840eeb5ffffffff,3.0,0.0,0.0
840f69bffffffff,1.0,0.0,0.0
8412921ffffffff,2.0,0.0,0.0
841295dffffffff,2.0,0.0,0.0
84129e3ffffffff,2.0,0.0,2.0
84129edffffffff,2.0,0.0,0.0
8412b01ffffffff,3.0,0.0,0.0
8412b03ffffffff,5.0,0.0,0.0
8412b35ffffffff,2.0,0.0,0.0
8412b39ffffffff,2.0,0.0,0.0
8413933ffffffff,3.0,0.0,0.0
8414583ffffffff,2.0,2.0,0.0
841621dffffffff,5.0,0.0,0.0
8416567ffffffff,2.0,0.0,0.0
8418011ffffffff,2.0,0.0,0.0
8418053ffffffff,2.0,2.0,0.0
8418059ffffffff,6.0,0.0,0.0
841805bffffffff,2.0,2.0,0.0
8418299ffffffff,7.0,7.0,0.0
8418495ffffffff,14.0,0.0,0.0
84184a3ffffffff,1.0,0.0,0.0
84184abffffffff,1.0,0.0,0.0
84184b1ffffffff,2.0,0.0,0.0
84184b9ffffffff,2.0,0.0,0.0
84184bbffffffff,2.0,0.0,0.0
84184bdffffffff,3.0,0.0,0.0
84184c5ffffffff,2.0,0.0,0.0
84184ebffffffff,1.0,0.0,0.0
8418595ffffffff,1.0,0.0,0.0
84185bbffffffff,4.0,0.0,0.0
84185d9ffffffff,1.0,0.0,0.0
8419017ffffffff,2.0,2.0,0.0
8419087ffffffff,2.0,2.0,0.0
84190c5ffffffff,2.0,0.0,0.0
84190e5ffffffff,6.0,2.0,0.0
84191c1ffffffff,1.0,1.0,0.0
84191d9ffffffff,2.0,0.0,0.0
84192bbffffffff,2.0,2.0,0.0
84192cbffffffff,2.0,1.0,0.0
841940dffffffff,4.0,0.0,0.0
841950dffffffff,2.0,2.0,0.0
8419563ffffffff,2.0,2.0,0.0
8419569ffffffff,2.0,2.0,0.0
8419591ffffffff,2.0,2.0,0.0
84195a5ffffffff,2.0,2.0,0.0
8419655ffffffff,2.0,2.0,0.0
841972bffffffff,5.0,4.0,0.0
841a091ffffffff,2.0,0.0,0.0
841a095ffffffff,2.0,0.0,0.0
841a0b9ffffffff,2.0,0.0,0.0
841a0bdffffffff,2.0,0.0,0.0
841a11dffffffff,1.0,0.0,0.0
841a16bffffffff,2.0,0.0,0.0
841a1c3ffffffff,2.0,0.0,0.0
841a615ffffffff,2.0,0.0,0.0
841aa07ffffffff,5.0,0.0,0.0
841aa3dffffffff,17.0,0.0,0.0
841ab03ffffffff,3.0,0.0,0.0
841b23bffffffff,1.0,0.0,0.0
