cell_id,Ducula rubricera,Ducula rubricera rubricera,Ducula rubricera rufigula
8476805ffffffff,1.0,0.0,0.0
847680dffffffff,1.0,0.0,0.0
8476815ffffffff,2.0,0.0,0.0
847682bffffffff,1.0,0.0,0.0
847684dffffffff,1.0,0.0,0.0
847686bffffffff,2.0,0.0,0.0
84768abffffffff,2.0,0.0,0.0
84768edffffffff,2.0,0.0,0.0
847699dffffffff,46.0,0.0,0.0
84769d1ffffffff,33.0,0.0,0.0
84769d7ffffffff,8.0,0.0,0.0
84769d9ffffffff,2.0,0.0,0.0
84769ddffffffff,2.0,0.0,0.0
847791bffffffff,1.0,0.0,0.0
8477981ffffffff,3.0,0.0,0.0
847798dffffffff,1.0,0.0,0.0
847799dffffffff,12.0,0.0,0.0
84779a3ffffffff,3.0,0.0,0.0
84779b1ffffffff,1.0,0.0,0.0
84779b3ffffffff,1.0,0.0,0.0
84779bdffffffff,1.0,0.0,0.0
849c901ffffffff,279.0,0.0,0.0
849c905ffffffff,1.0,0.0,0.0
849c907ffffffff,10.0,0.0,0.0
849c90dffffffff,3.0,0.0,0.0
849c91dffffffff,1.0,0.0,0.0
849c947ffffffff,2.0,0.0,0.0
849c961ffffffff,2.0,0.0,0.0
849c965ffffffff,1.0,0.0,0.0
849c969ffffffff,2.0,0.0,0.0
849c96bffffffff,2.0,0.0,0.0
849c9c5ffffffff,1.0,0.0,0.0
849ed19ffffffff,3.0,0.0,0.0
849ed33ffffffff,6.0,0.0,0.0
849ed51ffffffff,16.0,0.0,0.0
849ed53ffffffff,3.0,0.0,0.0
849ed59ffffffff,3.0,0.0,0.0
849ed5bffffffff,1.0,0.0,0.0
849ed8dffffffff,1.0,0.0,0.0
849eda7ffffffff,22.0,0.0,0.0
849ede1ffffffff,3.0,0.0,0.0
849ede3ffffffff,3.0,0.0,0.0
849ede5ffffffff,1.0,0.0,0.0
849ede9ffffffff,2.0,0.0,0.0
849edebffffffff,20.0,0.0,0.0
849ef37ffffffff,1.0,0.0,0.0
