cell_id,Sterna hirundo,Sterna hirundo hirundo/tibetana,Sterna hirundo longipennis,Sterna hirundo hirundo/tibetana x longipennis
820127fffffffff,4.0,0.0,0.0,0.0
820137fffffffff,123.0,15.0,0.0,0.0
820807fffffffff,3.0,0.0,0.0,0.0
820817fffffffff,41.0,2.0,0.0,0.0
82081ffffffffff,1.0,0.0,0.0,0.0
82082ffffffffff,1.0,0.0,0.0,0.0
820837fffffffff,15.0,0.0,0.0,0.0
820887fffffffff,557.0,22.0,0.0,0.0
82088ffffffffff,152.0,85.0,0.0,0.0
820897fffffffff,93.0,0.0,0.0,0.0
82089ffffffffff,1088.0,125.0,0.0,0.0
8208a7fffffffff,28.0,1.0,0.0,0.0
8208affffffffff,9.0,0.0,0.0,0.0
8208b7fffffffff,133.0,3.0,0.0,0.0
8208c7fffffffff,43.0,6.0,0.0,0.0
8208cffffffffff,10.0,0.0,0.0,0.0
8208d7fffffffff,225.0,13.0,0.0,0.0
8208dffffffffff,108.0,0.0,0.0,0.0
8208e7fffffffff,3.0,0.0,0.0,0.0
8208effffffffff,12.0,0.0,0.0,0.0
8208f7fffffffff,26.0,2.0,0.0,0.0
82094ffffffffff,8.0,0.0,0.0,0.0
82095ffffffffff,29.0,0.0,0.0,0.0
820987fffffffff,47.0,2.0,0.0,0.0
82098ffffffffff,4.0,1.0,0.0,0.0
820997fffffffff,33.0,0.0,0.0,0.0
82099ffffffffff,187.0,23.0,0.0,0.0
8209a7fffffffff,74.0,0.0,0.0,0.0
8209affffffffff,2.0,0.0,0.0,0.0
820a37fffffffff,4.0,0.0,2.0,0.0
820b8ffffffffff,1.0,0.0,1.0,0.0
820b9ffffffffff,3.0,0.0,1.0,0.0
820bb7fffffffff,5.0,0.0,0.0,0.0
820e47fffffffff,5.0,0.0,0.0,0.0
820e4ffffffffff,834.0,0.0,0.0,0.0
820e57fffffffff,25.0,0.0,0.0,0.0
820e5ffffffffff,36.0,0.0,0.0,0.0
820e67fffffffff,2.0,0.0,0.0,0.0
820e6ffffffffff,25.0,0.0,0.0,0.0
820e87fffffffff,75.0,0.0,0.0,0.0
820e8ffffffffff,16.0,0.0,0.0,0.0
820e97fffffffff,23.0,0.0,0.0,0.0
820e9ffffffffff,19.0,0.0,0.0,0.0
820ec7fffffffff,38.0,0.0,0.0,0.0
820ecffffffffff,753.0,2.0,0.0,0.0
820edffffffffff,4.0,0.0,0.0,0.0
820ee7fffffffff,6.0,0.0,0.0,0.0
820eeffffffffff,1821.0,0.0,0.0,0.0
821017fffffffff,17.0,0.0,0.0,0.0
821027fffffffff,8.0,0.0,0.0,0.0
821087fffffffff,1.0,1.0,0.0,0.0
82108ffffffffff,1.0,0.0,0.0,0.0
82109ffffffffff,3.0,0.0,0.0,0.0
8210a7fffffffff,5.0,0.0,0.0,0.0
8210affffffffff,1.0,0.0,0.0,0.0
8210b7fffffffff,2.0,0.0,0.0,0.0
8210c7fffffffff,40.0,0.0,0.0,0.0
8210dffffffffff,6.0,0.0,0.0,0.0
8210f7fffffffff,6.0,2.0,0.0,0.0
821107fffffffff,349.0,1.0,0.0,0.0
821117fffffffff,12.0,0.0,0.0,0.0
82111ffffffffff,1.0,0.0,0.0,0.0
821127fffffffff,134.0,6.0,0.0,0.0
82112ffffffffff,34.0,0.0,0.0,0.0
821137fffffffff,30.0,0.0,0.0,0.0
821187fffffffff,65.0,5.0,0.0,0.0
82118ffffffffff,225.0,20.0,0.0,0.0
82119ffffffffff,9.0,0.0,0.0,0.0
8211a7fffffffff,3.0,0.0,0.0,0.0
8211affffffffff,447.0,55.0,0.0,0.0
82121ffffffffff,21.0,0.0,0.0,0.0
82122ffffffffff,10.0,0.0,0.0,0.0
821247fffffffff,14.0,0.0,0.0,0.0
82124ffffffffff,42.0,0.0,0.0,0.0
821257fffffffff,253.0,21.0,0.0,0.0
82125ffffffffff,154.0,0.0,0.0,0.0
821267fffffffff,17.0,0.0,0.0,0.0
82126ffffffffff,4.0,0.0,0.0,0.0
821277fffffffff,23.0,0.0,0.0,0.0
8212affffffffff,11.0,0.0,0.0,0.0
8212c7fffffffff,11.0,0.0,0.0,0.0
8212cffffffffff,875.0,0.0,0.0,0.0
8212d7fffffffff,74.0,0.0,0.0,0.0
8212dffffffffff,41.0,0.0,0.0,0.0
8212e7fffffffff,63.0,0.0,0.0,0.0
8212effffffffff,589.0,9.0,0.0,0.0
8212f7fffffffff,4.0,0.0,0.0,0.0
821357fffffffff,71.0,0.0,0.0,0.0
82144ffffffffff,6.0,0.0,4.0,0.0
821487fffffffff,2.0,0.0,2.0,0.0
8214affffffffff,50.0,0.0,48.0,0.0
8214b7fffffffff,1.0,0.0,0.0,0.0
