cell_id,Amytornis textilis,Amytornis textilis textilis,Amytornis textilis myall
84a6261ffffffff,14.0,7.0,0.0
84a6263ffffffff,1.0,1.0,0.0
84a6265ffffffff,1.0,1.0,0.0
84a6267ffffffff,108.0,45.0,0.0
84a626dffffffff,1.0,0.0,0.0
84a7195ffffffff,2.0,0.0,0.0
84a71b3ffffffff,2.0,0.0,0.0
84a71b9ffffffff,1.0,0.0,0.0
84a71bbffffffff,38.0,20.0,0.0
84b9127ffffffff,131.0,0.0,44.0
84b9ac1ffffffff,35.0,0.0,4.0
84b9ac3ffffffff,12.0,0.0,3.0
84b9ac9ffffffff,7.0,0.0,2.0
84b9acbffffffff,1.0,0.0,0.0
84b9acdffffffff,3.0,0.0,0.0
84b9ad5ffffffff,39.0,0.0,16.0
