cell_id,Geothlypis semiflava,Geothlypis semiflava bairdi,Geothlypis semiflava chiriquensis,Geothlypis semiflava semiflava
836611fffffffff,2.0,0.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0
83661afffffffff,8.0,0.0,0.0,0.0
83661bfffffffff,53.0,0.0,0.0,0.0
8366a6fffffffff,224.0,0.0,0.0,0.0
8366b4fffffffff,811.0,0.0,0.0,0.0
8366b5fffffffff,658.0,0.0,83.0,0.0
8366c6fffffffff,36.0,0.0,0.0,0.0
8366d0fffffffff,592.0,0.0,0.0,0.0
8366d2fffffffff,41.0,0.0,0.0,0.0
8366d3fffffffff,1378.0,0.0,0.0,86.0
8366d4fffffffff,18.0,0.0,0.0,0.0
8366e6fffffffff,335.0,0.0,0.0,0.0
8366f0fffffffff,98.0,0.0,0.0,0.0
8366f1fffffffff,115.0,0.0,0.0,0.0
8366f3fffffffff,43.0,0.0,0.0,0.0
8366f5fffffffff,51.0,0.0,0.0,0.0
836790fffffffff,2.0,0.0,0.0,0.0
836793fffffffff,2.0,0.0,0.0,0.0
836796fffffffff,6.0,0.0,0.0,0.0
83679afffffffff,1088.0,0.0,0.0,0.0
83679bfffffffff,797.0,0.0,0.0,0.0
836d68fffffffff,486.0,0.0,0.0,0.0
836d69fffffffff,875.0,0.0,0.0,0.0
836d6cfffffffff,3.0,0.0,0.0,0.0
836d6dfffffffff,1230.0,0.0,0.0,0.0
838f0dfffffffff,318.0,0.0,0.0,10.0
838f28fffffffff,1.0,0.0,0.0,0.0
838f29fffffffff,137.0,0.0,0.0,0.0
838f2afffffffff,14.0,0.0,0.0,0.0
838f2bfffffffff,56.0,0.0,0.0,0.0
838f2cfffffffff,25.0,0.0,0.0,0.0
838f2efffffffff,23.0,0.0,0.0,0.0
838f76fffffffff,22.0,0.0,0.0,0.0
