cell_id,Tyto alba,Tyto alba [alba Group],Tyto alba schmitzi,Tyto alba gracilirostris,Tyto alba poensis,Tyto alba detorta,Tyto alba thomensis
831805fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83190dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
831928fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83192afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83192bfffffffff,6.0,4.0,0.0,0.0,0.0,0.0,0.0
831948fffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
83194afffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
83194efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
831950fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
831969fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
831e02fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
831e03fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
831e04fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
831e06fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831e0afffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
831e0efffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
831e13fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
831e1cfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
831e1dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831e35fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
831e36fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
831f05fffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0
831f26fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831f31fffffffff,5.0,2.0,0.0,0.0,0.0,0.0,0.0
831fa0fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
831fb1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
832c93fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
833811fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833862fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83386efffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833875fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833900fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833901fffffffff,4.0,3.0,0.0,0.0,0.0,0.0,0.0
83390afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83390cfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833910fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
833915fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
833919fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
83391dfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
833922fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
833928fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
833929fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83392afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83392bfffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
83392cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833931fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
833933fffffffff,19.0,8.0,0.0,0.0,0.0,0.0,0.0
833970fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833972fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
833973fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833e65fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833e68fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
833e6cfffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
833f72fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
835269fffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
8354a9fffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8354c4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8354c5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83750dfffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
837a40fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837a45fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837a48fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
837a60fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837a61fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
837a66fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837a6afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837b4afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
837b4cfffffffff,5.0,0.0,0.0,0.0,1.0,0.0,0.0
83951dfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
83bce9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
