cell_id,Chalcites minutillus,Chalcites minutillus [minutillus Group],Chalcites minutillus [poecilurus Group],Chalcites minutillus rufomerus/salvadorii
826427fffffffff,7.0,0.0,0.0,0.0
826437fffffffff,39.0,0.0,0.0,0.0
826507fffffffff,143.0,0.0,0.0,0.0
82650ffffffffff,1.0,0.0,0.0,0.0
82651ffffffffff,92.0,8.0,0.0,0.0
826527fffffffff,621.0,0.0,0.0,0.0
826587fffffffff,5.0,0.0,0.0,0.0
826817fffffffff,19.0,0.0,0.0,0.0
82681ffffffffff,22.0,0.0,0.0,0.0
826847fffffffff,3.0,0.0,0.0,0.0
82684ffffffffff,4.0,0.0,0.0,0.0
826857fffffffff,16.0,0.0,0.0,0.0
82685ffffffffff,88.0,5.0,0.0,0.0
826877fffffffff,6.0,0.0,0.0,0.0
826897fffffffff,3.0,0.0,0.0,0.0
8268b7fffffffff,2.0,0.0,0.0,0.0
8268c7fffffffff,4.0,0.0,0.0,0.0
8268cffffffffff,15.0,0.0,6.0,0.0
8268d7fffffffff,92.0,0.0,36.0,0.0
8268dffffffffff,2.0,0.0,2.0,0.0
8268e7fffffffff,1.0,0.0,0.0,0.0
8272a7fffffffff,4.0,0.0,0.0,0.0
8272affffffffff,10.0,0.0,3.0,0.0
8272d7fffffffff,8.0,0.0,0.0,0.0
8272dffffffffff,12.0,0.0,0.0,0.0
8272f7fffffffff,26.0,0.0,0.0,0.0
82739ffffffffff,62.0,0.0,0.0,0.0
828c17fffffffff,1.0,0.0,0.0,0.0
828c97fffffffff,3.0,0.0,0.0,0.0
828caffffffffff,16.0,0.0,0.0,0.0
828cdffffffffff,4.0,0.0,0.0,0.0
829417fffffffff,40.0,0.0,0.0,0.0
82941ffffffffff,19.0,0.0,0.0,0.0
829427fffffffff,39.0,0.0,0.0,0.0
82942ffffffffff,38.0,0.0,0.0,0.0
829437fffffffff,4.0,0.0,0.0,0.0
82944ffffffffff,2.0,0.0,0.0,0.0
829457fffffffff,939.0,103.0,0.0,0.0
82945ffffffffff,89.0,3.0,0.0,0.0
829467fffffffff,26.0,0.0,0.0,14.0
829487fffffffff,354.0,0.0,0.0,0.0
82948ffffffffff,3.0,0.0,0.0,0.0
8294affffffffff,15.0,0.0,0.0,0.0
8294c7fffffffff,2.0,0.0,0.0,0.0
8294e7fffffffff,20.0,0.0,0.0,0.0
8294effffffffff,19.0,0.0,0.0,0.0
8294f7fffffffff,6.0,0.0,0.0,0.0
829507fffffffff,6.0,0.0,1.0,0.0
82950ffffffffff,8.0,0.0,0.0,0.0
82951ffffffffff,7.0,0.0,0.0,0.0
829527fffffffff,1.0,0.0,0.0,0.0
82952ffffffffff,2.0,0.0,0.0,0.0
829547fffffffff,1.0,0.0,0.0,0.0
829557fffffffff,24.0,0.0,0.0,0.0
82955ffffffffff,28.0,0.0,0.0,10.0
82956ffffffffff,7.0,0.0,0.0,0.0
8295affffffffff,2.0,0.0,0.0,0.0
829c07fffffffff,343.0,0.0,90.0,0.0
829c0ffffffffff,40.0,0.0,13.0,0.0
829c1ffffffffff,391.0,0.0,121.0,0.0
829c27fffffffff,1880.0,0.0,228.0,0.0
829c2ffffffffff,15.0,0.0,0.0,0.0
829c47fffffffff,2.0,0.0,0.0,0.0
829c4ffffffffff,9.0,0.0,0.0,0.0
829c5ffffffffff,7.0,0.0,0.0,0.0
829c67fffffffff,2.0,0.0,0.0,0.0
829c6ffffffffff,2.0,0.0,0.0,0.0
829c77fffffffff,20.0,0.0,0.0,0.0
829c9ffffffffff,2.0,0.0,0.0,0.0
829ca7fffffffff,6.0,0.0,0.0,0.0
829caffffffffff,16.0,0.0,0.0,0.0
829cb7fffffffff,4.0,0.0,0.0,0.0
829cc7fffffffff,2.0,0.0,0.0,0.0
829cd7fffffffff,86.0,0.0,0.0,0.0
829ce7fffffffff,14.0,0.0,2.0,0.0
829ceffffffffff,39.0,0.0,0.0,0.0
829cf7fffffffff,91.0,0.0,2.0,0.0
829d07fffffffff,71.0,0.0,0.0,0.0
829d0ffffffffff,117.0,0.0,14.0,0.0
829d27fffffffff,123.0,0.0,0.0,0.0
829d2ffffffffff,1.0,0.0,0.0,0.0
829d77fffffffff,2.0,0.0,0.0,0.0
82be1ffffffffff,25.0,0.0,0.0,0.0
82be8ffffffffff,542.0,12.0,0.0,0.0
82beaffffffffff,93.0,3.0,0.0,0.0
82bef7fffffffff,82.0,4.0,0.0,0.0
