cell_id,Formicivora acutirostris,Formicivora acutirostris acutirostris,Formicivora acutirostris paludicola
84a8311ffffffff,38.0,23.0,0.0
84a8317ffffffff,40.0,17.0,0.0
84a8319ffffffff,8.0,2.0,0.0
84a831dffffffff,40.0,5.0,0.0
84a833bffffffff,1.0,1.0,0.0
84a8357ffffffff,65.0,47.0,0.0
84a9181ffffffff,12.0,3.0,0.0
