cell_id,Lyncornis macrotis,Lyncornis macrotis cerviniceps/bourdilloni,Lyncornis macrotis jacobsoni,Lyncornis macrotis macrotis,Lyncornis macrotis macropterus
823c5ffffffffff,7.0,0.0,0.0,0.0,0.0
823ccffffffffff,4.0,0.0,0.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0,0.0,0.0
823ceffffffffff,1.0,0.0,0.0,0.0,0.0
82404ffffffffff,2.0,0.0,0.0,0.0,0.0
826007fffffffff,4.0,0.0,0.0,0.0,0.0
826027fffffffff,159.0,0.0,0.0,0.0,0.0
826037fffffffff,515.0,0.0,0.0,0.0,0.0
826417fffffffff,65.0,0.0,0.0,0.0,0.0
826427fffffffff,10.0,0.0,0.0,0.0,0.0
826437fffffffff,33.0,1.0,0.0,0.0,0.0
826487fffffffff,4.0,0.0,0.0,0.0,0.0
826497fffffffff,10.0,0.0,0.0,0.0,0.0
8264a7fffffffff,14.0,0.0,0.0,0.0,0.0
8264b7fffffffff,7.0,0.0,0.0,0.0,0.0
82651ffffffffff,23.0,0.0,0.0,0.0,0.0
826577fffffffff,13.0,0.0,0.0,0.0,0.0
826587fffffffff,44.0,0.0,0.0,0.0,0.0
82658ffffffffff,9.0,0.0,0.0,0.0,0.0
826597fffffffff,80.0,0.0,0.0,0.0,0.0
82659ffffffffff,385.0,4.0,0.0,0.0,0.0
8265b7fffffffff,376.0,1.0,0.0,0.0,0.0
826847fffffffff,179.0,0.0,0.0,0.0,0.0
82684ffffffffff,163.0,0.0,0.0,0.0,0.0
826857fffffffff,2.0,0.0,0.0,0.0,0.0
82685ffffffffff,37.0,0.0,0.0,0.0,0.0
82686ffffffffff,8.0,0.0,0.0,0.0,0.0
8268c7fffffffff,2.0,0.0,0.0,0.0,0.0
8268cffffffffff,183.0,0.0,0.0,0.0,4.0
8268d7fffffffff,77.0,0.0,0.0,0.0,0.0
8268dffffffffff,13.0,0.0,0.0,0.0,0.0
826937fffffffff,3.0,0.0,0.0,0.0,0.0
826947fffffffff,194.0,0.0,0.0,0.0,0.0
82694ffffffffff,27.0,0.0,0.0,0.0,0.0
82695ffffffffff,22.0,0.0,0.0,0.0,0.0
82696ffffffffff,21.0,0.0,0.0,0.0,0.0
829507fffffffff,4.0,0.0,0.0,0.0,0.0
82950ffffffffff,6.0,0.0,0.0,0.0,0.0
829527fffffffff,2.0,0.0,0.0,0.0,0.0
82952ffffffffff,4.0,0.0,0.0,0.0,0.0
829567fffffffff,8.0,0.0,0.0,0.0,1.0
