cell_id,Glaucidium tephronotum,Glaucidium tephronotum tephronotum,Glaucidium tephronotum pycrafti,Glaucidium tephronotum medje
8358d3fffffffff,1.0,0.0,0.0,0.0
836a9efffffffff,2.0,0.0,0.0,0.0
836ac0fffffffff,2.0,0.0,0.0,0.0
836ac1fffffffff,82.0,0.0,0.0,0.0
836ac3fffffffff,5.0,0.0,0.0,0.0
836acefffffffff,1.0,0.0,0.0,0.0
836adcfffffffff,49.0,0.0,0.0,0.0
836adefffffffff,17.0,0.0,0.0,0.0
836aeafffffffff,5.0,0.0,0.0,0.0
837508fffffffff,74.0,0.0,0.0,0.0
83750dfffffffff,2.0,0.0,0.0,0.0
837529fffffffff,7.0,0.0,0.0,0.0
83752afffffffff,24.0,0.0,0.0,0.0
83752bfffffffff,1.0,0.0,0.0,0.0
8375a8fffffffff,3.0,0.0,0.0,0.0
8375abfffffffff,1.0,0.0,0.0,0.0
837a4cfffffffff,34.0,0.0,0.0,0.0
837a4dfffffffff,3.0,0.0,0.0,0.0
838212fffffffff,5.0,0.0,0.0,0.0
8382a8fffffffff,2.0,0.0,0.0,0.0
8382b1fffffffff,2.0,0.0,0.0,0.0
8382d2fffffffff,5.0,0.0,1.0,0.0
8382d3fffffffff,2.0,0.0,0.0,0.0
8382d4fffffffff,1.0,0.0,1.0,0.0
8396d8fffffffff,1.0,0.0,0.0,0.0
