cell_id,Phrygilus gayi,Phrygilus gayi minor,Phrygilus gayi gayi/caniceps
84b2043ffffffff,2.0,0.0,0.0
84b2049ffffffff,8.0,0.0,0.0
84b2223ffffffff,81.0,21.0,0.0
84b2235ffffffff,2.0,0.0,0.0
84b2261ffffffff,4.0,0.0,0.0
84b226bffffffff,3.0,0.0,0.0
84b2569ffffffff,2.0,0.0,0.0
84b256bffffffff,2.0,0.0,0.0
84b270dffffffff,2.0,0.0,0.0
84b2c03ffffffff,17.0,0.0,0.0
84b2c05ffffffff,1.0,1.0,0.0
84b2c09ffffffff,8.0,0.0,0.0
84b2c0bffffffff,51.0,1.0,2.0
84b2c0dffffffff,328.0,1.0,0.0
84b2c11ffffffff,10.0,0.0,0.0
84b2c2bffffffff,6.0,6.0,0.0
84b2c31ffffffff,1.0,1.0,0.0
84b2c35ffffffff,29.0,8.0,0.0
84b2c3dffffffff,10.0,9.0,0.0
84b2c41ffffffff,698.0,0.0,0.0
84b2c43ffffffff,99.0,0.0,0.0
84b2c45ffffffff,56.0,0.0,0.0
84b2c47ffffffff,497.0,4.0,0.0
84b2c49ffffffff,79.0,0.0,0.0
84b2c4bffffffff,275.0,2.0,0.0
84b2c4dffffffff,206.0,2.0,0.0
84b2c51ffffffff,2305.0,5.0,4.0
84b2c53ffffffff,1884.0,0.0,0.0
84b2c55ffffffff,91.0,13.0,0.0
84b2c57ffffffff,31.0,0.0,0.0
84b2c59ffffffff,167.0,0.0,0.0
84b2c5bffffffff,20.0,0.0,0.0
84b2c5dffffffff,20.0,0.0,0.0
84b2c8dffffffff,3.0,0.0,0.0
84b2ca9ffffffff,26.0,0.0,0.0
84b2cedffffffff,1.0,0.0,0.0
84b2d87ffffffff,2.0,0.0,0.0
84b2d91ffffffff,2.0,0.0,0.0
84b2d93ffffffff,3.0,0.0,0.0
84b2d97ffffffff,2.0,0.0,0.0
84b2dabffffffff,7.0,0.0,0.0
84b2dc3ffffffff,2.0,0.0,0.0
84b2ddbffffffff,10.0,0.0,0.0
84b2e1bffffffff,2.0,0.0,0.0
84b2e21ffffffff,2.0,2.0,0.0
84b2e23ffffffff,4.0,0.0,0.0
84b2e27ffffffff,166.0,0.0,0.0
84b2e2dffffffff,3.0,3.0,0.0
84b2e33ffffffff,91.0,0.0,0.0
84b2e35ffffffff,23.0,0.0,0.0
84b2e37ffffffff,12.0,1.0,0.0
84b2e3dffffffff,6.0,0.0,0.0
84b2ea5ffffffff,70.0,0.0,3.0
84b2eb9ffffffff,3.0,0.0,0.0
84b2ebbffffffff,3.0,0.0,0.0
84b2ec1ffffffff,2.0,0.0,0.0
84b2ec9ffffffff,2.0,0.0,0.0
84b2ee9ffffffff,4.0,0.0,0.0
84b35adffffffff,2.0,0.0,0.0
84c3239ffffffff,1.0,0.0,1.0
84ce997ffffffff,8.0,0.0,0.0
84ce9bbffffffff,2.0,0.0,0.0
84ce9d1ffffffff,2.0,0.0,0.0
84ce9d5ffffffff,2.0,0.0,0.0
84cea03ffffffff,2.0,0.0,0.0
84cf127ffffffff,1.0,0.0,0.0
84cfa17ffffffff,3.0,0.0,0.0
84cfa49ffffffff,4.0,0.0,2.0
84cfa4dffffffff,4.0,0.0,0.0
84df451ffffffff,4.0,0.0,0.0
84df699ffffffff,2.0,0.0,0.0
84df6b7ffffffff,1.0,0.0,1.0
