cell_id,Megascops roboratus,Megascops roboratus pacificus,Megascops roboratus roboratus
828f0ffffffffff,353.0,29.0,0.0
828f2ffffffffff,83.0,15.0,0.0
828f57fffffffff,389.0,44.0,1.0
828f77fffffffff,18.0,0.0,0.0
