cell_id,Pachycephala homeyeri,Pachycephala homeyeri homeyeri,Pachycephala homeyeri major,Pachycephala homeyeri winchelli
83681bfffffffff,7.0,2.0,0.0,0.0
83681dfffffffff,1.0,0.0,0.0,0.0
836844fffffffff,2.0,0.0,2.0,0.0
836846fffffffff,2.0,0.0,1.0,1.0
836856fffffffff,29.0,6.0,0.0,2.0
836862fffffffff,4.0,0.0,0.0,4.0
