cell_id,Cinnyris shelleyi,Cinnyris shelleyi shelleyi,Cinnyris shelleyi hofmanni
837b4dfffffffff,2.0,0.0,0.0
839600fffffffff,2.0,0.0,0.0
839601fffffffff,1.0,0.0,0.0
839604fffffffff,1.0,0.0,0.0
839606fffffffff,3.0,0.0,0.0
83960efffffffff,2.0,1.0,0.0
839614fffffffff,2.0,0.0,0.0
839621fffffffff,1.0,1.0,0.0
839623fffffffff,3.0,0.0,0.0
839628fffffffff,2.0,0.0,0.0
83962cfffffffff,39.0,15.0,0.0
83962dfffffffff,1.0,0.0,0.0
83962efffffffff,5.0,0.0,0.0
839633fffffffff,1.0,0.0,0.0
839636fffffffff,14.0,6.0,0.0
8396a5fffffffff,7.0,0.0,0.0
8396aefffffffff,2.0,2.0,0.0
8396b0fffffffff,39.0,4.0,18.0
8396b2fffffffff,4.0,0.0,4.0
8396b5fffffffff,3.0,0.0,3.0
8396b6fffffffff,5.0,0.0,2.0
83974bfffffffff,1.0,0.0,0.0
839751fffffffff,3.0,2.0,0.0
839753fffffffff,1.0,1.0,0.0
83975efffffffff,1.0,0.0,0.0
839788fffffffff,7.0,6.0,0.0
839791fffffffff,2.0,0.0,0.0
839798fffffffff,1.0,0.0,0.0
8397a8fffffffff,1.0,1.0,0.0
8397aafffffffff,1.0,0.0,0.0
