cell_id,Spilornis cheela,Spilornis cheela [cheela Group],Spilornis cheela davisoni,Spilornis cheela minimus,Spilornis cheela perplexus,Spilornis cheela natunensis,Spilornis cheela abbotti,Spilornis cheela asturinus,Spilornis cheela sipora,Spilornis cheela baweanus
82309ffffffffff,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c07fffffffff,290.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c0ffffffffff,239.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c17fffffffff,226.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c1ffffffffff,836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c37fffffffff,160.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c57fffffffff,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c5ffffffffff,729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c87fffffffff,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c8ffffffffff,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c97fffffffff,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823c9ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ca7fffffffff,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823caffffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cb7fffffffff,2111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cc7fffffffff,471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ccffffffffff,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cd7fffffffff,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cdffffffffff,82.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ce7fffffffff,1532.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823ceffffffffff,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823cf7fffffffff,454.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d17fffffffff,1952.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d1ffffffffff,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d37fffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d87fffffffff,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d8ffffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d97fffffffff,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823d9ffffffffff,1878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823da7fffffffff,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823daffffffffff,1593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823db7fffffffff,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824007fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82400ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824017fffffffff,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82401ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824027fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82402ffffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824037fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824047fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
