cell_id,Columba palumbus,Columba palumbus [palumbus Group],Columba palumbus casiotis
820747fffffffff,21.0,0.0,0.0
82075ffffffffff,3.0,0.0,0.0
820767fffffffff,49.0,0.0,0.0
820777fffffffff,16.0,0.0,0.0
820887fffffffff,8.0,4.0,0.0
82089ffffffffff,2.0,0.0,0.0
8208a7fffffffff,6.0,6.0,0.0
8208b7fffffffff,6.0,4.0,0.0
820987fffffffff,4.0,0.0,0.0
8209a7fffffffff,2.0,0.0,0.0
82182ffffffffff,5.0,0.0,0.0
82184ffffffffff,67.0,6.0,0.0
82185ffffffffff,74.0,42.0,0.0
82186ffffffffff,1.0,1.0,0.0
82190ffffffffff,4.0,0.0,0.0
821947fffffffff,12.0,0.0,0.0
82194ffffffffff,4.0,1.0,0.0
821957fffffffff,2.0,0.0,0.0
82195ffffffffff,9.0,3.0,0.0
821e07fffffffff,14.0,0.0,0.0
821e0ffffffffff,10.0,3.0,0.0
821e17fffffffff,17.0,2.0,0.0
821e1ffffffffff,1.0,0.0,0.0
821e27fffffffff,12.0,0.0,0.0
821e2ffffffffff,10.0,0.0,0.0
821e37fffffffff,42.0,28.0,0.0
821e47fffffffff,4.0,0.0,0.0
821e57fffffffff,6.0,4.0,0.0
821e5ffffffffff,44.0,37.0,0.0
821e67fffffffff,2.0,0.0,0.0
821e6ffffffffff,4.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0
821ea7fffffffff,23.0,2.0,0.0
821eb7fffffffff,6.0,0.0,0.0
821ec7fffffffff,29.0,2.0,0.0
821ecffffffffff,30.0,3.0,0.0
821edffffffffff,5.0,0.0,0.0
821eeffffffffff,6.0,0.0,0.0
821ef7fffffffff,2.0,0.0,0.0
821f07fffffffff,4.0,0.0,0.0
821f0ffffffffff,1.0,0.0,0.0
821f1ffffffffff,23.0,18.0,0.0
821f2ffffffffff,8.0,6.0,0.0
821f37fffffffff,2.0,0.0,0.0
821f57fffffffff,4.0,0.0,0.0
821f5ffffffffff,5.0,0.0,0.0
821f77fffffffff,12.0,0.0,0.0
821f87fffffffff,19.0,1.0,0.0
821f8ffffffffff,16.0,4.0,0.0
821f97fffffffff,2.0,2.0,0.0
821f9ffffffffff,6.0,4.0,0.0
821fa7fffffffff,3.0,0.0,0.0
821faffffffffff,231.0,231.0,0.0
821fb7fffffffff,1.0,1.0,0.0
822017fffffffff,3.0,0.0,1.0
82201ffffffffff,3.0,0.0,1.0
82205ffffffffff,2.0,0.0,0.0
8220a7fffffffff,2.0,0.0,2.0
8220affffffffff,2.0,0.0,2.0
822517fffffffff,11.0,0.0,0.0
8225b7fffffffff,3.0,0.0,0.0
822c07fffffffff,10.0,2.0,0.0
822c0ffffffffff,16.0,0.0,0.0
822c17fffffffff,2.0,0.0,0.0
822c37fffffffff,10.0,0.0,0.0
822c97fffffffff,12.0,0.0,0.0
822cf7fffffffff,9.0,0.0,0.0
822d07fffffffff,2.0,0.0,0.0
822d0ffffffffff,1.0,0.0,0.0
822d1ffffffffff,1.0,0.0,0.0
822d67fffffffff,12.0,0.0,0.0
822d87fffffffff,4.0,0.0,0.0
822da7fffffffff,2.0,0.0,0.0
822daffffffffff,2.0,0.0,0.0
822db7fffffffff,64.0,0.0,0.0
823437fffffffff,2.0,0.0,0.0
82344ffffffffff,1.0,0.0,0.0
82346ffffffffff,4.0,0.0,0.0
82351ffffffffff,40.0,0.0,0.0
8235affffffffff,2.0,0.0,0.0
82382ffffffffff,8.0,0.0,0.0
823867fffffffff,44.0,9.0,0.0
823877fffffffff,38.0,6.0,0.0
823907fffffffff,351.0,242.0,0.0
82390ffffffffff,230.0,203.0,0.0
823917fffffffff,94.0,4.0,0.0
82391ffffffffff,38.0,7.0,0.0
823927fffffffff,96.0,12.0,0.0
82392ffffffffff,147.0,85.0,0.0
823937fffffffff,12.0,0.0,0.0
823947fffffffff,62.0,61.0,0.0
823957fffffffff,12.0,7.0,0.0
82395ffffffffff,4.0,4.0,0.0
823967fffffffff,6.0,6.0,0.0
823977fffffffff,432.0,140.0,0.0
823987fffffffff,5.0,2.0,0.0
823c07fffffffff,2.0,0.0,0.0
823c1ffffffffff,7.0,0.0,0.0
823c37fffffffff,7.0,0.0,0.0
823d07fffffffff,20.0,0.0,0.0
823d17fffffffff,49.0,0.0,0.0
823d1ffffffffff,13.0,0.0,0.0
823d37fffffffff,20.0,0.0,0.0
823daffffffffff,32.0,0.0,0.0
823f47fffffffff,3.0,0.0,0.0
823f4ffffffffff,3.0,2.0,0.0
823f67fffffffff,1.0,0.0,0.0
823f6ffffffffff,2.0,0.0,0.0
823f77fffffffff,7.0,0.0,0.0
82426ffffffffff,10.0,0.0,0.0
8243a7fffffffff,84.0,5.0,2.0
8243affffffffff,44.0,1.0,0.0
825327fffffffff,4.0,0.0,0.0
