cell_id,Tachyspiza hiogaster,Tachyspiza hiogaster sylvestris,Tachyspiza hiogaster [hiogaster Group]
8472c91ffffffff,2.0,0.0,0.0
8472d23ffffffff,5.0,0.0,0.0
8472da1ffffffff,1.0,0.0,0.0
847795bffffffff,2.0,0.0,0.0
8477981ffffffff,2.0,0.0,0.0
84779c5ffffffff,2.0,0.0,0.0
849466dffffffff,3.0,0.0,0.0
8495613ffffffff,8.0,0.0,0.0
8495617ffffffff,2.0,0.0,0.0
84956d3ffffffff,3.0,0.0,0.0
849c8b5ffffffff,1.0,0.0,0.0
849c901ffffffff,10.0,0.0,1.0
849c90dffffffff,1.0,0.0,0.0
849ca65ffffffff,2.0,0.0,0.0
849caa1ffffffff,2.0,0.0,0.0
849cd31ffffffff,7.0,0.0,1.0
849cf3bffffffff,1.0,0.0,0.0
