cell_id,Columba vitiensis,Columba vitiensis [vitiensis Group],Columba vitiensis castaneiceps
824b97fffffffff,1.0,0.0,0.0
824b9ffffffffff,3.0,0.0,0.0
826847fffffffff,12.0,0.0,0.0
82684ffffffffff,3.0,0.0,0.0
82685ffffffffff,35.0,3.0,0.0
826867fffffffff,1.0,0.0,0.0
826877fffffffff,7.0,0.0,0.0
8268f7fffffffff,3.0,0.0,0.0
826947fffffffff,2.0,0.0,0.0
82694ffffffffff,1.0,0.0,0.0
82696ffffffffff,5.0,0.0,0.0
8272a7fffffffff,40.0,0.0,0.0
8272d7fffffffff,5.0,0.0,0.0
8272dffffffffff,10.0,0.0,0.0
827397fffffffff,9.0,0.0,0.0
82739ffffffffff,19.0,0.0,0.0
8273b7fffffffff,4.0,0.0,0.0
82768ffffffffff,1.0,0.0,0.0
82769ffffffffff,6.0,0.0,0.0
829427fffffffff,46.0,4.0,0.0
82942ffffffffff,7.0,0.0,0.0
82951ffffffffff,13.0,0.0,0.0
829547fffffffff,2.0,0.0,0.0
829557fffffffff,6.0,0.0,0.0
82955ffffffffff,6.0,0.0,0.0
82956ffffffffff,34.0,0.0,0.0
8295a7fffffffff,2.0,0.0,0.0
8295affffffffff,5.0,3.0,0.0
829a07fffffffff,31.0,0.0,0.0
829a17fffffffff,43.0,0.0,0.0
829b47fffffffff,14.0,0.0,0.0
829b4ffffffffff,18.0,0.0,0.0
829b5ffffffffff,12.0,0.0,0.0
829b6ffffffffff,46.0,0.0,0.0
829b77fffffffff,1.0,0.0,0.0
829c8ffffffffff,1.0,0.0,0.0
829cd7fffffffff,14.0,0.0,0.0
829e07fffffffff,20.0,0.0,0.0
829e17fffffffff,15.0,0.0,0.0
829e27fffffffff,41.0,0.0,0.0
829e37fffffffff,7.0,0.0,0.0
829ed7fffffffff,21.0,0.0,0.0
829f57fffffffff,142.0,0.0,0.0
