cell_id,Pteroglossus torquatus,Pteroglossus torquatus [torquatus Group],Pteroglossus torquatus sanguineus,Pteroglossus torquatus erythropygius
8444249ffffffff,8.0,0.0,0.0,0.0
8445011ffffffff,4.0,0.0,0.0,0.0
8445013ffffffff,8.0,0.0,0.0,0.0
8445019ffffffff,50.0,0.0,0.0,0.0
844501bffffffff,24.0,0.0,0.0,0.0
8445053ffffffff,9.0,0.0,0.0,0.0
8445059ffffffff,19.0,0.0,0.0,0.0
844505bffffffff,90.0,0.0,0.0,0.0
8445083ffffffff,30.0,0.0,0.0,0.0
8445085ffffffff,79.0,19.0,0.0,0.0
8445087ffffffff,5.0,0.0,0.0,0.0
844508dffffffff,29.0,0.0,0.0,0.0
84450a1ffffffff,305.0,4.0,0.0,0.0
84450a3ffffffff,66.0,0.0,0.0,0.0
84450a5ffffffff,44.0,2.0,0.0,0.0
84450a7ffffffff,3.0,0.0,0.0,0.0
84450a9ffffffff,51.0,2.0,0.0,0.0
84450abffffffff,28.0,0.0,0.0,0.0
84450adffffffff,2.0,0.0,0.0,0.0
84450b5ffffffff,3.0,0.0,0.0,0.0
84450b9ffffffff,4.0,0.0,0.0,0.0
84450bdffffffff,16.0,0.0,0.0,0.0
84450c1ffffffff,36.0,0.0,0.0,0.0
84450c3ffffffff,2.0,0.0,0.0,0.0
84450c5ffffffff,79.0,0.0,0.0,0.0
84450c7ffffffff,12.0,0.0,0.0,0.0
84450cbffffffff,1.0,0.0,0.0,0.0
84450cdffffffff,38.0,7.0,0.0,0.0
84450d1ffffffff,2.0,0.0,0.0,0.0
84450d3ffffffff,2.0,0.0,0.0,0.0
84450d5ffffffff,29.0,0.0,0.0,0.0
84450e1ffffffff,9.0,0.0,0.0,0.0
84450e3ffffffff,497.0,13.0,0.0,0.0
84450ebffffffff,159.0,31.0,0.0,0.0
84450edffffffff,1.0,0.0,0.0,0.0
8445201ffffffff,1.0,0.0,0.0,0.0
8445203ffffffff,207.0,0.0,0.0,0.0
8445205ffffffff,163.0,0.0,0.0,0.0
8445207ffffffff,228.0,0.0,0.0,0.0
8445209ffffffff,74.0,0.0,0.0,0.0
844520bffffffff,86.0,0.0,0.0,0.0
844520dffffffff,226.0,0.0,0.0,0.0
8445211ffffffff,26.0,0.0,0.0,0.0
8445213ffffffff,82.0,0.0,0.0,0.0
8445215ffffffff,760.0,31.0,0.0,0.0
8445217ffffffff,187.0,1.0,0.0,0.0
8445219ffffffff,3.0,0.0,0.0,0.0
844521bffffffff,4.0,0.0,0.0,0.0
844521dffffffff,129.0,0.0,0.0,0.0
8445221ffffffff,317.0,0.0,0.0,0.0
8445225ffffffff,1245.0,0.0,0.0,0.0
844522bffffffff,27.0,0.0,0.0,0.0
844522dffffffff,10.0,0.0,0.0,0.0
8445233ffffffff,750.0,45.0,0.0,0.0
844523bffffffff,100.0,2.0,0.0,0.0
8445241ffffffff,5.0,0.0,0.0,0.0
8445243ffffffff,41.0,0.0,0.0,0.0
8445245ffffffff,2.0,0.0,0.0,0.0
8445247ffffffff,98.0,0.0,0.0,0.0
8445249ffffffff,78.0,0.0,0.0,0.0
844524bffffffff,10.0,0.0,0.0,0.0
844524dffffffff,1.0,0.0,0.0,0.0
8445253ffffffff,2.0,0.0,0.0,0.0
8445255ffffffff,126.0,0.0,0.0,0.0
8445257ffffffff,58.0,0.0,0.0,0.0
8445261ffffffff,25.0,0.0,0.0,0.0
8445263ffffffff,623.0,0.0,0.0,0.0
8445267ffffffff,5.0,0.0,0.0,0.0
8445269ffffffff,2.0,0.0,0.0,0.0
844526bffffffff,176.0,0.0,0.0,0.0
8445281ffffffff,14.0,0.0,0.0,0.0
8445283ffffffff,34.0,8.0,0.0,0.0
8445285ffffffff,43.0,6.0,0.0,0.0
8445287ffffffff,154.0,17.0,0.0,0.0
8445289ffffffff,354.0,0.0,0.0,0.0
844528dffffffff,148.0,5.0,0.0,0.0
8445295ffffffff,2.0,2.0,0.0,0.0
8445297ffffffff,7.0,0.0,0.0,0.0
