cell_id,Picumnus exilis,Picumnus exilis undulatus,Picumnus exilis buffonii,Picumnus exilis pernambucensis,Picumnus exilis exilis
835f01fffffffff,1.0,0.0,0.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0,0.0,0.0
835f03fffffffff,37.0,0.0,0.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0,0.0,0.0
835f12fffffffff,29.0,0.0,0.0,0.0,0.0
835f13fffffffff,14.0,0.0,0.0,0.0,0.0
835f14fffffffff,9.0,0.0,0.0,0.0,0.0
835f16fffffffff,4.0,0.0,0.0,0.0,0.0
835f1cfffffffff,23.0,0.0,0.0,0.0,0.0
835f1efffffffff,1.0,0.0,0.0,0.0,0.0
835f29fffffffff,58.0,0.0,0.0,0.0,0.0
835f2bfffffffff,43.0,0.0,0.0,0.0,0.0
835f2dfffffffff,11.0,0.0,0.0,0.0,0.0
835f40fffffffff,7.0,0.0,0.0,0.0,0.0
835f42fffffffff,26.0,0.0,0.0,0.0,0.0
835f46fffffffff,3.0,0.0,0.0,0.0,0.0
835f50fffffffff,25.0,0.0,0.0,0.0,0.0
835f63fffffffff,1.0,0.0,0.0,0.0,0.0
835f66fffffffff,1.0,0.0,0.0,0.0,0.0
835f68fffffffff,45.0,0.0,0.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0,0.0,0.0
835f71fffffffff,51.0,1.0,0.0,0.0,0.0
835f75fffffffff,53.0,0.0,0.0,0.0,0.0
836641fffffffff,421.0,0.0,0.0,0.0,0.0
836645fffffffff,3.0,0.0,0.0,0.0,0.0
83664efffffffff,1.0,0.0,0.0,0.0,0.0
83665afffffffff,2.0,0.0,0.0,0.0,0.0
836663fffffffff,15.0,0.0,0.0,0.0,0.0
83666afffffffff,1.0,0.0,0.0,0.0,0.0
83666bfffffffff,4.0,0.0,0.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0,0.0,0.0
83666efffffffff,4.0,0.0,0.0,0.0,0.0
838044fffffffff,2.0,0.0,1.0,0.0,0.0
838046fffffffff,36.0,0.0,25.0,0.0,0.0
838054fffffffff,2.0,0.0,0.0,0.0,0.0
838062fffffffff,3.0,0.0,3.0,0.0,0.0
838066fffffffff,3.0,0.0,0.0,0.0,0.0
83806afffffffff,4.0,0.0,0.0,0.0,0.0
83806bfffffffff,6.0,0.0,4.0,0.0,0.0
838071fffffffff,4.0,0.0,0.0,0.0,0.0
838074fffffffff,4.0,0.0,2.0,0.0,0.0
838075fffffffff,1.0,0.0,0.0,0.0,0.0
838112fffffffff,10.0,0.0,0.0,0.0,1.0
838114fffffffff,5.0,0.0,0.0,0.0,0.0
838116fffffffff,16.0,0.0,0.0,0.0,6.0
838130fffffffff,1.0,0.0,0.0,0.0,0.0
838132fffffffff,97.0,0.0,0.0,0.0,54.0
838133fffffffff,71.0,0.0,0.0,0.0,34.0
838136fffffffff,48.0,0.0,0.0,0.0,23.0
838159fffffffff,2.0,0.0,0.0,0.0,0.0
83815afffffffff,1.0,0.0,1.0,0.0,0.0
838180fffffffff,40.0,0.0,0.0,27.0,0.0
838181fffffffff,293.0,0.0,0.0,261.0,0.0
838183fffffffff,103.0,0.0,0.0,82.0,0.0
838185fffffffff,194.0,0.0,0.0,131.0,0.0
83819dfffffffff,1.0,0.0,0.0,1.0,0.0
8381a1fffffffff,25.0,0.0,0.0,0.0,0.0
838a8cfffffffff,4.0,0.0,4.0,0.0,0.0
838a8dfffffffff,2.0,0.0,0.0,0.0,0.0
838a9dfffffffff,2.0,0.0,0.0,0.0,0.0
838aabfffffffff,8.0,0.0,7.0,0.0,0.0
838ac2fffffffff,1.0,1.0,0.0,0.0,0.0
838ad1fffffffff,23.0,0.0,8.0,0.0,0.0
838ad8fffffffff,1.0,1.0,0.0,0.0,0.0
838adafffffffff,8.0,0.0,6.0,0.0,0.0
838adbfffffffff,25.0,15.0,1.0,0.0,0.0
838adcfffffffff,39.0,16.0,8.0,0.0,0.0
838adefffffffff,6.0,4.0,0.0,0.0,0.0
838af0fffffffff,1.0,0.0,1.0,0.0,0.0
838af2fffffffff,56.0,0.0,22.0,0.0,0.0
838af6fffffffff,165.0,0.0,44.0,0.0,0.0
83a596fffffffff,44.0,0.0,0.0,0.0,19.0
