cell_id,Cardellina rubra,Cardellina rubra melanauris,Cardellina rubra rubra/rowleyi
834814fffffffff,41.0,0.0,0.0
834833fffffffff,515.0,73.0,0.0
834836fffffffff,43.0,0.0,17.0
834980fffffffff,133.0,0.0,32.0
834982fffffffff,23.0,0.0,0.0
834985fffffffff,26.0,0.0,1.0
834986fffffffff,510.0,0.0,52.0
834990fffffffff,33.0,0.0,0.0
834991fffffffff,32.0,0.0,4.0
834994fffffffff,51.0,0.0,4.0
834995fffffffff,2450.0,0.0,380.0
834996fffffffff,593.0,0.0,120.0
8349a8fffffffff,180.0,0.0,42.0
8349aafffffffff,143.0,0.0,42.0
8349abfffffffff,3.0,0.0,0.0
8349b1fffffffff,156.0,0.0,0.0
8349b3fffffffff,493.0,0.0,96.0
8349b6fffffffff,4.0,0.0,1.0
836d30fffffffff,466.0,0.0,123.0
836d32fffffffff,1882.0,0.0,538.0
836d33fffffffff,625.0,0.0,216.0
836d36fffffffff,17.0,0.0,2.0
