cell_id,Dicrurus caerulescens,Dicrurus caerulescens caerulescens,Dicrurus caerulescens leucopygialis/insularis
843c02dffffffff,1.0,0.0,0.0
843c065ffffffff,16.0,0.0,0.0
843c153ffffffff,1.0,0.0,0.0
843c155ffffffff,5.0,0.0,0.0
843c159ffffffff,161.0,0.0,0.0
843c15bffffffff,3.0,0.0,0.0
843c1c3ffffffff,82.0,0.0,0.0
843c1c9ffffffff,4.0,0.0,0.0
843c1d5ffffffff,1.0,0.0,0.0
843c305ffffffff,2.0,0.0,0.0
843c329ffffffff,11.0,0.0,0.0
843c333ffffffff,9.0,0.0,0.0
843c335ffffffff,12.0,0.0,0.0
843c337ffffffff,5.0,0.0,0.0
843c33dffffffff,9.0,0.0,0.0
843c363ffffffff,5.0,0.0,0.0
843c367ffffffff,2.0,0.0,0.0
843c369ffffffff,69.0,0.0,0.0
843c36bffffffff,23.0,0.0,0.0
843c801ffffffff,17.0,0.0,0.0
843c807ffffffff,3.0,0.0,0.0
843c80bffffffff,2.0,0.0,0.0
843c80dffffffff,8.0,0.0,0.0
843c829ffffffff,1.0,0.0,0.0
843c839ffffffff,13.0,0.0,0.0
843c857ffffffff,1.0,0.0,0.0
843c8c1ffffffff,15.0,0.0,0.0
843c8c7ffffffff,80.0,0.0,0.0
843c8c9ffffffff,3.0,0.0,0.0
843c8cbffffffff,78.0,0.0,0.0
843c8edffffffff,20.0,0.0,0.0
843c903ffffffff,4.0,0.0,0.0
843c905ffffffff,17.0,0.0,0.0
843c909ffffffff,117.0,0.0,0.0
843c90bffffffff,8.0,0.0,0.0
843c91dffffffff,3.0,0.0,0.0
843c921ffffffff,3.0,0.0,0.0
843c929ffffffff,21.0,0.0,0.0
843c92bffffffff,8.0,0.0,0.0
843c92dffffffff,72.0,0.0,0.0
843c931ffffffff,11.0,0.0,0.0
843c93bffffffff,5.0,0.0,0.0
843c941ffffffff,12.0,0.0,0.0
843c943ffffffff,40.0,0.0,0.0
843c945ffffffff,11.0,0.0,0.0
843c947ffffffff,87.0,0.0,0.0
843c949ffffffff,4.0,0.0,0.0
843c94bffffffff,1.0,0.0,0.0
843c94dffffffff,2.0,0.0,0.0
843c953ffffffff,7.0,0.0,0.0
843c963ffffffff,3.0,0.0,0.0
843c967ffffffff,34.0,0.0,0.0
843ca15ffffffff,2.0,0.0,0.0
843ca21ffffffff,2.0,0.0,0.0
843ca23ffffffff,2.0,0.0,0.0
843ca25ffffffff,1.0,0.0,0.0
843ca2dffffffff,1.0,0.0,0.0
843ca33ffffffff,10.0,0.0,0.0
843ca39ffffffff,2.0,0.0,0.0
843ca3bffffffff,2.0,0.0,0.0
843ca41ffffffff,25.0,0.0,0.0
843ca45ffffffff,19.0,0.0,0.0
843ca47ffffffff,40.0,0.0,0.0
843ca5bffffffff,2.0,0.0,0.0
843ca69ffffffff,5.0,0.0,0.0
843ca85ffffffff,11.0,0.0,0.0
843ca87ffffffff,45.0,0.0,0.0
843ca9dffffffff,2.0,0.0,0.0
843cab1ffffffff,22.0,0.0,0.0
843cabdffffffff,4.0,0.0,0.0
843cac3ffffffff,4.0,0.0,0.0
843cadbffffffff,1.0,0.0,0.0
843caddffffffff,5.0,0.0,0.0
843cb01ffffffff,2.0,0.0,0.0
843cb07ffffffff,5.0,0.0,0.0
843cb09ffffffff,6.0,0.0,0.0
843cb0dffffffff,3.0,0.0,0.0
843cb11ffffffff,2.0,0.0,0.0
843cb13ffffffff,27.0,0.0,0.0
843cb1dffffffff,8.0,0.0,0.0
843cb23ffffffff,11.0,0.0,0.0
843cb29ffffffff,4.0,0.0,0.0
843cb2bffffffff,2.0,0.0,0.0
843cb35ffffffff,1.0,0.0,0.0
843cb39ffffffff,22.0,0.0,0.0
843cb3bffffffff,12.0,0.0,0.0
843cb3dffffffff,2.0,0.0,0.0
843cb41ffffffff,2.0,0.0,0.0
843cb45ffffffff,111.0,0.0,0.0
843cb47ffffffff,11.0,0.0,0.0
843cb49ffffffff,2.0,0.0,0.0
843cb4bffffffff,37.0,0.0,0.0
843cb4dffffffff,162.0,0.0,0.0
843cb51ffffffff,48.0,0.0,0.0
843cb53ffffffff,3.0,0.0,0.0
843cb59ffffffff,137.0,0.0,0.0
843cb5bffffffff,3.0,0.0,0.0
843cb5dffffffff,783.0,0.0,0.0
843cb65ffffffff,77.0,0.0,0.0
843cb69ffffffff,15.0,0.0,0.0
843cb6bffffffff,17.0,0.0,0.0
843cb6dffffffff,46.0,0.0,0.0
843d107ffffffff,46.0,0.0,0.0
843d131ffffffff,2.0,0.0,0.0
843d135ffffffff,13.0,0.0,0.0
843d137ffffffff,64.0,0.0,0.0
843d139ffffffff,6.0,0.0,0.0
843d13dffffffff,142.0,0.0,0.0
843d805ffffffff,6.0,0.0,0.0
843d80dffffffff,18.0,0.0,0.0
843d845ffffffff,348.0,0.0,0.0
843d847ffffffff,42.0,0.0,0.0
843d855ffffffff,1.0,0.0,0.0
843d859ffffffff,4.0,0.0,0.0
843d863ffffffff,3.0,0.0,0.0
843d86bffffffff,54.0,0.0,0.0
843d8b1ffffffff,15.0,0.0,0.0
843d8b7ffffffff,2.0,0.0,0.0
843d8c1ffffffff,37.0,0.0,0.0
843d8c3ffffffff,20.0,0.0,0.0
843d8d1ffffffff,2.0,0.0,0.0
843d8d5ffffffff,53.0,0.0,0.0
843d8ddffffffff,67.0,0.0,0.0
843d907ffffffff,23.0,0.0,0.0
843d915ffffffff,59.0,0.0,0.0
843d91dffffffff,2.0,0.0,0.0
843d921ffffffff,7.0,0.0,0.0
843d923ffffffff,10.0,0.0,0.0
843d929ffffffff,79.0,0.0,0.0
843d92bffffffff,2.0,0.0,0.0
843d92dffffffff,29.0,0.0,0.0
843d933ffffffff,7.0,0.0,0.0
843d939ffffffff,21.0,0.0,0.0
843d93bffffffff,74.0,0.0,0.0
843d93dffffffff,76.0,0.0,0.0
843d963ffffffff,8.0,0.0,0.0
843d967ffffffff,109.0,0.0,0.0
843d981ffffffff,7.0,0.0,0.0
843d983ffffffff,29.0,0.0,0.0
843d985ffffffff,7.0,0.0,0.0
843d987ffffffff,11.0,0.0,0.0
843d989ffffffff,2.0,0.0,0.0
843d98bffffffff,3.0,0.0,0.0
843d98dffffffff,50.0,0.0,0.0
843d993ffffffff,149.0,0.0,0.0
843d997ffffffff,14.0,0.0,0.0
