cell_id,Megascops kennicottii,Megascops kennicottii [kennicottii Group],Megascops kennicottii vinaceus,Megascops kennicottii suttoni
84129b9ffffffff,2.0,0.0,0.0,0.0
84129bdffffffff,4.0,0.0,0.0,0.0
8412b01ffffffff,1.0,0.0,0.0,0.0
8412b03ffffffff,2.0,0.0,0.0,0.0
8412b0bffffffff,1.0,0.0,0.0,0.0
8412b4bffffffff,6.0,0.0,0.0,0.0
8412c87ffffffff,2.0,0.0,0.0,0.0
8412ca3ffffffff,6.0,0.0,0.0,0.0
8412cabffffffff,3.0,0.0,0.0,0.0
8412cb5ffffffff,3.0,0.0,0.0,0.0
8412cbdffffffff,1.0,0.0,0.0,0.0
8412d17ffffffff,204.0,0.0,0.0,0.0
8412d29ffffffff,12.0,0.0,0.0,0.0
8412d2dffffffff,2.0,0.0,0.0,0.0
8412d33ffffffff,42.0,0.0,0.0,0.0
8412d3bffffffff,77.0,0.0,0.0,0.0
8412d63ffffffff,6.0,0.0,0.0,0.0
8412d67ffffffff,10.0,0.0,0.0,0.0
8412d81ffffffff,5.0,0.0,0.0,0.0
8412d87ffffffff,3.0,0.0,0.0,0.0
8412da7ffffffff,1.0,0.0,0.0,0.0
8412dadffffffff,1.0,0.0,0.0,0.0
8412db1ffffffff,17.0,0.0,0.0,0.0
8412db3ffffffff,2.0,0.0,0.0,0.0
8412db5ffffffff,12.0,0.0,0.0,0.0
8412db7ffffffff,6.0,0.0,0.0,0.0
8412db9ffffffff,1.0,0.0,0.0,0.0
8412de5ffffffff,21.0,0.0,0.0,0.0
8412dedffffffff,9.0,0.0,0.0,0.0
841d243ffffffff,5.0,0.0,0.0,0.0
8426881ffffffff,33.0,0.0,0.0,0.0
8426885ffffffff,4.0,0.0,0.0,0.0
842688bffffffff,1.0,0.0,0.0,0.0
842688dffffffff,151.0,0.0,0.0,0.0
8426891ffffffff,7.0,0.0,0.0,0.0
8426893ffffffff,20.0,0.0,0.0,0.0
8426897ffffffff,2.0,0.0,0.0,0.0
8426899ffffffff,27.0,0.0,0.0,0.0
842689dffffffff,7.0,0.0,0.0,0.0
84268b3ffffffff,1.0,0.0,0.0,0.0
84268b7ffffffff,1.0,0.0,0.0,0.0
84268b9ffffffff,2.0,0.0,0.0,0.0
84268bbffffffff,3.0,0.0,0.0,0.0
84268c7ffffffff,5.0,0.0,0.0,0.0
84268d3ffffffff,11.0,0.0,0.0,0.0
84268d7ffffffff,3.0,0.0,0.0,0.0
8426905ffffffff,110.0,0.0,0.0,0.0
8426923ffffffff,2.0,0.0,0.0,0.0
842692bffffffff,1.0,0.0,0.0,0.0
8426957ffffffff,2.0,0.0,0.0,0.0
8426961ffffffff,2.0,0.0,0.0,0.0
8426963ffffffff,131.0,0.0,0.0,0.0
8426965ffffffff,2.0,0.0,0.0,0.0
8426969ffffffff,61.0,0.0,0.0,0.0
842696bffffffff,259.0,0.0,0.0,0.0
8426987ffffffff,4.0,0.0,0.0,0.0
84269a1ffffffff,8.0,0.0,0.0,0.0
84269abffffffff,14.0,0.0,0.0,0.0
84269adffffffff,2.0,2.0,0.0,0.0
84269bbffffffff,1.0,0.0,0.0,0.0
84269c1ffffffff,358.0,0.0,0.0,0.0
84269c3ffffffff,13.0,0.0,0.0,0.0
84269c5ffffffff,25.0,0.0,0.0,0.0
84269cdffffffff,71.0,0.0,0.0,0.0
84269e1ffffffff,4.0,0.0,0.0,0.0
84269e5ffffffff,2.0,0.0,0.0,0.0
84269e9ffffffff,2.0,0.0,0.0,0.0
84269ebffffffff,4.0,0.0,0.0,0.0
84269edffffffff,2.0,0.0,0.0,0.0
8426d45ffffffff,87.0,0.0,0.0,0.0
8426d67ffffffff,8.0,0.0,0.0,0.0
8426d69ffffffff,1.0,0.0,0.0,0.0
8426d6bffffffff,4.0,0.0,0.0,0.0
8426f27ffffffff,41.0,0.0,0.0,0.0
842793dffffffff,2.0,0.0,0.0,0.0
8427967ffffffff,6.0,0.0,0.0,0.0
8428005ffffffff,16.0,0.0,0.0,0.0
8428021ffffffff,37.0,0.0,0.0,0.0
8428023ffffffff,26.0,0.0,0.0,0.0
8428025ffffffff,3.0,0.0,0.0,0.0
8428027ffffffff,9.0,0.0,0.0,0.0
8428029ffffffff,5.0,0.0,0.0,0.0
842802bffffffff,64.0,0.0,0.0,0.0
842802dffffffff,6.0,0.0,0.0,0.0
8428061ffffffff,2.0,0.0,0.0,0.0
8428063ffffffff,15.0,0.0,0.0,0.0
8428067ffffffff,2.0,0.0,0.0,0.0
8428069ffffffff,2.0,0.0,0.0,0.0
842806bffffffff,4.0,0.0,0.0,0.0
842806dffffffff,17.0,0.0,0.0,0.0
8428101ffffffff,2.0,0.0,0.0,0.0
8428103ffffffff,12.0,0.0,0.0,0.0
8428107ffffffff,2.0,0.0,0.0,0.0
8428109ffffffff,2.0,0.0,0.0,0.0
842810bffffffff,2.0,0.0,0.0,0.0
8428113ffffffff,4.0,0.0,0.0,0.0
8428117ffffffff,2.0,0.0,0.0,0.0
8428119ffffffff,2.0,0.0,0.0,0.0
842811bffffffff,4.0,0.0,0.0,0.0
842812bffffffff,2.0,0.0,0.0,0.0
8428135ffffffff,2.0,0.0,0.0,0.0
8428141ffffffff,2.0,0.0,0.0,0.0
8428145ffffffff,2.0,0.0,0.0,0.0
8428149ffffffff,27.0,0.0,0.0,0.0
842814bffffffff,71.0,0.0,0.0,0.0
8428151ffffffff,1.0,0.0,0.0,0.0
8428153ffffffff,9.0,0.0,0.0,0.0
8428155ffffffff,2.0,0.0,0.0,0.0
8428157ffffffff,3.0,0.0,0.0,0.0
8428159ffffffff,3.0,0.0,0.0,0.0
842815dffffffff,12.0,0.0,0.0,0.0
8428183ffffffff,6.0,0.0,0.0,0.0
8428185ffffffff,1.0,0.0,0.0,0.0
8428187ffffffff,4.0,0.0,0.0,0.0
8428189ffffffff,4.0,0.0,0.0,0.0
842818bffffffff,2.0,0.0,0.0,0.0
842818dffffffff,9.0,0.0,0.0,0.0
84281a3ffffffff,4.0,0.0,0.0,0.0
84281abffffffff,6.0,0.0,0.0,0.0
84281b1ffffffff,3.0,0.0,0.0,0.0
84281b3ffffffff,4.0,0.0,0.0,0.0
84281b5ffffffff,120.0,0.0,0.0,0.0
84281b7ffffffff,3.0,0.0,0.0,0.0
84281bbffffffff,2.0,0.0,0.0,0.0
84281c3ffffffff,4.0,0.0,0.0,0.0
84281c5ffffffff,2.0,0.0,0.0,0.0
84281c7ffffffff,4.0,0.0,0.0,0.0
84281c9ffffffff,11.0,0.0,0.0,0.0
84281cbffffffff,5.0,0.0,0.0,0.0
84281d5ffffffff,7.0,0.0,0.0,0.0
84281e1ffffffff,7.0,0.0,0.0,0.0
84281e3ffffffff,20.0,0.0,0.0,0.0
84281e5ffffffff,8.0,0.0,0.0,0.0
84281e7ffffffff,2.0,0.0,0.0,0.0
84281e9ffffffff,45.0,0.0,0.0,0.0
84281ebffffffff,20.0,0.0,0.0,0.0
8428301ffffffff,224.0,0.0,0.0,0.0
8428303ffffffff,154.0,1.0,0.0,0.0
8428305ffffffff,10.0,0.0,0.0,0.0
8428307ffffffff,172.0,0.0,0.0,0.0
8428309ffffffff,192.0,0.0,0.0,0.0
842830bffffffff,83.0,0.0,0.0,0.0
842830dffffffff,129.0,0.0,0.0,0.0
8428311ffffffff,1.0,0.0,0.0,0.0
8428313ffffffff,2.0,0.0,0.0,0.0
8428315ffffffff,19.0,2.0,0.0,0.0
8428317ffffffff,75.0,0.0,0.0,0.0
842831dffffffff,48.0,5.0,0.0,0.0
8428321ffffffff,57.0,0.0,0.0,0.0
8428323ffffffff,16.0,0.0,0.0,0.0
8428325ffffffff,15.0,0.0,0.0,0.0
8428327ffffffff,97.0,0.0,0.0,0.0
8428329ffffffff,32.0,0.0,0.0,0.0
842832bffffffff,385.0,0.0,0.0,0.0
842832dffffffff,5.0,0.0,0.0,0.0
8428331ffffffff,3.0,0.0,0.0,0.0
8428333ffffffff,6.0,0.0,0.0,0.0
8428335ffffffff,10.0,0.0,0.0,0.0
8428337ffffffff,3.0,0.0,0.0,0.0
8428339ffffffff,37.0,0.0,0.0,0.0
842833bffffffff,26.0,0.0,0.0,0.0
842833dffffffff,2.0,0.0,0.0,0.0
8428341ffffffff,273.0,0.0,0.0,0.0
8428343ffffffff,124.0,0.0,0.0,0.0
8428345ffffffff,134.0,0.0,0.0,0.0
8428347ffffffff,556.0,0.0,0.0,0.0
842834dffffffff,81.0,0.0,0.0,0.0
8428361ffffffff,16.0,0.0,0.0,0.0
8428365ffffffff,25.0,0.0,0.0,0.0
8428367ffffffff,17.0,0.0,0.0,0.0
8428369ffffffff,2.0,0.0,0.0,0.0
842836bffffffff,69.0,0.0,0.0,0.0
842836dffffffff,2.0,0.0,0.0,0.0
8428809ffffffff,7.0,0.0,0.0,0.0
842880dffffffff,2.0,0.0,0.0,0.0
8428813ffffffff,9.0,2.0,0.0,0.0
8428815ffffffff,5.0,0.0,0.0,0.0
8428817ffffffff,4.0,0.0,0.0,0.0
8428819ffffffff,2.0,0.0,0.0,0.0
842881dffffffff,2.0,0.0,0.0,0.0
8428831ffffffff,4.0,0.0,0.0,0.0
8428833ffffffff,4.0,0.0,0.0,0.0
842883dffffffff,2.0,0.0,0.0,0.0
8428841ffffffff,36.0,0.0,0.0,0.0
8428843ffffffff,856.0,0.0,0.0,0.0
8428845ffffffff,1.0,0.0,0.0,0.0
8428847ffffffff,6.0,0.0,0.0,0.0
8428849ffffffff,2.0,0.0,0.0,0.0
842884bffffffff,9.0,0.0,0.0,0.0
842884dffffffff,33.0,0.0,0.0,0.0
8428851ffffffff,9.0,0.0,0.0,0.0
8428855ffffffff,33.0,0.0,0.0,0.0
842885bffffffff,8.0,0.0,0.0,0.0
842885dffffffff,8.0,0.0,0.0,0.0
8428863ffffffff,2.0,0.0,0.0,0.0
842886dffffffff,5.0,0.0,0.0,0.0
8428881ffffffff,3.0,0.0,0.0,0.0
8428885ffffffff,19.0,0.0,0.0,0.0
8428889ffffffff,8.0,0.0,0.0,0.0
842888bffffffff,54.0,0.0,0.0,0.0
842888dffffffff,93.0,0.0,0.0,0.0
8428893ffffffff,43.0,0.0,0.0,0.0
8428897ffffffff,1.0,0.0,0.0,0.0
8428899ffffffff,20.0,0.0,0.0,0.0
842889bffffffff,57.0,0.0,0.0,0.0
84288a1ffffffff,2.0,0.0,0.0,0.0
84288a3ffffffff,3.0,0.0,0.0,0.0
84288a9ffffffff,10.0,0.0,0.0,0.0
84288adffffffff,2.0,0.0,0.0,0.0
84288c3ffffffff,2.0,0.0,0.0,0.0
84288c5ffffffff,28.0,4.0,0.0,0.0
84288c7ffffffff,2.0,0.0,0.0,0.0
84288c9ffffffff,4.0,0.0,0.0,0.0
84288cbffffffff,1.0,0.0,0.0,0.0
84288cdffffffff,1.0,0.0,0.0,0.0
84288d1ffffffff,2.0,0.0,0.0,0.0
84288d5ffffffff,3.0,0.0,0.0,0.0
84288d7ffffffff,8.0,0.0,0.0,0.0
84288d9ffffffff,6.0,0.0,0.0,0.0
84288dbffffffff,30.0,0.0,0.0,0.0
84288e3ffffffff,2.0,0.0,0.0,0.0
84288e7ffffffff,38.0,0.0,0.0,0.0
84288e9ffffffff,2.0,0.0,0.0,0.0
842892bffffffff,2.0,0.0,0.0,0.0
8428939ffffffff,3.0,0.0,0.0,0.0
8428949ffffffff,2.0,0.0,0.0,0.0
842894dffffffff,6.0,0.0,0.0,0.0
8428963ffffffff,2.0,0.0,0.0,0.0
8428981ffffffff,2.0,0.0,0.0,0.0
8428985ffffffff,30.0,0.0,0.0,0.0
8428987ffffffff,7.0,0.0,0.0,0.0
842898dffffffff,8.0,0.0,0.0,0.0
84289a3ffffffff,4.0,0.0,0.0,0.0
84289abffffffff,4.0,0.0,0.0,0.0
84289b5ffffffff,2.0,0.0,0.0,0.0
84289c5ffffffff,2.0,0.0,0.0,0.0
84289ddffffffff,1.0,0.0,0.0,0.0
84289e3ffffffff,36.0,0.0,0.0,0.0
84289ebffffffff,4.0,0.0,0.0,0.0
84289edffffffff,3.0,0.0,0.0,0.0
8428a11ffffffff,16.0,0.0,0.0,0.0
8428a17ffffffff,4.0,0.0,0.0,0.0
8428a23ffffffff,2.0,0.0,0.0,0.0
8428a35ffffffff,6.0,0.0,0.0,0.0
8428a37ffffffff,1.0,0.0,0.0,0.0
8428a3dffffffff,1.0,0.0,0.0,0.0
8428a93ffffffff,6.0,0.0,0.0,0.0
8428a95ffffffff,1.0,0.0,0.0,0.0
8428a97ffffffff,4.0,0.0,0.0,0.0
8428aa1ffffffff,6.0,0.0,0.0,0.0
8428aa3ffffffff,4.0,0.0,0.0,0.0
8428aabffffffff,2.0,0.0,0.0,0.0
8428ab1ffffffff,9.0,0.0,0.0,0.0
8428ab3ffffffff,3.0,0.0,0.0,0.0
8428ab7ffffffff,2.0,0.0,0.0,0.0
8428ab9ffffffff,3.0,0.0,0.0,0.0
8428abdffffffff,3.0,0.0,0.0,0.0
8428ac9ffffffff,4.0,0.0,0.0,0.0
8428acdffffffff,1.0,0.0,0.0,0.0
8428ad1ffffffff,4.0,0.0,0.0,0.0
8428ad9ffffffff,1.0,0.0,0.0,0.0
8428adbffffffff,2.0,0.0,0.0,0.0
8428addffffffff,2.0,0.0,0.0,0.0
8428ae3ffffffff,4.0,0.0,0.0,0.0
8428ae9ffffffff,72.0,0.0,0.0,0.0
8428aebffffffff,3.0,0.0,0.0,0.0
8428b09ffffffff,3.0,0.0,0.0,0.0
8428b0bffffffff,2.0,0.0,0.0,0.0
8428b11ffffffff,26.0,0.0,0.0,0.0
8428b19ffffffff,4.0,0.0,0.0,0.0
8428b1dffffffff,22.0,0.0,0.0,0.0
8428b23ffffffff,4.0,0.0,0.0,0.0
8428b2bffffffff,5.0,0.0,0.0,0.0
8428b43ffffffff,2.0,0.0,0.0,0.0
8428b57ffffffff,3.0,0.0,0.0,0.0
8428b61ffffffff,21.0,0.0,0.0,0.0
8428b65ffffffff,38.0,0.0,0.0,0.0
8428b6dffffffff,15.0,0.0,0.0,0.0
8428c21ffffffff,4.0,0.0,0.0,0.0
8428c23ffffffff,3.0,0.0,0.0,0.0
8428c25ffffffff,2.0,0.0,0.0,0.0
8428ca7ffffffff,1.0,0.0,0.0,0.0
8428d05ffffffff,9.0,0.0,0.0,0.0
8428d07ffffffff,6.0,0.0,0.0,0.0
8428d09ffffffff,5.0,0.0,0.0,0.0
8428d0bffffffff,6.0,0.0,0.0,0.0
8428d11ffffffff,4.0,0.0,0.0,0.0
8428d13ffffffff,11.0,0.0,0.0,0.0
8428d19ffffffff,30.0,0.0,0.0,0.0
8428d1bffffffff,54.0,0.0,0.0,0.0
8428d21ffffffff,2.0,0.0,0.0,0.0
8428d25ffffffff,9.0,0.0,0.0,0.0
8428d2dffffffff,4.0,0.0,0.0,0.0
8428d33ffffffff,3.0,0.0,0.0,0.0
8428d3dffffffff,2.0,0.0,0.0,0.0
8428d43ffffffff,2.0,0.0,0.0,0.0
8428d45ffffffff,10.0,0.0,0.0,0.0
8428d4dffffffff,44.0,0.0,0.0,0.0
8428d51ffffffff,1.0,0.0,0.0,0.0
8428d53ffffffff,1.0,0.0,0.0,0.0
8428d55ffffffff,352.0,0.0,0.0,0.0
8428d5dffffffff,6.0,0.0,0.0,0.0
8428d69ffffffff,4.0,0.0,0.0,0.0
8428d6bffffffff,4.0,0.0,0.0,0.0
8428d89ffffffff,4.0,0.0,0.0,0.0
8428d8bffffffff,6.0,0.0,0.0,0.0
8428d93ffffffff,3.0,0.0,0.0,0.0
8428d95ffffffff,2.0,0.0,0.0,0.0
8428d9dffffffff,2.0,0.0,0.0,0.0
8428da5ffffffff,4.0,0.0,0.0,0.0
8428dadffffffff,2.0,0.0,0.0,0.0
8428dc1ffffffff,8.0,0.0,0.0,0.0
8428dc3ffffffff,17.0,0.0,0.0,0.0
8428dc5ffffffff,15.0,0.0,0.0,0.0
8428dc7ffffffff,2.0,0.0,0.0,0.0
8428dc9ffffffff,48.0,0.0,0.0,0.0
8428dcbffffffff,20.0,0.0,0.0,0.0
8428dcdffffffff,2.0,0.0,0.0,0.0
8428dd1ffffffff,3.0,0.0,0.0,0.0
8428de3ffffffff,5.0,0.0,0.0,0.0
8428de7ffffffff,3.0,0.0,0.0,0.0
8428f01ffffffff,478.0,0.0,0.0,0.0
8428f03ffffffff,14.0,0.0,0.0,0.0
8428f05ffffffff,4.0,0.0,0.0,0.0
8428f07ffffffff,4.0,0.0,0.0,0.0
8428f09ffffffff,14.0,0.0,0.0,0.0
8428f0bffffffff,9.0,0.0,0.0,0.0
8428f0dffffffff,5.0,0.0,0.0,0.0
8428f15ffffffff,2.0,0.0,0.0,0.0
8428f1dffffffff,3.0,0.0,0.0,0.0
8428f21ffffffff,2.0,0.0,0.0,0.0
8428f25ffffffff,2.0,0.0,0.0,0.0
8428f27ffffffff,12.0,0.0,0.0,0.0
8428f29ffffffff,4.0,0.0,0.0,0.0
8428f2dffffffff,6.0,0.0,0.0,0.0
8428f39ffffffff,2.0,0.0,0.0,0.0
8428f41ffffffff,11.0,0.0,0.0,0.0
8428f43ffffffff,49.0,0.0,0.0,0.0
8428f45ffffffff,2.0,0.0,0.0,0.0
8428f47ffffffff,4.0,0.0,0.0,0.0
8428f49ffffffff,2.0,0.0,0.0,0.0
8428f4bffffffff,101.0,0.0,0.0,0.0
8428f51ffffffff,2.0,0.0,0.0,0.0
