cell_id,Illadopsis cleaveri,Illadopsis cleaveri cleaveri/johnsoni,Illadopsis cleaveri batesi/marchanti,Illadopsis cleaveri poensis
8458d23ffffffff,4.0,0.0,0.0,0.0
8458d31ffffffff,2.0,0.0,0.0,0.0
8458d33ffffffff,4.0,0.0,0.0,0.0
8458d35ffffffff,1.0,0.0,0.0,0.0
8458d37ffffffff,2.0,0.0,0.0,0.0
8458d8bffffffff,1.0,0.0,0.0,0.0
8458db5ffffffff,4.0,0.0,0.0,0.0
8458de5ffffffff,3.0,0.0,0.0,0.0
8475011ffffffff,1.0,0.0,0.0,0.0
8475085ffffffff,79.0,10.0,0.0,0.0
8475087ffffffff,39.0,5.0,0.0,0.0
84750d1ffffffff,29.0,3.0,0.0,0.0
84750d9ffffffff,1.0,0.0,0.0,0.0
8475187ffffffff,1.0,0.0,0.0,0.0
8475295ffffffff,46.0,2.0,0.0,0.0
84752adffffffff,1.0,0.0,0.0,0.0
8475861ffffffff,1.0,0.0,0.0,0.0
8475a07ffffffff,3.0,0.0,0.0,0.0
8475a81ffffffff,2.0,0.0,0.0,0.0
8475a83ffffffff,2.0,0.0,0.0,0.0
8475ab9ffffffff,1.0,0.0,0.0,0.0
8475b01ffffffff,2.0,0.0,0.0,0.0
8475b07ffffffff,3.0,0.0,0.0,0.0
8482125ffffffff,1.0,0.0,0.0,0.0
8482181ffffffff,1.0,0.0,0.0,0.0
8482801ffffffff,1.0,0.0,0.0,0.0
8482841ffffffff,1.0,0.0,0.0,0.0
848284dffffffff,6.0,0.0,2.0,0.0
84828adffffffff,3.0,0.0,0.0,0.0
84828d1ffffffff,143.0,0.0,0.0,0.0
848290bffffffff,8.0,0.0,0.0,0.0
84829dbffffffff,1.0,0.0,0.0,0.0
8482a81ffffffff,5.0,0.0,0.0,0.0
8482a83ffffffff,1.0,0.0,0.0,0.0
8482aadffffffff,6.0,0.0,0.0,0.0
8482ab3ffffffff,2.0,0.0,0.0,0.0
8482ab7ffffffff,6.0,0.0,0.0,0.0
8482b0bffffffff,1.0,0.0,0.0,0.0
8482b1dffffffff,1.0,0.0,0.0,0.0
8482d1dffffffff,10.0,0.0,0.0,7.0
8482d27ffffffff,10.0,0.0,0.0,0.0
8482d37ffffffff,1.0,0.0,0.0,0.0
8482d3dffffffff,8.0,0.0,0.0,0.0
8482f2dffffffff,1.0,0.0,0.0,0.0
