cell_id,Cardellina pusilla,Cardellina pusilla pileolata,Cardellina pusilla pusilla,Cardellina pusilla chryseola
840ce17ffffffff,8.0,0.0,0.0,0.0
840ce1bffffffff,3.0,0.0,0.0,0.0
840ce27ffffffff,5.0,0.0,0.0,0.0
840ce3dffffffff,9.0,0.0,0.0,0.0
840ce91ffffffff,2.0,0.0,0.0,0.0
840ce99ffffffff,2.0,0.0,0.0,0.0
840ce9dffffffff,13.0,0.0,0.0,0.0
840cec1ffffffff,2.0,0.0,0.0,0.0
840cec5ffffffff,31.0,0.0,0.0,0.0
840cec7ffffffff,2.0,0.0,0.0,0.0
840cec9ffffffff,9.0,0.0,0.0,0.0
840cecdffffffff,7.0,0.0,0.0,0.0
840ced3ffffffff,1.0,0.0,0.0,0.0
840ced7ffffffff,4.0,0.0,0.0,0.0
840ced9ffffffff,2.0,0.0,0.0,0.0
840cedbffffffff,1.0,0.0,0.0,0.0
840cee5ffffffff,6.0,0.0,0.0,0.0
840cee9ffffffff,11.0,0.0,0.0,0.0
840cf45ffffffff,1.0,0.0,0.0,0.0
840cf4bffffffff,1.0,0.0,0.0,0.0
840d039ffffffff,11.0,0.0,0.0,0.0
840d093ffffffff,10.0,0.0,0.0,0.0
840d09bffffffff,6.0,0.0,0.0,0.0
840d0b3ffffffff,1.0,0.0,0.0,0.0
840d1b3ffffffff,2.0,0.0,0.0,0.0
840d1b7ffffffff,1.0,0.0,0.0,0.0
840d405ffffffff,5.0,0.0,0.0,0.0
840d40dffffffff,12.0,0.0,0.0,0.0
840d425ffffffff,6.0,0.0,0.0,0.0
840d443ffffffff,3.0,0.0,0.0,0.0
840d447ffffffff,2.0,0.0,0.0,0.0
840d463ffffffff,6.0,0.0,0.0,0.0
840d483ffffffff,1.0,0.0,0.0,0.0
840d48bffffffff,6.0,0.0,0.0,0.0
840d49bffffffff,2.0,0.0,0.0,0.0
840d49dffffffff,4.0,0.0,0.0,0.0
840d4a1ffffffff,17.0,1.0,0.0,0.0
840d4a9ffffffff,4.0,0.0,0.0,0.0
840d4abffffffff,5.0,0.0,0.0,0.0
840d4c1ffffffff,6.0,0.0,0.0,0.0
840d4c3ffffffff,26.0,0.0,0.0,0.0
840d4c9ffffffff,2.0,0.0,0.0,0.0
840d4d5ffffffff,196.0,0.0,0.0,0.0
840d4e7ffffffff,7.0,0.0,0.0,0.0
840d521ffffffff,4.0,0.0,0.0,0.0
840d523ffffffff,11.0,0.0,0.0,0.0
840d527ffffffff,1.0,0.0,0.0,0.0
840d529ffffffff,7.0,0.0,0.0,0.0
840d52bffffffff,2.0,0.0,0.0,0.0
840d537ffffffff,3.0,0.0,0.0,0.0
840d569ffffffff,21.0,0.0,0.0,0.0
840d56bffffffff,2.0,0.0,0.0,0.0
840d585ffffffff,138.0,0.0,0.0,0.0
840d58dffffffff,13.0,0.0,0.0,0.0
840d595ffffffff,11.0,0.0,0.0,0.0
840d5a5ffffffff,2.0,0.0,0.0,0.0
840d5a9ffffffff,212.0,13.0,0.0,0.0
840d5adffffffff,3.0,0.0,0.0,0.0
840d5b9ffffffff,11.0,0.0,0.0,0.0
840d5bbffffffff,10.0,0.0,0.0,0.0
840d5c1ffffffff,1.0,0.0,0.0,0.0
840d5c7ffffffff,10.0,1.0,0.0,0.0
840d5e1ffffffff,2.0,0.0,0.0,0.0
840d5e3ffffffff,24.0,0.0,0.0,0.0
840d5e5ffffffff,7.0,0.0,0.0,0.0
840d5e7ffffffff,14.0,0.0,0.0,0.0
840d5ebffffffff,3.0,0.0,0.0,0.0
840d605ffffffff,18.0,0.0,0.0,0.0
840d619ffffffff,41.0,0.0,0.0,0.0
840d61bffffffff,13.0,0.0,0.0,0.0
840d62bffffffff,3.0,0.0,0.0,0.0
840d653ffffffff,2.0,0.0,0.0,0.0
840d6a9ffffffff,7.0,0.0,0.0,0.0
840d6c5ffffffff,2.0,0.0,0.0,0.0
840d6cdffffffff,8.0,0.0,0.0,0.0
840d6e1ffffffff,2.0,0.0,0.0,0.0
840d6e3ffffffff,9.0,0.0,0.0,0.0
840d6e7ffffffff,2.0,0.0,0.0,0.0
840d6ebffffffff,4.0,0.0,0.0,0.0
840d70bffffffff,2.0,0.0,0.0,0.0
840d723ffffffff,11.0,0.0,0.0,0.0
840d729ffffffff,6.0,0.0,0.0,0.0
840d737ffffffff,4.0,0.0,0.0,0.0
840e087ffffffff,2.0,0.0,0.0,0.0
840e0b1ffffffff,6.0,0.0,0.0,0.0
840e291ffffffff,2.0,0.0,0.0,0.0
840e29bffffffff,4.0,0.0,0.0,0.0
840e29dffffffff,2.0,0.0,0.0,0.0
840e413ffffffff,2.0,0.0,0.0,0.0
840e453ffffffff,8.0,0.0,0.0,0.0
840e45bffffffff,25.0,0.0,0.0,0.0
840e481ffffffff,39.0,0.0,0.0,0.0
840e483ffffffff,3.0,0.0,0.0,0.0
840e48dffffffff,19.0,0.0,0.0,0.0
840e491ffffffff,12.0,0.0,0.0,0.0
840e495ffffffff,1.0,0.0,0.0,0.0
840e497ffffffff,24.0,0.0,0.0,0.0
840e499ffffffff,3.0,0.0,0.0,0.0
840e49bffffffff,16.0,0.0,0.0,0.0
840e49dffffffff,1.0,0.0,0.0,0.0
840e4a1ffffffff,4.0,0.0,0.0,0.0
840e4a3ffffffff,6.0,0.0,0.0,0.0
840e4a7ffffffff,6.0,0.0,0.0,0.0
840e4a9ffffffff,33.0,0.0,0.0,0.0
840e4b3ffffffff,31.0,0.0,0.0,0.0
840e4b9ffffffff,2.0,0.0,0.0,0.0
840e4bbffffffff,1.0,0.0,0.0,0.0
840e4c3ffffffff,8.0,0.0,0.0,0.0
840e4c5ffffffff,1.0,0.0,0.0,0.0
840e4cdffffffff,4.0,0.0,0.0,0.0
840e4d1ffffffff,13.0,0.0,0.0,0.0
840e4d3ffffffff,15.0,0.0,0.0,0.0
840e4dbffffffff,237.0,0.0,0.0,0.0
840e515ffffffff,2.0,0.0,0.0,0.0
840e519ffffffff,1.0,0.0,0.0,0.0
840e51dffffffff,2.0,0.0,0.0,0.0
840e523ffffffff,30.0,0.0,0.0,0.0
840e531ffffffff,12.0,0.0,0.0,0.0
840e535ffffffff,24.0,0.0,0.0,0.0
840e539ffffffff,2.0,0.0,0.0,0.0
840e53dffffffff,10.0,0.0,0.0,0.0
840e583ffffffff,6.0,0.0,0.0,0.0
840e59bffffffff,4.0,0.0,0.0,0.0
840e59dffffffff,4.0,0.0,0.0,0.0
840e5adffffffff,1.0,0.0,0.0,0.0
840e5b3ffffffff,9.0,0.0,0.0,0.0
840e5b7ffffffff,2.0,0.0,0.0,0.0
840e5b9ffffffff,2.0,0.0,0.0,0.0
840e623ffffffff,10.0,0.0,0.0,0.0
840e63dffffffff,2.0,0.0,0.0,0.0
840e6adffffffff,3.0,0.0,0.0,0.0
840e6e7ffffffff,3.0,0.0,0.0,0.0
840e805ffffffff,53.0,0.0,0.0,0.0
840e807ffffffff,4.0,0.0,0.0,0.0
840e831ffffffff,3.0,0.0,0.0,0.0
840e835ffffffff,2.0,0.0,0.0,0.0
840e83bffffffff,5.0,0.0,0.0,0.0
840e891ffffffff,4.0,0.0,0.0,0.0
840e897ffffffff,3.0,0.0,0.0,0.0
840e89bffffffff,5.0,0.0,0.0,0.0
840e8e1ffffffff,2.0,0.0,0.0,0.0
840e911ffffffff,3.0,0.0,0.0,0.0
840e945ffffffff,4.0,0.0,0.0,0.0
840e9a1ffffffff,5.0,0.0,0.0,0.0
840e9a7ffffffff,4.0,0.0,0.0,0.0
840ec09ffffffff,1.0,0.0,0.0,0.0
840ec0bffffffff,4.0,0.0,0.0,0.0
840ec19ffffffff,35.0,0.0,0.0,0.0
840ec21ffffffff,12.0,0.0,0.0,0.0
840ec23ffffffff,3.0,0.0,0.0,0.0
840ec27ffffffff,4.0,0.0,0.0,0.0
840ec29ffffffff,10.0,0.0,0.0,0.0
840ec2dffffffff,12.0,0.0,0.0,0.0
840ec41ffffffff,1.0,0.0,0.0,0.0
840ec4dffffffff,1.0,0.0,0.0,0.0
840ec81ffffffff,2.0,0.0,0.0,0.0
840ec85ffffffff,6.0,0.0,0.0,0.0
840ec95ffffffff,7.0,0.0,0.0,0.0
840ec97ffffffff,2.0,0.0,0.0,0.0
840ec9bffffffff,1.0,0.0,0.0,0.0
840ec9dffffffff,2.0,0.0,0.0,0.0
840ecabffffffff,7.0,0.0,0.0,0.0
840ecb3ffffffff,2.0,0.0,0.0,0.0
840ecb9ffffffff,6.0,0.0,0.0,0.0
840ecbdffffffff,5.0,0.0,0.0,0.0
840ecc1ffffffff,22.0,0.0,0.0,0.0
840ecc7ffffffff,1.0,0.0,0.0,0.0
840ecc9ffffffff,134.0,0.0,0.0,0.0
840ecd1ffffffff,2.0,0.0,0.0,0.0
840ecd7ffffffff,2.0,0.0,0.0,0.0
840ed13ffffffff,6.0,0.0,0.0,0.0
840ed45ffffffff,7.0,0.0,0.0,0.0
840ed49ffffffff,4.0,0.0,0.0,0.0
840ed4dffffffff,7.0,0.0,0.0,0.0
840ed55ffffffff,1.0,0.0,0.0,0.0
840ed57ffffffff,1.0,0.0,0.0,0.0
840ed5dffffffff,4.0,0.0,0.0,0.0
840ed81ffffffff,1.0,0.0,0.0,0.0
840ed85ffffffff,3.0,0.0,0.0,0.0
840ed91ffffffff,4.0,0.0,0.0,0.0
840ed99ffffffff,2.0,0.0,0.0,0.0
840ed9dffffffff,1.0,0.0,0.0,0.0
840ee17ffffffff,3.0,0.0,0.0,0.0
840ee27ffffffff,2.0,0.0,0.0,0.0
840ee81ffffffff,2.0,0.0,0.0,0.0
840ee85ffffffff,4.0,0.0,0.0,0.0
840ee89ffffffff,2.0,0.0,0.0,0.0
840ee8bffffffff,6.0,0.0,0.0,0.0
840ee91ffffffff,2.0,0.0,0.0,0.0
840ee95ffffffff,2.0,0.0,0.0,0.0
840ee99ffffffff,2.0,0.0,0.0,0.0
840ee9dffffffff,2.0,0.0,0.0,0.0
840eea7ffffffff,459.0,0.0,0.0,0.0
840eeb9ffffffff,4.0,0.0,0.0,0.0
840eebdffffffff,3.0,0.0,0.0,0.0
840eec7ffffffff,2.0,0.0,0.0,0.0
840eec9ffffffff,2.0,0.0,0.0,0.0
840eecdffffffff,8.0,0.0,0.0,0.0
840eed3ffffffff,1.0,0.0,0.0,0.0
840eed5ffffffff,53.0,0.0,0.0,0.0
840eeebffffffff,4.0,0.0,0.0,0.0
840ef03ffffffff,8.0,0.0,0.0,0.0
840ef07ffffffff,1.0,0.0,0.0,0.0
840ef2dffffffff,5.0,0.0,0.0,0.0
840ef31ffffffff,2.0,0.0,0.0,0.0
840ef39ffffffff,6.0,0.0,0.0,0.0
840f5a1ffffffff,2.0,0.0,0.0,0.0
840f5a5ffffffff,2.0,0.0,0.0,0.0
840f5a7ffffffff,8.0,0.0,0.0,0.0
84120a1ffffffff,1.0,0.0,0.0,0.0
841213bffffffff,11.0,0.0,0.0,0.0
8412145ffffffff,3.0,0.0,0.0,0.0
8412147ffffffff,6.0,0.0,0.0,0.0
841215dffffffff,1.0,0.0,0.0,0.0
8412181ffffffff,2.0,0.0,0.0,0.0
8412185ffffffff,4.0,0.0,0.0,0.0
8412199ffffffff,2.0,0.0,0.0,0.0
84121a1ffffffff,2.0,0.0,0.0,0.0
84121a3ffffffff,6.0,0.0,0.0,0.0
84121a5ffffffff,1.0,0.0,0.0,0.0
84121a7ffffffff,17.0,0.0,0.0,0.0
84121abffffffff,8.0,0.0,0.0,0.0
84121adffffffff,2.0,0.0,0.0,0.0
84121bbffffffff,2.0,0.0,0.0,0.0
84121bdffffffff,3.0,0.0,0.0,0.0
84121e1ffffffff,2.0,0.0,0.0,0.0
84121e3ffffffff,25.0,0.0,0.0,0.0
8412251ffffffff,1.0,0.0,0.0,0.0
8412291ffffffff,2.0,0.0,0.0,0.0
8412307ffffffff,2.0,0.0,0.0,0.0
8412339ffffffff,1.0,0.0,0.0,0.0
8412445ffffffff,29.0,0.0,0.0,0.0
841244dffffffff,8.0,0.0,0.0,0.0
841246bffffffff,6.0,0.0,0.0,0.0
84124b7ffffffff,1.0,0.0,0.0,0.0
84124d9ffffffff,2.0,0.0,0.0,0.0
8412505ffffffff,6.0,0.0,0.0,0.0
8412515ffffffff,27.0,0.0,0.0,0.0
8412517ffffffff,6.0,0.0,0.0,0.0
841251dffffffff,11.0,0.0,0.0,0.0
8412521ffffffff,2.0,0.0,0.0,0.0
841252bffffffff,2.0,0.0,0.0,0.0
8412535ffffffff,4.0,0.0,0.0,0.0
8412539ffffffff,1.0,0.0,0.0,0.0
841253bffffffff,4.0,0.0,0.0,0.0
8412543ffffffff,2.0,0.0,0.0,0.0
8412549ffffffff,43.0,0.0,0.0,0.0
841254bffffffff,13.0,0.0,0.0,0.0
8412555ffffffff,6.0,0.0,0.0,0.0
841255dffffffff,2.0,0.0,0.0,0.0
8412581ffffffff,4.0,0.0,0.0,0.0
8412591ffffffff,53.0,0.0,0.0,0.0
8412597ffffffff,3.0,0.0,0.0,0.0
84125d9ffffffff,7.0,0.0,0.0,0.0
84125dbffffffff,6.0,0.0,0.0,0.0
841260bffffffff,2.0,0.0,0.0,0.0
8412639ffffffff,10.0,0.0,0.0,0.0
84126a1ffffffff,2.0,0.0,0.0,0.0
84126b1ffffffff,2.0,0.0,0.0,0.0
8412721ffffffff,35.0,0.0,0.0,0.0
8412723ffffffff,70.0,0.0,0.0,0.0
