cell_id,Leioptila annectens,Leioptila annectens [annectens Group],Leioptila annectens eximia
823c0ffffffffff,2.0,0.0,0.0
823c1ffffffffff,1.0,0.0,0.0
823c47fffffffff,1.0,0.0,0.0
823c57fffffffff,242.0,0.0,0.0
823c5ffffffffff,388.0,0.0,0.0
823cc7fffffffff,8.0,0.0,0.0
823cdffffffffff,3.0,0.0,0.0
823ce7fffffffff,27.0,0.0,0.0
823ceffffffffff,46.0,0.0,0.0
82404ffffffffff,83.0,0.0,0.0
82405ffffffffff,11.0,0.0,0.0
824067fffffffff,2.0,0.0,0.0
82406ffffffffff,40.0,0.0,0.0
82414ffffffffff,32.0,0.0,0.0
82415ffffffffff,5.0,0.0,0.0
824167fffffffff,5.0,0.0,0.0
826487fffffffff,523.0,14.0,0.0
826497fffffffff,587.0,26.0,0.0
82649ffffffffff,16.0,0.0,0.0
8264a7fffffffff,14.0,0.0,0.0
