cell_id,Melanerpes formicivorus,Melanerpes formicivorus [formicivorus Group],Melanerpes formicivorus angustifrons
83268bfffffffff,1.0,0.0,0.0
832800fffffffff,27.0,0.0,0.0
832802fffffffff,1200.0,0.0,0.0
832803fffffffff,2.0,0.0,0.0
832806fffffffff,2455.0,0.0,0.0
832810fffffffff,511.0,0.0,0.0
832811fffffffff,966.0,0.0,0.0
832812fffffffff,1.0,0.0,0.0
832813fffffffff,4.0,0.0,0.0
832814fffffffff,2847.0,0.0,0.0
832815fffffffff,3051.0,0.0,0.0
832816fffffffff,47.0,0.0,0.0
832818fffffffff,791.0,0.0,0.0
83281afffffffff,81.0,0.0,0.0
83281bfffffffff,1298.0,0.0,0.0
83281cfffffffff,418.0,0.0,0.0
83281dfffffffff,8.0,0.0,0.0
83281efffffffff,7587.0,0.0,0.0
832830fffffffff,25444.0,471.0,0.0
832831fffffffff,2907.0,127.0,0.0
832832fffffffff,22318.0,0.0,0.0
832833fffffffff,3738.0,0.0,0.0
832834fffffffff,32201.0,63.0,0.0
832835fffffffff,1.0,0.0,0.0
832836fffffffff,7274.0,10.0,0.0
8328adfffffffff,1.0,0.0,0.0
8328f0fffffffff,1183.0,0.0,0.0
8328f2fffffffff,360.0,0.0,0.0
8328f4fffffffff,4540.0,0.0,0.0
8328f5fffffffff,833.0,0.0,0.0
8328f6fffffffff,68.0,0.0,0.0
832912fffffffff,8392.0,0.0,0.0
832913fffffffff,1386.0,0.0,0.0
83291afffffffff,5839.0,0.0,0.0
832981fffffffff,1.0,0.0,0.0
832985fffffffff,20.0,0.0,0.0
832989fffffffff,24.0,0.0,0.0
83298cfffffffff,11.0,0.0,0.0
83298dfffffffff,793.0,0.0,0.0
832990fffffffff,35.0,0.0,0.0
832994fffffffff,138.0,4.0,0.0
832995fffffffff,5.0,0.0,0.0
8329a0fffffffff,21965.0,1.0,0.0
8329a1fffffffff,23365.0,0.0,0.0
8329a3fffffffff,72.0,0.0,0.0
8329a4fffffffff,10427.0,0.0,0.0
8329a5fffffffff,633.0,0.0,0.0
8329a6fffffffff,2547.0,0.0,0.0
8329a8fffffffff,297.0,0.0,0.0
8329a9fffffffff,5331.0,1.0,0.0
8329aafffffffff,1334.0,0.0,0.0
8329abfffffffff,3997.0,0.0,0.0
8329acfffffffff,6500.0,0.0,0.0
8329adfffffffff,5682.0,0.0,0.0
8329aefffffffff,2406.0,0.0,0.0
8329b0fffffffff,322.0,0.0,0.0
8329b2fffffffff,2881.0,90.0,0.0
8329b6fffffffff,1563.0,88.0,0.0
834505fffffffff,353.0,15.0,0.0
834520fffffffff,115.0,0.0,0.0
834522fffffffff,43.0,0.0,0.0
834523fffffffff,195.0,0.0,0.0
834524fffffffff,2016.0,0.0,0.0
834525fffffffff,253.0,43.0,0.0
834526fffffffff,457.0,0.0,0.0
83452afffffffff,1552.0,74.0,0.0
83452efffffffff,3533.0,183.0,0.0
834530fffffffff,60.0,0.0,0.0
834532fffffffff,3.0,0.0,0.0
834534fffffffff,39.0,0.0,0.0
834535fffffffff,322.0,0.0,0.0
834536fffffffff,117.0,0.0,0.0
834802fffffffff,3.0,0.0,0.0
834803fffffffff,3.0,0.0,0.0
834805fffffffff,362.0,0.0,229.0
83480afffffffff,148.0,1.0,0.0
834810fffffffff,7.0,0.0,0.0
834811fffffffff,1.0,0.0,0.0
834814fffffffff,271.0,0.0,0.0
834815fffffffff,2.0,0.0,0.0
834816fffffffff,2.0,0.0,0.0
834818fffffffff,5.0,0.0,0.0
834819fffffffff,88.0,10.0,0.0
83481bfffffffff,18.0,0.0,0.0
83481cfffffffff,9.0,0.0,0.0
83481dfffffffff,55.0,5.0,0.0
83481efffffffff,10.0,0.0,0.0
834823fffffffff,1.0,0.0,0.0
83482efffffffff,363.0,0.0,232.0
834832fffffffff,38.0,0.0,0.0
834833fffffffff,406.0,0.0,0.0
834836fffffffff,1110.0,36.0,0.0
83484afffffffff,561.0,4.0,0.0
834859fffffffff,1099.0,2.0,0.0
83485dfffffffff,104.0,0.0,0.0
834884fffffffff,3.0,0.0,0.0
83488dfffffffff,64.0,0.0,0.0
8348a0fffffffff,12.0,0.0,0.0
8348a2fffffffff,1351.0,0.0,0.0
8348a3fffffffff,2.0,0.0,0.0
8348a6fffffffff,108.0,0.0,0.0
8348abfffffffff,2761.0,0.0,0.0
8348b1fffffffff,3.0,0.0,0.0
8348b4fffffffff,1.0,0.0,0.0
8348b5fffffffff,9.0,0.0,0.0
8348c0fffffffff,899.0,0.0,0.0
8348c1fffffffff,1026.0,28.0,0.0
8348c2fffffffff,15.0,0.0,0.0
8348c3fffffffff,655.0,0.0,0.0
8348c4fffffffff,3.0,0.0,0.0
8348c5fffffffff,23722.0,1889.0,0.0
8348c6fffffffff,197.0,0.0,0.0
8348c8fffffffff,2.0,0.0,0.0
8348c9fffffffff,1173.0,19.0,0.0
8348cafffffffff,28.0,0.0,0.0
8348ccfffffffff,696.0,90.0,0.0
8348cdfffffffff,1112.0,187.0,0.0
8348cefffffffff,14.0,2.0,0.0
8348d1fffffffff,156.0,0.0,0.0
8348d4fffffffff,673.0,0.0,0.0
8348d5fffffffff,31.0,0.0,0.0
8348d8fffffffff,4995.0,0.0,0.0
8348d9fffffffff,7.0,0.0,0.0
8348dafffffffff,2.0,0.0,0.0
8348dcfffffffff,14.0,0.0,0.0
8348ddfffffffff,66.0,0.0,0.0
8348e0fffffffff,16.0,0.0,0.0
8348e1fffffffff,27.0,2.0,0.0
8348e2fffffffff,44.0,6.0,0.0
8348e3fffffffff,483.0,9.0,0.0
8348e4fffffffff,252.0,32.0,0.0
8348e5fffffffff,2.0,0.0,0.0
8348e6fffffffff,111.0,4.0,0.0
8348e8fffffffff,29809.0,0.0,0.0
8348e9fffffffff,7.0,4.0,0.0
8348eafffffffff,330.0,94.0,0.0
8348ebfffffffff,1392.0,139.0,0.0
8348ecfffffffff,2696.0,0.0,0.0
8348eefffffffff,27683.0,1124.0,0.0
8348f2fffffffff,6250.0,0.0,0.0
8348f5fffffffff,17.0,2.0,0.0
834980fffffffff,408.0,0.0,0.0
834981fffffffff,8.0,0.0,0.0
834982fffffffff,106.0,2.0,0.0
834983fffffffff,127.0,0.0,0.0
834985fffffffff,68.0,0.0,0.0
834986fffffffff,345.0,54.0,0.0
834988fffffffff,160.0,0.0,0.0
834989fffffffff,20.0,0.0,0.0
83498cfffffffff,61.0,0.0,0.0
83498dfffffffff,13.0,0.0,0.0
83498efffffffff,10.0,0.0,0.0
834990fffffffff,105.0,6.0,0.0
834991fffffffff,144.0,11.0,0.0
834993fffffffff,2.0,2.0,0.0
834994fffffffff,169.0,0.0,0.0
834995fffffffff,1232.0,102.0,0.0
834996fffffffff,2677.0,1064.0,0.0
834998fffffffff,128.0,0.0,0.0
83499bfffffffff,33.0,0.0,0.0
83499cfffffffff,114.0,0.0,0.0
83499dfffffffff,70.0,0.0,0.0
83499efffffffff,3.0,0.0,0.0
8349a2fffffffff,2.0,0.0,0.0
8349a8fffffffff,290.0,11.0,0.0
8349a9fffffffff,408.0,25.0,0.0
8349aafffffffff,436.0,29.0,0.0
8349abfffffffff,352.0,8.0,0.0
8349aefffffffff,1.0,0.0,0.0
8349b0fffffffff,10.0,0.0,0.0
8349b1fffffffff,33.0,0.0,0.0
8349b2fffffffff,383.0,3.0,0.0
8349b3fffffffff,709.0,12.0,0.0
8349b5fffffffff,66.0,0.0,0.0
8349b6fffffffff,15.0,0.0,0.0
836608fffffffff,120.0,0.0,0.0
83660afffffffff,7.0,0.0,0.0
83660bfffffffff,301.0,0.0,0.0
83660cfffffffff,74.0,0.0,0.0
836618fffffffff,566.0,11.0,0.0
836619fffffffff,1504.0,11.0,0.0
83661afffffffff,2.0,0.0,0.0
83661bfffffffff,1858.0,46.0,0.0
83661dfffffffff,110.0,0.0,0.0
83661efffffffff,2.0,0.0,0.0
8366b4fffffffff,10393.0,0.0,0.0
8366b5fffffffff,1883.0,0.0,0.0
8366c0fffffffff,14.0,0.0,0.0
8366c4fffffffff,158.0,1.0,0.0
8366c6fffffffff,1397.0,21.0,0.0
8366d5fffffffff,41.0,2.0,0.0
8366e0fffffffff,387.0,15.0,0.0
8366e2fffffffff,61.0,0.0,0.0
8366e4fffffffff,332.0,0.0,0.0
8366e5fffffffff,3.0,0.0,0.0
8366e6fffffffff,5853.0,102.0,0.0
8366f0fffffffff,17.0,0.0,0.0
8366f1fffffffff,3013.0,75.0,0.0
8366f3fffffffff,8.0,0.0,0.0
8366f5fffffffff,1111.0,6.0,0.0
836790fffffffff,12.0,0.0,0.0
836793fffffffff,3.0,0.0,0.0
836794fffffffff,1.0,0.0,0.0
836796fffffffff,3.0,0.0,0.0
836d04fffffffff,35.0,3.0,0.0
836d05fffffffff,253.0,108.0,0.0
836d20fffffffff,45.0,0.0,0.0
836d21fffffffff,123.0,26.0,0.0
836d23fffffffff,622.0,176.0,0.0
836d25fffffffff,66.0,0.0,0.0
836d28fffffffff,1374.0,89.0,0.0
836d29fffffffff,2902.0,415.0,0.0
836d2afffffffff,24.0,0.0,0.0
836d2bfffffffff,59.0,1.0,0.0
836d2cfffffffff,8.0,2.0,0.0
836d2dfffffffff,1347.0,313.0,0.0
836d2efffffffff,117.0,0.0,0.0
836d30fffffffff,201.0,22.0,0.0
836d31fffffffff,118.0,4.0,0.0
836d32fffffffff,395.0,32.0,0.0
836d33fffffffff,155.0,12.0,0.0
836d34fffffffff,2.0,0.0,0.0
836d35fffffffff,1.0,0.0,0.0
836d36fffffffff,15.0,0.0,0.0
836d60fffffffff,434.0,0.0,0.0
836d61fffffffff,2.0,0.0,0.0
836d64fffffffff,2190.0,0.0,0.0
836d65fffffffff,455.0,0.0,0.0
836d66fffffffff,608.0,0.0,0.0
836d69fffffffff,990.0,0.0,0.0
836d74fffffffff,15.0,0.0,0.0
