cell_id,Oenanthe lugens,Oenanthe lugens lugens/persica,Oenanthe lugens halophila,Oenanthe lugens warriae
832c93fffffffff,2.0,0.0,0.0,0.0
832cd4fffffffff,2.0,2.0,0.0,0.0
832db1fffffffff,5.0,5.0,0.0,0.0
832db2fffffffff,5.0,2.0,0.0,0.0
833842fffffffff,1.0,0.0,1.0,0.0
833874fffffffff,1.0,0.0,1.0,0.0
83398efffffffff,2.0,0.0,2.0,0.0
833e68fffffffff,19.0,1.0,0.0,18.0
833e6cfffffffff,51.0,11.0,0.0,40.0
833f4dfffffffff,3.0,0.0,0.0,0.0
833f63fffffffff,1.0,0.0,0.0,0.0
83432afffffffff,1.0,0.0,0.0,0.0
8343a1fffffffff,4.0,0.0,0.0,0.0
8343a2fffffffff,2.0,0.0,0.0,0.0
8343a6fffffffff,3.0,0.0,0.0,0.0
8343acfffffffff,1.0,0.0,0.0,0.0
8343aefffffffff,26.0,1.0,0.0,0.0
83521efffffffff,1.0,0.0,0.0,0.0
83534dfffffffff,19.0,0.0,0.0,0.0
83536efffffffff,2.0,0.0,0.0,0.0
8353a4fffffffff,2.0,0.0,0.0,0.0
