cell_id,Numenius phaeopus,Numenius phaeopus hudsonicus,Numenius phaeopus phaeopus,Numenius phaeopus alboaxillaris,Numenius phaeopus variegatus/rogachevae,Numenius phaeopus [phaeopus Group]
840802dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408065ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8408103ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408105ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8408107ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8408115ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840811dffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8408129ffffffff,13.0,0.0,1.0,0.0,0.0,0.0
840814bffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8408151ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408159ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8408163ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408169ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8408183ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408193ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
840819bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840819dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84081d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408293ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84082a5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84082b1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408333ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408337ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408365ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
840836dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408807ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840880bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8408839ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840883dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408855ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408869ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
840886bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8408881ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408889ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
840888bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
840888dffffffff,4.0,0.0,4.0,0.0,0.0,0.0
84088a9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84088e3ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8408901ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8408933ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8408937ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
840895bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408963ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408965ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408967ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408985ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
840898bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408995ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8408997ffffffff,18.0,0.0,6.0,0.0,0.0,0.0
84089a5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84089a9ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84089abffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84089adffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84089b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84089bbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84089c3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84089d3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84089dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84089e3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84089ebffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8408a25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408a53ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408a5bffffffff,5.0,0.0,5.0,0.0,0.0,0.0
8408a6dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408a85ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408a9bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8408b0dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408b15ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408b35ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408b37ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408b41ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408b53ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408b5bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408c01ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8408c21ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408c29ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408c83ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408c89ffffffff,25.0,0.0,3.0,0.0,0.0,0.0
8408c8bffffffff,19.0,0.0,1.0,0.0,0.0,0.0
8408c8dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408c91ffffffff,11.0,0.0,7.0,0.0,0.0,0.0
8408c95ffffffff,16.0,0.0,5.0,0.0,0.0,0.0
8408c99ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8408cc3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408cd3ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8408cd5ffffffff,3.0,0.0,1.0,0.0,0.0,0.0
8408cd7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8408cdbffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8408ce1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408ce5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408d03ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408d07ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8408d09ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8408d19ffffffff,20.0,0.0,1.0,0.0,0.0,0.0
8408d1bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408d33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8408d35ffffffff,5.0,0.0,4.0,0.0,0.0,0.0
8408d37ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
