cell_id,Pteroglossus bitorquatus,Pteroglossus bitorquatus sturmii,Pteroglossus bitorquatus bitorquatus/reichenowi
83802bfffffffff,6.0,0.0,0.0
838044fffffffff,6.0,0.0,0.0
838046fffffffff,43.0,5.0,0.0
838061fffffffff,6.0,0.0,0.0
838064fffffffff,3.0,0.0,0.0
838065fffffffff,28.0,0.0,0.0
838066fffffffff,6.0,0.0,0.0
838071fffffffff,22.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838075fffffffff,4.0,0.0,0.0
838148fffffffff,2.0,0.0,0.0
83814afffffffff,20.0,0.0,0.0
83814dfffffffff,19.0,0.0,0.0
83814efffffffff,6.0,0.0,0.0
838159fffffffff,8.0,0.0,0.0
83815afffffffff,4.0,0.0,0.0
83815dfffffffff,3.0,0.0,0.0
838a04fffffffff,2.0,2.0,0.0
838a05fffffffff,12.0,1.0,0.0
838a10fffffffff,3.0,0.0,0.0
838a15fffffffff,6.0,0.0,0.0
838a21fffffffff,3.0,1.0,0.0
838a23fffffffff,13.0,2.0,0.0
838a25fffffffff,1.0,0.0,0.0
838a31fffffffff,20.0,0.0,0.0
838a33fffffffff,1.0,0.0,0.0
838a35fffffffff,2.0,0.0,0.0
838a80fffffffff,25.0,0.0,0.0
838a82fffffffff,2.0,0.0,0.0
838a85fffffffff,4.0,0.0,0.0
838a91fffffffff,1.0,0.0,0.0
838a92fffffffff,22.0,0.0,0.0
838a9cfffffffff,30.0,0.0,0.0
838aa8fffffffff,6.0,0.0,0.0
838aabfffffffff,3.0,0.0,0.0
838b0bfffffffff,1.0,0.0,0.0
838b11fffffffff,2.0,0.0,0.0
838b1afffffffff,2.0,0.0,0.0
838b1efffffffff,5.0,0.0,0.0
838b31fffffffff,1.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b82fffffffff,5.0,0.0,0.0
838b84fffffffff,82.0,3.0,0.0
838b88fffffffff,13.0,0.0,0.0
838b89fffffffff,1.0,0.0,0.0
838b8afffffffff,3.0,0.0,0.0
838b8dfffffffff,1.0,0.0,0.0
838b91fffffffff,1.0,0.0,0.0
838b93fffffffff,1.0,0.0,0.0
838b99fffffffff,86.0,1.0,0.0
838b9dfffffffff,446.0,16.0,0.0
838ba0fffffffff,19.0,0.0,0.0
838ba3fffffffff,1.0,0.0,0.0
83a8c9fffffffff,3.0,3.0,0.0
