cell_id,Corvus cornix,Corvus cornix [cornix Group],Corvus cornix capellanus
820137fffffffff,4.0,4.0,0.0
820747fffffffff,23.0,0.0,0.0
820767fffffffff,1.0,0.0,0.0
820887fffffffff,12.0,12.0,0.0
82089ffffffffff,1.0,1.0,0.0
8208a7fffffffff,3.0,3.0,0.0
8208b7fffffffff,2.0,2.0,0.0
820937fffffffff,1.0,1.0,0.0
8209a7fffffffff,4.0,0.0,0.0
82182ffffffffff,4.0,0.0,0.0
82184ffffffffff,15.0,0.0,0.0
821877fffffffff,41.0,0.0,0.0
82190ffffffffff,19.0,0.0,0.0
821927fffffffff,5.0,5.0,0.0
82192ffffffffff,4.0,0.0,0.0
821947fffffffff,43.0,0.0,0.0
82194ffffffffff,27.0,0.0,0.0
821957fffffffff,1.0,0.0,0.0
82195ffffffffff,4.0,0.0,0.0
82196ffffffffff,26.0,0.0,0.0
821977fffffffff,26.0,0.0,0.0
821e07fffffffff,12.0,0.0,0.0
821e0ffffffffff,36.0,30.0,0.0
821e17fffffffff,3.0,0.0,0.0
821e1ffffffffff,1.0,0.0,0.0
821e37fffffffff,2.0,0.0,0.0
821e47fffffffff,2.0,0.0,0.0
821e5ffffffffff,5.0,0.0,0.0
821e6ffffffffff,2.0,0.0,0.0
821e77fffffffff,2.0,0.0,0.0
821ea7fffffffff,17.0,2.0,0.0
821eb7fffffffff,7.0,0.0,0.0
821ec7fffffffff,30.0,0.0,0.0
821ecffffffffff,4.0,2.0,0.0
821ed7fffffffff,2.0,0.0,0.0
821edffffffffff,1.0,1.0,0.0
821ee7fffffffff,3.0,1.0,0.0
821eeffffffffff,4.0,0.0,0.0
821ef7fffffffff,3.0,0.0,0.0
821f07fffffffff,7.0,7.0,0.0
821f17fffffffff,2.0,0.0,0.0
821f1ffffffffff,4.0,0.0,0.0
821f27fffffffff,2.0,2.0,0.0
821f2ffffffffff,10.0,10.0,0.0
821f37fffffffff,3.0,1.0,0.0
821f47fffffffff,1.0,0.0,0.0
821f67fffffffff,1.0,1.0,0.0
821f77fffffffff,1.0,0.0,0.0
821f8ffffffffff,4.0,1.0,0.0
821f97fffffffff,1.0,0.0,0.0
821f9ffffffffff,22.0,11.0,0.0
821fa7fffffffff,4.0,0.0,0.0
82209ffffffffff,1.0,0.0,0.0
8220e7fffffffff,2.0,0.0,0.0
822157fffffffff,4.0,0.0,0.0
822577fffffffff,2.0,0.0,0.0
822a17fffffffff,12.0,0.0,0.0
822c07fffffffff,1.0,0.0,0.0
822c4ffffffffff,9.0,0.0,0.0
822c57fffffffff,23.0,0.0,0.0
822c5ffffffffff,2.0,0.0,0.0
822c6ffffffffff,2.0,0.0,0.0
822c87fffffffff,55.0,0.0,55.0
822c9ffffffffff,7.0,0.0,7.0
822ce7fffffffff,18.0,0.0,0.0
822d0ffffffffff,1.0,0.0,0.0
822d1ffffffffff,1.0,0.0,0.0
822d37fffffffff,2.0,0.0,0.0
822db7fffffffff,2.0,2.0,0.0
82346ffffffffff,7.0,0.0,0.0
823827fffffffff,2.0,0.0,0.0
82390ffffffffff,3.0,0.0,0.0
823917fffffffff,26.0,0.0,0.0
82391ffffffffff,18.0,0.0,0.0
823927fffffffff,2.0,0.0,0.0
823937fffffffff,14.0,0.0,0.0
823947fffffffff,35.0,0.0,0.0
823957fffffffff,1.0,0.0,0.0
823e47fffffffff,3.0,3.0,0.0
823e5ffffffffff,8.0,8.0,0.0
823e67fffffffff,13.0,13.0,0.0
823e6ffffffffff,4.0,0.0,0.0
823e77fffffffff,3.0,3.0,0.0
823f37fffffffff,4.0,0.0,0.0
823f4ffffffffff,4.0,4.0,0.0
8242e7fffffffff,2.0,0.0,0.0
824367fffffffff,1.0,0.0,0.0
8243affffffffff,1.0,0.0,0.0
