cell_id,Momotus subrufescens,Momotus subrufescens [subrufescens Group],Momotus subrufescens argenticinctus
836602fffffffff,5.0,0.0,0.0
836611fffffffff,20.0,0.0,0.0
836613fffffffff,8.0,2.0,0.0
83661bfffffffff,7.0,0.0,0.0
83661cfffffffff,46.0,0.0,0.0
83661efffffffff,5.0,0.0,0.0
83662efffffffff,1.0,1.0,0.0
8366d3fffffffff,60.0,0.0,4.0
838f0dfffffffff,1.0,0.0,0.0
838f2cfffffffff,47.0,0.0,3.0
