cell_id,Chiroxiphia pareola,Chiroxiphia pareola pareola/atlantica,Chiroxiphia pareola napensis,Chiroxiphia pareola regina
825f17fffffffff,21.0,0.0,0.0,0.0
825f1ffffffffff,4.0,0.0,0.0,0.0
825f27fffffffff,8.0,0.0,0.0,0.0
825f2ffffffffff,270.0,0.0,0.0,0.0
825f47fffffffff,4.0,0.0,0.0,0.0
825f5ffffffffff,686.0,0.0,0.0,0.0
8266c7fffffffff,13.0,0.0,0.0,0.0
8266cffffffffff,22.0,0.0,0.0,0.0
8266dffffffffff,278.0,0.0,12.0,0.0
8266effffffffff,2.0,0.0,0.0,0.0
828007fffffffff,49.0,0.0,0.0,0.0
82800ffffffffff,19.0,0.0,0.0,0.0
82802ffffffffff,1.0,0.0,0.0,0.0
828047fffffffff,75.0,0.0,0.0,0.0
82804ffffffffff,7.0,0.0,0.0,0.0
828057fffffffff,12.0,0.0,0.0,0.0
828067fffffffff,10.0,0.0,0.0,0.0
82806ffffffffff,8.0,0.0,0.0,0.0
828077fffffffff,8.0,0.0,0.0,0.0
828107fffffffff,78.0,0.0,0.0,0.0
828117fffffffff,80.0,0.0,0.0,0.0
82811ffffffffff,7.0,0.0,0.0,0.0
828137fffffffff,117.0,0.0,0.0,0.0
828147fffffffff,70.0,0.0,0.0,0.0
82814ffffffffff,72.0,0.0,0.0,0.0
82815ffffffffff,21.0,0.0,0.0,0.0
828167fffffffff,23.0,0.0,0.0,0.0
828177fffffffff,14.0,0.0,0.0,0.0
828187fffffffff,1043.0,6.0,0.0,0.0
82818ffffffffff,42.0,0.0,0.0,0.0
82819ffffffffff,136.0,0.0,0.0,0.0
8281a7fffffffff,39.0,0.0,0.0,0.0
8281affffffffff,9.0,0.0,0.0,0.0
828a07fffffffff,42.0,0.0,0.0,7.0
828a17fffffffff,30.0,0.0,0.0,1.0
828a1ffffffffff,28.0,0.0,0.0,3.0
828a27fffffffff,8.0,0.0,0.0,2.0
828a37fffffffff,13.0,0.0,0.0,5.0
828a47fffffffff,72.0,0.0,0.0,1.0
828a4ffffffffff,3.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,1.0
828a6ffffffffff,63.0,0.0,0.0,0.0
828a77fffffffff,3.0,0.0,0.0,0.0
828a87fffffffff,13.0,0.0,0.0,0.0
828a97fffffffff,4.0,0.0,0.0,0.0
828a9ffffffffff,26.0,0.0,0.0,0.0
828aaffffffffff,11.0,0.0,0.0,0.0
828adffffffffff,2.0,0.0,0.0,0.0
828af7fffffffff,100.0,0.0,0.0,6.0
828b47fffffffff,349.0,0.0,0.0,19.0
828b57fffffffff,1.0,0.0,0.0,0.0
828b67fffffffff,30.0,0.0,0.0,0.0
828b6ffffffffff,4.0,0.0,0.0,0.0
828b87fffffffff,3.0,0.0,0.0,0.0
828b8ffffffffff,2.0,0.0,0.0,0.0
828b9ffffffffff,111.0,0.0,0.0,0.0
828f47fffffffff,48.0,0.0,0.0,0.0
828f4ffffffffff,1.0,0.0,0.0,0.0
828f6ffffffffff,16.0,0.0,0.0,0.0
828f77fffffffff,4.0,0.0,0.0,0.0
82a597fffffffff,179.0,0.0,0.0,0.0
82a85ffffffffff,3.0,0.0,0.0,0.0
82a89ffffffffff,4.0,0.0,0.0,0.0
82a8cffffffffff,17.0,0.0,0.0,0.0
