cell_id,Metallura williami,Metallura williami recisa,Metallura williami williami,Metallura williami primolina,Metallura williami atrigularis
836618fffffffff,45.0,0.0,0.0,0.0,0.0
836619fffffffff,25.0,0.0,0.0,0.0,0.0
83661bfffffffff,41.0,0.0,0.0,0.0,0.0
8366c2fffffffff,16.0,0.0,0.0,0.0,0.0
8366c6fffffffff,165.0,0.0,0.0,0.0,0.0
8366d0fffffffff,3.0,0.0,0.0,0.0,0.0
8366d1fffffffff,39.0,0.0,0.0,0.0,0.0
8366d3fffffffff,15.0,0.0,0.0,0.0,0.0
8366d5fffffffff,5.0,0.0,0.0,0.0,0.0
8366dafffffffff,11.0,0.0,0.0,0.0,0.0
8366defffffffff,1247.0,0.0,0.0,229.0,0.0
8366e2fffffffff,33.0,0.0,0.0,0.0,0.0
8366e6fffffffff,3324.0,0.0,84.0,0.0,0.0
8366f1fffffffff,31.0,0.0,0.0,0.0,0.0
8366f5fffffffff,33.0,0.0,0.0,0.0,0.0
838f29fffffffff,3.0,0.0,0.0,0.0,0.0
838f2dfffffffff,13.0,0.0,0.0,0.0,0.0
838f72fffffffff,36.0,0.0,0.0,0.0,0.0
838f74fffffffff,1.0,0.0,0.0,0.0,0.0
838f76fffffffff,272.0,0.0,0.0,0.0,2.0
