cell_id,Microrhopias quixensis,Microrhopias quixensis [boucardi Group],Microrhopias quixensis microstictus,Microrhopias quixensis quixensis,Microrhopias quixensis nigriventris,Microrhopias quixensis albicauda/intercedens,Microrhopias quixensis bicolor,Microrhopias quixensis emiliae
834505fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83452afffffffff,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83452dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
835f03fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
836616fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836641fffffffff,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366a0fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b0fffffffff,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366cefffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
83679bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836d21fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836d2cfffffffff,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
836d2dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836d36fffffffff,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836d69fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83806bfffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
838a05fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838b5cfffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
