cell_id,Phaethornis longirostris,Phaethornis longirostris [longirostris Group],Phaethornis longirostris baroni
824527fffffffff,18.0,3.0,0.0
82452ffffffffff,23.0,21.0,0.0
82660ffffffffff,5.0,0.0,0.0
82661ffffffffff,1.0,0.0,0.0
8266b7fffffffff,14.0,6.0,0.0
8266d7fffffffff,11.0,0.0,9.0
8266e7fffffffff,6.0,0.0,0.0
826797fffffffff,1.0,0.0,0.0
82679ffffffffff,4.0,1.0,0.0
826d27fffffffff,10.0,0.0,0.0
826d2ffffffffff,1.0,0.0,0.0
826d37fffffffff,10.0,6.0,0.0
826d67fffffffff,3.0,0.0,0.0
826d6ffffffffff,81.0,42.0,0.0
828f0ffffffffff,3.0,0.0,1.0
828f2ffffffffff,12.0,0.0,1.0
