cell_id,Calendulauda sabota,Calendulauda sabota [naevia Group],Calendulauda sabota [sabota Group]
838304fffffffff,15.0,0.0,0.0
83831efffffffff,2.0,0.0,0.0
838320fffffffff,10.0,0.0,0.0
838323fffffffff,1.0,0.0,0.0
838326fffffffff,2.0,0.0,0.0
839705fffffffff,3.0,0.0,0.0
839708fffffffff,1.0,0.0,0.0
839723fffffffff,1.0,0.0,0.0
839724fffffffff,1.0,0.0,0.0
839728fffffffff,17.0,0.0,2.0
839729fffffffff,58.0,0.0,15.0
83972cfffffffff,267.0,0.0,90.0
83972dfffffffff,38.0,0.0,2.0
83972efffffffff,78.0,0.0,28.0
839740fffffffff,39.0,0.0,0.0
839741fffffffff,3.0,0.0,0.0
839743fffffffff,5.0,0.0,0.0
839744fffffffff,2.0,0.0,0.0
839745fffffffff,29.0,0.0,0.0
83974afffffffff,10.0,0.0,0.0
83974bfffffffff,1.0,0.0,0.0
83974efffffffff,30.0,0.0,0.0
839751fffffffff,6.0,0.0,0.0
83975cfffffffff,1.0,0.0,0.0
83975dfffffffff,2.0,0.0,0.0
839763fffffffff,2.0,0.0,0.0
839764fffffffff,4.0,0.0,0.0
839768fffffffff,3.0,0.0,0.0
839771fffffffff,1.0,0.0,0.0
839773fffffffff,2.0,0.0,0.0
839774fffffffff,1.0,0.0,0.0
839775fffffffff,7.0,0.0,0.0
83ac12fffffffff,2.0,0.0,0.0
83ac80fffffffff,434.0,0.0,0.0
83ac81fffffffff,60.0,7.0,0.0
83ac82fffffffff,25.0,0.0,0.0
83ac84fffffffff,7.0,0.0,0.0
83ac85fffffffff,14.0,0.0,0.0
83ac86fffffffff,224.0,0.0,0.0
83ac8afffffffff,1.0,0.0,0.0
83ac8efffffffff,1.0,0.0,0.0
83ac95fffffffff,2.0,0.0,0.0
83aca0fffffffff,5.0,0.0,0.0
83aca1fffffffff,151.0,40.0,0.0
83aca2fffffffff,37.0,5.0,0.0
83aca3fffffffff,102.0,14.0,0.0
83aca4fffffffff,95.0,35.0,0.0
83aca5fffffffff,25.0,2.0,0.0
83aca6fffffffff,80.0,4.0,0.0
83acaafffffffff,8.0,2.0,0.0
83acaefffffffff,55.0,12.0,0.0
83acb1fffffffff,3.0,0.0,0.0
83ad12fffffffff,3.0,0.0,0.0
83ad82fffffffff,9.0,0.0,0.0
83ad83fffffffff,1.0,0.0,0.0
83ad85fffffffff,4.0,0.0,0.0
83ad86fffffffff,14.0,1.0,0.0
83ad88fffffffff,2.0,0.0,0.0
83ad89fffffffff,1.0,0.0,0.0
83ad8bfffffffff,74.0,0.0,0.0
83ad91fffffffff,1.0,0.0,0.0
83ada0fffffffff,8.0,0.0,0.0
83ada1fffffffff,7.0,0.0,0.0
83ada2fffffffff,18.0,0.0,0.0
83ada3fffffffff,2.0,0.0,0.0
83ada4fffffffff,21.0,1.0,0.0
83ada6fffffffff,2.0,0.0,0.0
83adaafffffffff,4.0,0.0,0.0
83adb3fffffffff,1.0,0.0,0.0
83adb4fffffffff,2.0,0.0,0.0
83adb5fffffffff,2.0,0.0,0.0
83bc09fffffffff,4.0,0.0,0.0
83bc19fffffffff,1.0,0.0,0.0
83bc41fffffffff,3.0,0.0,0.0
83bc42fffffffff,2.0,0.0,0.0
83bc43fffffffff,54.0,0.0,0.0
83bc46fffffffff,2.0,0.0,0.0
83bc58fffffffff,2.0,0.0,0.0
83bc59fffffffff,3.0,0.0,0.0
83bc5cfffffffff,4.0,0.0,0.0
83bc5dfffffffff,2.0,0.0,0.0
83bc73fffffffff,4.0,0.0,0.0
83bc89fffffffff,10.0,0.0,0.0
83bcc0fffffffff,1.0,0.0,0.0
83bcc1fffffffff,6.0,0.0,0.0
83bcc2fffffffff,2.0,0.0,2.0
83bcc3fffffffff,8.0,0.0,2.0
83bcc5fffffffff,2.0,0.0,0.0
83bccafffffffff,14.0,0.0,1.0
83bcccfffffffff,7.0,0.0,0.0
83bccefffffffff,3.0,0.0,2.0
83bcd0fffffffff,83.0,0.0,25.0
83bcd1fffffffff,7.0,0.0,5.0
83bcd2fffffffff,887.0,0.0,216.0
83bcd3fffffffff,27.0,0.0,11.0
83bcd4fffffffff,2.0,0.0,0.0
83bcd6fffffffff,193.0,0.0,42.0
83bcd8fffffffff,9.0,0.0,0.0
83bcd9fffffffff,64.0,0.0,35.0
83bcdcfffffffff,158.0,0.0,19.0
83bcddfffffffff,80.0,0.0,9.0
83bcdefffffffff,117.0,0.0,19.0
83bce2fffffffff,9.0,0.0,0.0
83bce8fffffffff,6.0,0.0,0.0
83bce9fffffffff,44.0,0.0,0.0
83bceafffffffff,4.0,0.0,0.0
83bcedfffffffff,2.0,0.0,0.0
83bcf0fffffffff,26.0,0.0,2.0
83bcf1fffffffff,4.0,0.0,0.0
83bcf2fffffffff,357.0,0.0,71.0
83bcf3fffffffff,2.0,0.0,1.0
83bcf6fffffffff,15.0,0.0,2.0
