cell_id,Podiceps occipitalis,Podiceps occipitalis juninensis,Podiceps occipitalis occipitalis
8266d7fffffffff,83.0,10.0,0.0
8266dffffffffff,1054.0,291.0,0.0
828b27fffffffff,15.0,0.0,0.0
828b2ffffffffff,105.0,12.0,0.0
828b67fffffffff,531.0,11.0,0.0
828b6ffffffffff,6.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0
828e67fffffffff,342.0,0.0,0.0
828e6ffffffffff,35.0,0.0,0.0
828e77fffffffff,2.0,0.0,0.0
828f2ffffffffff,105.0,37.0,0.0
828f47fffffffff,4.0,0.0,0.0
828f57fffffffff,28.0,0.0,0.0
828f5ffffffffff,113.0,0.0,0.0
82a94ffffffffff,1.0,0.0,0.0
82b207fffffffff,62.0,0.0,0.0
82b20ffffffffff,13.0,0.0,0.0
82b21ffffffffff,773.0,0.0,54.0
82b227fffffffff,60.0,5.0,0.0
82b22ffffffffff,42.0,9.0,0.0
82b247fffffffff,32.0,0.0,0.0
82b24ffffffffff,130.0,0.0,0.0
82b257fffffffff,4.0,0.0,0.0
82b25ffffffffff,88.0,0.0,0.0
82b267fffffffff,9.0,0.0,0.0
82b26ffffffffff,2.0,0.0,0.0
82b2c7fffffffff,2625.0,0.0,270.0
82b2cffffffffff,67.0,0.0,4.0
82b2dffffffffff,436.0,0.0,36.0
82b2e7fffffffff,238.0,0.0,12.0
82b2effffffffff,320.0,0.0,0.0
82b307fffffffff,659.0,336.0,0.0
82b30ffffffffff,81.0,34.0,0.0
82b31ffffffffff,3.0,3.0,0.0
82b327fffffffff,102.0,17.0,0.0
82b32ffffffffff,8.0,2.0,0.0
82b337fffffffff,100.0,0.0,0.0
82b357fffffffff,152.0,63.0,0.0
82b35ffffffffff,9.0,0.0,0.0
82b367fffffffff,8.0,0.0,0.0
82b36ffffffffff,2.0,0.0,0.0
82b377fffffffff,2.0,1.0,0.0
82c207fffffffff,12.0,0.0,0.0
82c21ffffffffff,40.0,0.0,0.0
82c227fffffffff,7.0,0.0,0.0
82c22ffffffffff,66.0,0.0,0.0
82c2e7fffffffff,6.0,0.0,0.0
82c30ffffffffff,14.0,0.0,0.0
82c327fffffffff,238.0,0.0,0.0
82c32ffffffffff,134.0,0.0,0.0
82c347fffffffff,208.0,0.0,0.0
82c34ffffffffff,131.0,0.0,0.0
82c357fffffffff,35.0,0.0,0.0
82c35ffffffffff,14.0,0.0,0.0
82c367fffffffff,7.0,0.0,0.0
82c36ffffffffff,15.0,0.0,0.0
82c377fffffffff,1.0,0.0,0.0
82ce17fffffffff,14.0,0.0,0.0
82ce87fffffffff,267.0,0.0,2.0
82ce8ffffffffff,155.0,0.0,13.0
82ce97fffffffff,51.0,0.0,0.0
82ce9ffffffffff,418.0,0.0,6.0
82cea7fffffffff,90.0,0.0,0.0
82ceaffffffffff,1319.0,0.0,140.0
82ceb7fffffffff,5.0,0.0,0.0
82cf17fffffffff,362.0,0.0,80.0
82cf87fffffffff,104.0,0.0,15.0
82cf8ffffffffff,493.0,0.0,40.0
82cf97fffffffff,7.0,0.0,0.0
82cf9ffffffffff,66.0,0.0,6.0
82cfa7fffffffff,1246.0,0.0,38.0
82cfaffffffffff,582.0,0.0,137.0
82cfb7fffffffff,44.0,0.0,2.0
82de67fffffffff,3.0,0.0,0.0
82de77fffffffff,51.0,0.0,0.0
82df47fffffffff,26.0,0.0,0.0
82df4ffffffffff,4.0,0.0,0.0
82df6ffffffffff,554.0,0.0,226.0
