cell_id,Pampusana beccarii,Pampusana beccarii beccarii,Pampusana beccarii [johannae Group]
8272a7fffffffff,2.0,2.0,0.0
8272d7fffffffff,1.0,0.0,0.0
8272dffffffffff,7.0,2.0,0.0
829c8ffffffffff,1.0,0.0,0.0
829c9ffffffffff,3.0,0.0,0.0
829cd7fffffffff,4.0,0.0,0.0
829ec7fffffffff,2.0,0.0,0.0
829ed7fffffffff,2.0,0.0,0.0
