cell_id,Turdus simillimus,Turdus simillimus simillimus/bourdilloni,Turdus simillimus nigropileus,Turdus simillimus kinnisii
843c915ffffffff,5.0,0.0,0.0,0.0
843c92bffffffff,2.0,0.0,0.0,0.0
843c92dffffffff,4.0,0.0,0.0,0.0
843c967ffffffff,1.0,0.0,0.0,0.0
843ca47ffffffff,3.0,0.0,0.0,0.0
843ca67ffffffff,2.0,0.0,0.0,0.0
843cb45ffffffff,13.0,0.0,0.0,0.0
843cb4dffffffff,8.0,0.0,0.0,0.0
843cb59ffffffff,2.0,0.0,0.0,0.0
843cb5dffffffff,5.0,0.0,0.0,0.0
843cb65ffffffff,4.0,0.0,0.0,0.0
843cb6bffffffff,2.0,0.0,0.0,0.0
843cb6dffffffff,3.0,0.0,0.0,0.0
843d907ffffffff,8.0,0.0,0.0,0.0
843d915ffffffff,7.0,0.0,0.0,0.0
843d929ffffffff,12.0,0.0,0.0,0.0
843d92dffffffff,9.0,0.0,0.0,0.0
843d93bffffffff,3.0,0.0,0.0,0.0
843d967ffffffff,39.0,0.0,4.0,0.0
843d983ffffffff,2.0,0.0,0.0,0.0
843d987ffffffff,6.0,0.0,1.0,0.0
843d98dffffffff,2.0,0.0,0.0,0.0
843d9a7ffffffff,2.0,0.0,0.0,0.0
843d9abffffffff,3.0,0.0,0.0,0.0
843d9adffffffff,2.0,0.0,0.0,0.0
843d9b7ffffffff,46.0,0.0,8.0,0.0
843d9b9ffffffff,5.0,0.0,1.0,0.0
843d9bbffffffff,5.0,0.0,0.0,0.0
843d9d1ffffffff,7.0,0.0,0.0,0.0
843d9d3ffffffff,26.0,0.0,0.0,0.0
843d9e5ffffffff,33.0,0.0,0.0,0.0
843d9edffffffff,2.0,0.0,0.0,0.0
8442c27ffffffff,94.0,0.0,0.0,0.0
8442d93ffffffff,34.0,0.0,0.0,0.0
8442d97ffffffff,19.0,0.0,0.0,0.0
8442db3ffffffff,12.0,0.0,0.0,0.0
8442db5ffffffff,4.0,0.0,0.0,0.0
8442db7ffffffff,2.0,0.0,0.0,0.0
8442dbbffffffff,2.0,0.0,0.0,0.0
8442dcdffffffff,6.0,0.0,0.0,0.0
8442eb3ffffffff,11.0,0.0,0.0,0.0
8460025ffffffff,115.0,0.0,3.0,0.0
