cell_id,Fraseria olivascens,Fraseria olivascens olivascens,Fraseria olivascens nimbae
8358d3fffffffff,1.0,0.0,0.0
8358dbfffffffff,1.0,0.0,0.0
837508fffffffff,26.0,0.0,0.0
837509fffffffff,1.0,0.0,0.0
83750dfffffffff,34.0,2.0,0.0
837529fffffffff,8.0,0.0,0.0
83752bfffffffff,1.0,0.0,0.0
83752dfffffffff,1.0,0.0,0.0
83758cfffffffff,1.0,0.0,0.0
8375a8fffffffff,4.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0
83828dfffffffff,7.0,0.0,0.0
838295fffffffff,2.0,0.0,0.0
8382a0fffffffff,1.0,0.0,0.0
8382a8fffffffff,2.0,1.0,0.0
8382abfffffffff,3.0,0.0,0.0
8382d3fffffffff,1.0,0.0,0.0
