cell_id,Acrocephalus stentoreus,Acrocephalus stentoreus stentoreus/levantinus,Acrocephalus stentoreus [brunnescens Group]
82200ffffffffff,4.0,0.0,0.0
822017fffffffff,14.0,0.0,0.0
82201ffffffffff,22.0,0.0,0.0
822087fffffffff,9.0,0.0,0.0
8220a7fffffffff,5.0,0.0,0.0
8220affffffffff,1.0,0.0,0.0
8220b7fffffffff,8.0,0.0,0.0
8220e7fffffffff,11.0,0.0,0.0
8220f7fffffffff,2.0,0.0,0.0
822157fffffffff,4.0,0.0,0.0
822187fffffffff,5.0,0.0,0.0
82219ffffffffff,39.0,0.0,0.0
822c17fffffffff,8.0,0.0,0.0
822c1ffffffffff,1.0,0.0,0.0
822c87fffffffff,24.0,0.0,0.0
822c97fffffffff,466.0,0.0,110.0
822c9ffffffffff,10.0,0.0,0.0
822cc7fffffffff,9.0,0.0,0.0
822cd7fffffffff,3.0,0.0,0.0
822cdffffffffff,2.0,0.0,0.0
822cf7fffffffff,33.0,0.0,0.0
822db7fffffffff,2890.0,227.0,0.0
823c07fffffffff,6.0,0.0,0.0
823c17fffffffff,13.0,0.0,0.0
823c1ffffffffff,146.0,0.0,0.0
823c37fffffffff,13.0,0.0,0.0
823c5ffffffffff,87.0,0.0,0.0
823c87fffffffff,48.0,0.0,0.0
823c8ffffffffff,111.0,1.0,0.0
823c97fffffffff,225.0,0.0,0.0
823c9ffffffffff,280.0,0.0,0.0
823ca7fffffffff,34.0,0.0,0.0
823caffffffffff,31.0,0.0,0.0
823cb7fffffffff,726.0,0.0,0.0
823cc7fffffffff,83.0,0.0,0.0
823ccffffffffff,1.0,0.0,0.0
823cd7fffffffff,3.0,0.0,1.0
823ce7fffffffff,46.0,0.0,0.0
823ceffffffffff,28.0,0.0,0.0
823cf7fffffffff,1433.0,50.0,0.0
823d17fffffffff,125.0,0.0,0.0
823d37fffffffff,133.0,0.0,0.0
823d87fffffffff,674.0,0.0,0.0
823d8ffffffffff,47.0,0.0,0.0
823d97fffffffff,135.0,0.0,0.0
823d9ffffffffff,90.0,0.0,0.0
823da7fffffffff,920.0,0.0,0.0
823daffffffffff,15.0,0.0,0.0
823db7fffffffff,106.0,0.0,0.0
823e5ffffffffff,152.0,0.0,0.0
823e67fffffffff,54.0,0.0,0.0
823e6ffffffffff,20.0,0.0,0.0
823e77fffffffff,33.0,0.0,0.0
824047fffffffff,26.0,0.0,0.0
824077fffffffff,7.0,0.0,0.0
824227fffffffff,15.0,0.0,0.0
824237fffffffff,4.0,0.0,0.0
82424ffffffffff,19.0,0.0,0.0
824257fffffffff,7.0,0.0,0.0
82425ffffffffff,6.0,0.0,0.0
82426ffffffffff,72.0,0.0,0.0
8242c7fffffffff,1079.0,0.0,0.0
8242cffffffffff,1541.0,0.0,0.0
8242d7fffffffff,18.0,0.0,0.0
8242dffffffffff,1208.0,0.0,0.0
8242e7fffffffff,16.0,0.0,0.0
8242effffffffff,14.0,0.0,0.0
824307fffffffff,4.0,0.0,0.0
824317fffffffff,11.0,0.0,0.0
82431ffffffffff,36.0,0.0,0.0
824327fffffffff,21.0,0.0,0.0
824337fffffffff,10.0,0.0,0.0
824357fffffffff,10.0,0.0,0.0
824367fffffffff,117.0,0.0,0.0
82438ffffffffff,73.0,0.0,30.0
824397fffffffff,6.0,0.0,5.0
82439ffffffffff,53.0,0.0,19.0
8243a7fffffffff,860.0,0.0,57.0
8243affffffffff,1361.0,0.0,108.0
825217fffffffff,20.0,0.0,0.0
82521ffffffffff,14.0,0.0,0.0
82524ffffffffff,84.0,0.0,21.0
82526ffffffffff,13.0,0.0,4.0
8252d7fffffffff,5.0,0.0,0.0
825317fffffffff,4.0,0.0,0.0
825347fffffffff,66.0,0.0,0.0
82534ffffffffff,94.0,0.0,6.0
825357fffffffff,4.0,0.0,0.0
825367fffffffff,25.0,0.0,0.0
82536ffffffffff,227.0,0.0,18.0
8253affffffffff,13.0,0.0,0.0
8253b7fffffffff,22.0,0.0,0.0
826007fffffffff,2461.0,0.0,0.0
826017fffffffff,5535.0,0.0,0.0
82601ffffffffff,714.0,0.0,0.0
826027fffffffff,1890.0,0.0,0.0
826037fffffffff,1765.0,0.0,0.0
826087fffffffff,47.0,0.0,0.0
82608ffffffffff,2054.0,0.0,0.0
826097fffffffff,298.0,0.0,0.0
82609ffffffffff,504.0,0.0,0.0
8260a7fffffffff,125.0,0.0,0.0
8260affffffffff,864.0,0.0,0.0
8260b7fffffffff,836.0,0.0,0.0
8260f7fffffffff,3.0,0.0,0.0
826107fffffffff,346.0,0.0,3.0
826117fffffffff,8.0,0.0,2.0
82611ffffffffff,189.0,0.0,0.0
82618ffffffffff,1360.0,0.0,0.0
82619ffffffffff,109.0,0.0,0.0
8261affffffffff,56.0,0.0,0.0
826327fffffffff,19.0,0.0,0.0
826337fffffffff,164.0,0.0,25.0
82640ffffffffff,505.0,0.0,0.0
82648ffffffffff,2.0,0.0,0.0
826497fffffffff,1.0,0.0,0.0
82649ffffffffff,20.0,0.0,4.0
8264e7fffffffff,70.0,0.0,0.0
826847fffffffff,6.0,0.0,0.0
82684ffffffffff,47.0,0.0,3.0
826857fffffffff,8.0,0.0,0.0
82685ffffffffff,90.0,0.0,3.0
826867fffffffff,2.0,0.0,2.0
826877fffffffff,5.0,0.0,0.0
826897fffffffff,3.0,0.0,0.0
8268c7fffffffff,13.0,0.0,0.0
8268cffffffffff,10.0,0.0,0.0
8268d7fffffffff,7.0,0.0,3.0
826947fffffffff,615.0,0.0,29.0
82694ffffffffff,153.0,0.0,7.0
82695ffffffffff,16.0,0.0,0.0
82696ffffffffff,36.0,0.0,0.0
828c17fffffffff,71.0,0.0,10.0
828d87fffffffff,5.0,0.0,2.0
828d8ffffffffff,4.0,0.0,0.0
829507fffffffff,28.0,0.0,0.0
