cell_id,Tachyeres brachypterus,Tachyeres brachypterus (Flightless),Tachyeres brachypterus (Flying)
84de625ffffffff,3.0,0.0,0.0
84de629ffffffff,24.0,0.0,0.0
84de62dffffffff,237.0,0.0,0.0
84de661ffffffff,11.0,0.0,0.0
84de665ffffffff,33.0,0.0,0.0
84de667ffffffff,5.0,0.0,0.0
84de701ffffffff,41.0,0.0,0.0
84de703ffffffff,19.0,0.0,0.0
84de707ffffffff,570.0,0.0,0.0
84de709ffffffff,13.0,0.0,0.0
84de70bffffffff,10.0,0.0,0.0
84de719ffffffff,46.0,0.0,0.0
84de71dffffffff,4.0,0.0,0.0
84de739ffffffff,2.0,0.0,0.0
84de743ffffffff,92.0,0.0,0.0
84de74bffffffff,1.0,0.0,0.0
84de753ffffffff,99.0,0.0,0.0
84de757ffffffff,4.0,0.0,0.0
84df5b3ffffffff,8.0,0.0,0.0
