cell_id,Tauraco persa,Tauraco persa buffoni,Tauraco persa persa/zenkeri
83541bfffffffff,3.0,0.0,0.0
8354a9fffffffff,195.0,9.0,0.0
8354ccfffffffff,1.0,0.0,0.0
8354e0fffffffff,1.0,0.0,0.0
8354e2fffffffff,21.0,0.0,0.0
8354e5fffffffff,28.0,2.0,0.0
8354e8fffffffff,12.0,0.0,0.0
8354e9fffffffff,1.0,0.0,0.0
8354ebfffffffff,1.0,0.0,0.0
8354f1fffffffff,26.0,0.0,0.0
8354f4fffffffff,20.0,8.0,0.0
8354f5fffffffff,18.0,0.0,0.0
835883fffffffff,4.0,0.0,0.0
835886fffffffff,1.0,0.0,0.0
835888fffffffff,4.0,0.0,0.0
835890fffffffff,2.0,0.0,0.0
835894fffffffff,9.0,0.0,0.0
835895fffffffff,2.0,0.0,0.0
835896fffffffff,84.0,0.0,8.0
83589cfffffffff,1.0,0.0,0.0
8358b1fffffffff,2.0,0.0,0.0
8358b3fffffffff,1.0,0.0,0.0
8358b5fffffffff,2.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0
8358d0fffffffff,1.0,0.0,0.0
8358d1fffffffff,11.0,0.0,0.0
8358d2fffffffff,2.0,0.0,0.0
8358d3fffffffff,1.0,0.0,0.0
8358dbfffffffff,2.0,0.0,0.0
8358dcfffffffff,2.0,0.0,0.0
8358defffffffff,14.0,0.0,0.0
8358e2fffffffff,6.0,0.0,0.0
837506fffffffff,2.0,0.0,0.0
837508fffffffff,2.0,0.0,0.0
83750dfffffffff,190.0,0.0,37.0
837513fffffffff,1.0,0.0,0.0
837519fffffffff,2.0,0.0,0.0
837520fffffffff,1.0,0.0,0.0
837529fffffffff,131.0,0.0,28.0
83752afffffffff,28.0,0.0,3.0
83752bfffffffff,1.0,0.0,0.0
83752dfffffffff,15.0,0.0,0.0
83752efffffffff,3.0,0.0,0.0
837531fffffffff,1.0,0.0,0.0
837576fffffffff,48.0,0.0,14.0
837586fffffffff,1.0,0.0,0.0
8375a0fffffffff,12.0,0.0,0.0
8375a5fffffffff,2.0,0.0,0.0
8375b0fffffffff,1.0,0.0,0.0
838212fffffffff,11.0,0.0,0.0
838282fffffffff,1.0,0.0,0.0
838284fffffffff,3.0,0.0,1.0
838285fffffffff,2.0,0.0,2.0
838288fffffffff,2.0,0.0,0.0
83828bfffffffff,6.0,0.0,0.0
83828dfffffffff,12.0,0.0,3.0
83828efffffffff,1.0,0.0,0.0
838290fffffffff,7.0,0.0,0.0
8382a0fffffffff,2.0,0.0,0.0
8382a1fffffffff,1.0,0.0,1.0
8382a3fffffffff,12.0,0.0,0.0
8382a5fffffffff,3.0,0.0,2.0
8382a8fffffffff,16.0,0.0,4.0
8382a9fffffffff,1.0,0.0,0.0
8382aafffffffff,1.0,0.0,1.0
8382abfffffffff,32.0,0.0,2.0
8382b0fffffffff,1.0,0.0,0.0
8382d0fffffffff,3.0,0.0,0.0
8382d2fffffffff,9.0,0.0,0.0
8382d3fffffffff,2.0,0.0,0.0
8382d6fffffffff,1.0,0.0,0.0
838313fffffffff,3.0,0.0,1.0
83838afffffffff,1.0,0.0,1.0
8383a8fffffffff,6.0,0.0,0.0
8383acfffffffff,8.0,0.0,0.0
