cell_id,Copsychus malabaricus,Copsychus malabaricus [malabaricus Group],Copsychus malabaricus ngae,Copsychus malabaricus [melanurus Group]
823c07fffffffff,1.0,0.0,0.0,0.0
823c17fffffffff,1.0,0.0,0.0,0.0
823c1ffffffffff,22.0,0.0,0.0,0.0
823c37fffffffff,2.0,0.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0,0.0
823c5ffffffffff,7.0,7.0,0.0,0.0
823c8ffffffffff,29.0,0.0,0.0,0.0
823c97fffffffff,17.0,0.0,0.0,0.0
823caffffffffff,35.0,0.0,0.0,0.0
823cb7fffffffff,8.0,5.0,0.0,0.0
823ce7fffffffff,10.0,0.0,0.0,0.0
823ceffffffffff,7.0,5.0,0.0,0.0
823d17fffffffff,24.0,0.0,0.0,0.0
823d9ffffffffff,4.0,4.0,0.0,0.0
82404ffffffffff,3.0,3.0,0.0,0.0
82411ffffffffff,9.0,1.0,0.0,0.0
82415ffffffffff,2.0,2.0,0.0,0.0
8242dffffffffff,15.0,0.0,0.0,0.0
82464ffffffffff,5.0,2.0,0.0,0.0
824ba7fffffffff,16.0,0.0,0.0,0.0
824bb7fffffffff,6.0,0.0,0.0,0.0
825d17fffffffff,42.0,2.0,0.0,0.0
826007fffffffff,45.0,0.0,0.0,0.0
826017fffffffff,996.0,13.0,0.0,0.0
82601ffffffffff,38.0,0.0,0.0,0.0
826037fffffffff,441.0,2.0,0.0,0.0
82608ffffffffff,37.0,7.0,0.0,0.0
8260a7fffffffff,8.0,0.0,0.0,0.0
8260affffffffff,41.0,3.0,0.0,0.0
8260b7fffffffff,14.0,0.0,0.0,0.0
82618ffffffffff,47.0,0.0,0.0,0.0
826417fffffffff,1.0,0.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0,0.0
8264a7fffffffff,5.0,1.0,0.0,0.0
826527fffffffff,114.0,8.0,0.0,0.0
82658ffffffffff,2.0,2.0,0.0,0.0
