cell_id,Anous minutus,Anous minutus americanus,Anous minutus melanogenys,Anous minutus [minutus Group]
8446081ffffffff,6.0,0.0,0.0,0.0
8446083ffffffff,11.0,0.0,0.0,0.0
844608bffffffff,18.0,0.0,0.0,0.0
844608dffffffff,4.0,0.0,0.0,0.0
8446091ffffffff,2.0,0.0,0.0,0.0
8446095ffffffff,4.0,0.0,0.0,0.0
844633dffffffff,85.0,0.0,0.0,0.0
8446417ffffffff,3.0,0.0,0.0,0.0
8446423ffffffff,4.0,0.0,0.0,0.0
8446425ffffffff,6.0,0.0,0.0,0.0
8446427ffffffff,2.0,0.0,0.0,0.0
8446429ffffffff,2.0,0.0,0.0,0.0
844642dffffffff,6.0,0.0,0.0,0.0
8446431ffffffff,2.0,0.0,0.0,0.0
8446433ffffffff,2.0,0.0,0.0,0.0
844643dffffffff,3.0,0.0,0.0,0.0
8446481ffffffff,2.0,0.0,2.0,0.0
8446483ffffffff,17.0,0.0,4.0,0.0
8446485ffffffff,2.0,0.0,0.0,0.0
8446487ffffffff,19.0,0.0,2.0,0.0
8446495ffffffff,222.0,0.0,93.0,0.0
84464b9ffffffff,20.0,0.0,6.0,0.0
84464bbffffffff,4.0,0.0,0.0,0.0
84464e1ffffffff,174.0,0.0,26.0,0.0
84464e3ffffffff,30.0,0.0,7.0,0.0
84464e5ffffffff,195.0,0.0,54.0,0.0
84464e7ffffffff,53.0,0.0,19.0,0.0
84464edffffffff,1.0,0.0,0.0,0.0
8446545ffffffff,4.0,0.0,0.0,0.0
8446553ffffffff,3.0,0.0,0.0,0.0
8446557ffffffff,2.0,0.0,0.0,0.0
84465d9ffffffff,4.0,0.0,0.0,0.0
8447a35ffffffff,147.0,0.0,0.0,0.0
8447ab1ffffffff,2.0,0.0,0.0,0.0
8447ae7ffffffff,1.0,0.0,0.0,0.0
844e461ffffffff,1.0,0.0,0.0,0.0
844e469ffffffff,2.0,0.0,0.0,0.0
844e519ffffffff,1.0,0.0,0.0,0.0
844e553ffffffff,1.0,0.0,0.0,0.0
844e581ffffffff,1.0,0.0,0.0,0.0
844e649ffffffff,48.0,0.0,0.0,0.0
844e717ffffffff,1.0,0.0,0.0,0.0
844f495ffffffff,30.0,0.0,0.0,0.0
844f49bffffffff,15.0,0.0,0.0,0.0
844f4b5ffffffff,96.0,0.0,0.0,0.0
844f59bffffffff,1.0,0.0,0.0,0.0
