cell_id,Turdus abyssinicus,Turdus abyssinicus oldeani,Turdus abyssinicus [abyssinicus Group]
825287fffffffff,45.0,0.0,4.0
825297fffffffff,10.0,0.0,0.0
82529ffffffffff,381.0,0.0,69.0
826a4ffffffffff,8.0,0.0,1.0
826a6ffffffffff,6.0,0.0,0.0
826ac7fffffffff,16.0,0.0,0.0
826acffffffffff,2.0,0.0,0.0
826adffffffffff,586.0,0.0,59.0
826aeffffffffff,5.0,0.0,0.0
827a47fffffffff,731.0,0.0,0.0
827a4ffffffffff,94.0,0.0,0.0
827a5ffffffffff,4.0,0.0,1.0
827a67fffffffff,73.0,0.0,0.0
827a6ffffffffff,1454.0,0.0,0.0
827ac7fffffffff,2.0,0.0,2.0
827acffffffffff,596.0,0.0,189.0
827adffffffffff,6.0,0.0,0.0
827aeffffffffff,12.0,0.0,3.0
829697fffffffff,251.0,0.0,0.0
8296a7fffffffff,4.0,0.0,0.0
8296b7fffffffff,7.0,0.0,0.0
