cell_id,Glaucidium brasilianum,Glaucidium brasilianum [brasilianum Group],Glaucidium brasilianum tucumanum
824507fffffffff,664.0,8.0,0.0
82450ffffffffff,6301.0,163.0,0.0
82451ffffffffff,32.0,2.0,0.0
824527fffffffff,6570.0,48.0,0.0
82452ffffffffff,3679.0,68.0,0.0
824537fffffffff,1605.0,0.0,0.0
824577fffffffff,358.0,12.0,0.0
824807fffffffff,120.0,0.0,0.0
82480ffffffffff,668.0,0.0,0.0
824817fffffffff,5.0,0.0,0.0
82481ffffffffff,4.0,0.0,0.0
824837fffffffff,3854.0,81.0,0.0
824857fffffffff,2.0,0.0,0.0
824887fffffffff,11.0,0.0,0.0
824897fffffffff,4.0,0.0,0.0
8248a7fffffffff,742.0,0.0,0.0
8248b7fffffffff,1365.0,29.0,0.0
8248e7fffffffff,7.0,0.0,0.0
8248effffffffff,1.0,0.0,0.0
824987fffffffff,199.0,0.0,0.0
824997fffffffff,2678.0,432.0,0.0
82499ffffffffff,626.0,26.0,0.0
8249a7fffffffff,114.0,0.0,0.0
8249affffffffff,1783.0,45.0,0.0
8249b7fffffffff,843.0,3.0,0.0
825f07fffffffff,3.0,0.0,0.0
825f27fffffffff,13.0,0.0,0.0
825f2ffffffffff,392.0,0.0,0.0
825f47fffffffff,56.0,1.0,0.0
825f4ffffffffff,119.0,1.0,0.0
825f5ffffffffff,1109.0,0.0,0.0
825f6ffffffffff,12.0,0.0,0.0
825f77fffffffff,29.0,0.0,0.0
826607fffffffff,329.0,0.0,0.0
82660ffffffffff,15.0,0.0,0.0
826617fffffffff,10.0,0.0,0.0
82661ffffffffff,3.0,0.0,0.0
826627fffffffff,1752.0,158.0,0.0
82662ffffffffff,65.0,0.0,0.0
826637fffffffff,336.0,0.0,0.0
826647fffffffff,261.0,0.0,0.0
82664ffffffffff,3.0,0.0,0.0
826657fffffffff,193.0,0.0,0.0
82665ffffffffff,13.0,0.0,0.0
826667fffffffff,80.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0
826677fffffffff,54.0,0.0,0.0
8266a7fffffffff,830.0,94.0,0.0
8266b7fffffffff,677.0,0.0,0.0
8266c7fffffffff,935.0,0.0,0.0
8266cffffffffff,75.0,0.0,0.0
8266d7fffffffff,28.0,0.0,0.0
8266dffffffffff,1659.0,183.0,0.0
8266e7fffffffff,322.0,0.0,0.0
8266effffffffff,453.0,0.0,0.0
826747fffffffff,279.0,7.0,0.0
82674ffffffffff,545.0,26.0,0.0
826757fffffffff,1276.0,2.0,0.0
82675ffffffffff,146.0,6.0,0.0
82676ffffffffff,1.0,0.0,0.0
826797fffffffff,23.0,0.0,0.0
82679ffffffffff,1.0,0.0,0.0
8267b7fffffffff,8.0,0.0,0.0
826d07fffffffff,814.0,139.0,0.0
826d17fffffffff,925.0,122.0,0.0
826d27fffffffff,1205.0,98.0,0.0
826d2ffffffffff,3510.0,284.0,0.0
826d37fffffffff,3355.0,143.0,0.0
826d67fffffffff,4407.0,0.0,0.0
826d6ffffffffff,7722.0,0.0,0.0
826d77fffffffff,1475.0,6.0,0.0
828007fffffffff,31.0,1.0,0.0
82800ffffffffff,14.0,0.0,0.0
828017fffffffff,345.0,13.0,0.0
828027fffffffff,9.0,0.0,0.0
82802ffffffffff,1.0,0.0,0.0
828037fffffffff,128.0,5.0,0.0
828057fffffffff,4.0,0.0,0.0
82806ffffffffff,1.0,1.0,0.0
828077fffffffff,2.0,0.0,0.0
828107fffffffff,215.0,10.0,0.0
82810ffffffffff,6.0,0.0,0.0
828117fffffffff,28.0,0.0,0.0
82811ffffffffff,14.0,2.0,0.0
828127fffffffff,152.0,5.0,0.0
82812ffffffffff,62.0,5.0,0.0
828137fffffffff,150.0,9.0,0.0
828147fffffffff,66.0,0.0,0.0
82814ffffffffff,8.0,0.0,0.0
828157fffffffff,8.0,0.0,0.0
82815ffffffffff,2.0,0.0,0.0
828167fffffffff,39.0,0.0,0.0
828177fffffffff,101.0,8.0,0.0
828187fffffffff,78.0,5.0,0.0
