cell_id,Petrochelidon fulva,Petrochelidon fulva [fulva Group],Petrochelidon fulva pallida,Petrochelidon fulva citata
8226c7fffffffff,37.0,0.0,0.0,0.0
8226cffffffffff,472.0,0.0,8.0,0.0
8226d7fffffffff,4.0,0.0,0.0,0.0
8226dffffffffff,848.0,0.0,8.0,0.0
822aaffffffffff,196.0,0.0,0.0,0.0
824417fffffffff,617.0,35.0,1.0,0.0
824437fffffffff,588.0,210.0,0.0,0.0
824447fffffffff,374.0,0.0,0.0,0.0
82444ffffffffff,14.0,0.0,0.0,0.0
824467fffffffff,21.0,0.0,0.0,0.0
82446ffffffffff,2793.0,0.0,34.0,0.0
8244a7fffffffff,1407.0,402.0,0.0,0.0
824507fffffffff,4.0,0.0,0.0,2.0
82450ffffffffff,2312.0,0.0,0.0,592.0
82451ffffffffff,8.0,0.0,0.0,2.0
824527fffffffff,23.0,0.0,0.0,0.0
82452ffffffffff,24.0,0.0,0.0,3.0
82454ffffffffff,2.0,0.0,0.0,0.0
824577fffffffff,148.0,0.0,0.0,52.0
824587fffffffff,42.0,20.0,0.0,0.0
82458ffffffffff,1119.0,417.0,0.0,0.0
824597fffffffff,30.0,5.0,0.0,0.0
82459ffffffffff,429.0,202.0,0.0,0.0
8245b7fffffffff,463.0,0.0,0.0,0.0
824817fffffffff,152.0,0.0,0.0,0.0
82481ffffffffff,29.0,0.0,0.0,0.0
824887fffffffff,2186.0,0.0,92.0,0.0
82488ffffffffff,1574.0,0.0,53.0,0.0
824897fffffffff,3023.0,0.0,45.0,0.0
82489ffffffffff,7362.0,0.0,153.0,0.0
8248a7fffffffff,612.0,0.0,0.0,0.0
8248affffffffff,148.0,0.0,23.0,0.0
8248b7fffffffff,9434.0,0.0,775.0,0.0
8248c7fffffffff,484.0,0.0,34.0,0.0
8248d7fffffffff,693.0,0.0,28.0,0.0
8248e7fffffffff,3.0,0.0,0.0,0.0
8248f7fffffffff,548.0,0.0,26.0,0.0
824987fffffffff,14.0,0.0,0.0,0.0
82498ffffffffff,7.0,0.0,0.0,0.0
82499ffffffffff,30.0,0.0,0.0,0.0
824c8ffffffffff,153.0,0.0,0.0,0.0
824c97fffffffff,4.0,2.0,0.0,0.0
824c9ffffffffff,164.0,80.0,0.0,0.0
824cc7fffffffff,5683.0,811.0,0.0,0.0
824cd7fffffffff,85.0,16.0,0.0,0.0
824ceffffffffff,4763.0,556.0,0.0,0.0
824cf7fffffffff,77.0,5.0,0.0,0.0
826727fffffffff,85.0,12.0,0.0,0.0
826737fffffffff,284.0,0.0,0.0,0.0
826d07fffffffff,53.0,0.0,0.0,0.0
826d27fffffffff,65.0,0.0,0.0,9.0
826d2ffffffffff,99.0,0.0,0.0,0.0
826d67fffffffff,121.0,0.0,24.0,0.0
826d77fffffffff,146.0,0.0,0.0,0.0
