cell_id,Anaplectes rubriceps,Anaplectes rubriceps leuconotos,Anaplectes rubriceps rubriceps
835280fffffffff,2.0,0.0,0.0
83528efffffffff,2.0,0.0,0.0
8354e5fffffffff,3.0,2.0,0.0
835896fffffffff,2.0,0.0,0.0
8358b5fffffffff,1.0,0.0,0.0
8358e2fffffffff,3.0,0.0,0.0
8358e6fffffffff,1.0,0.0,0.0
8358f5fffffffff,2.0,0.0,0.0
836a49fffffffff,6.0,0.0,0.0
836a4afffffffff,2.0,0.0,0.0
836a4bfffffffff,1.0,0.0,0.0
836a5afffffffff,25.0,0.0,0.0
836a69fffffffff,1.0,0.0,0.0
836ac0fffffffff,3.0,0.0,0.0
836ac1fffffffff,15.0,0.0,0.0
836ac3fffffffff,12.0,0.0,0.0
836ac8fffffffff,5.0,0.0,0.0
836ac9fffffffff,21.0,0.0,0.0
836accfffffffff,7.0,0.0,0.0
836acdfffffffff,2.0,0.0,0.0
836acefffffffff,224.0,0.0,0.0
836ad8fffffffff,48.0,0.0,0.0
836ad9fffffffff,4.0,0.0,0.0
836adcfffffffff,18.0,0.0,0.0
836addfffffffff,34.0,0.0,0.0
836adefffffffff,3.0,0.0,0.0
836ae8fffffffff,22.0,1.0,0.0
836ae9fffffffff,2.0,0.0,0.0
836aeafffffffff,32.0,0.0,0.0
836aebfffffffff,19.0,0.0,0.0
836aeefffffffff,11.0,0.0,0.0
837520fffffffff,118.0,26.0,0.0
837529fffffffff,2.0,0.0,0.0
837530fffffffff,2.0,0.0,0.0
837a40fffffffff,169.0,1.0,0.0
837a41fffffffff,79.0,0.0,0.0
837a43fffffffff,4.0,0.0,0.0
837a44fffffffff,5.0,0.0,0.0
837a45fffffffff,67.0,0.0,0.0
837a48fffffffff,85.0,1.0,0.0
837a49fffffffff,3.0,0.0,0.0
837a4bfffffffff,5.0,1.0,0.0
837a4cfffffffff,76.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0
837a53fffffffff,4.0,0.0,0.0
837a5efffffffff,1.0,0.0,0.0
837a60fffffffff,36.0,0.0,0.0
837a61fffffffff,9.0,0.0,0.0
837a63fffffffff,10.0,0.0,0.0
837a64fffffffff,30.0,0.0,0.0
837a65fffffffff,85.0,5.0,0.0
837a68fffffffff,136.0,0.0,0.0
837a6afffffffff,238.0,0.0,0.0
837a6bfffffffff,15.0,0.0,0.0
837a6cfffffffff,2.0,0.0,0.0
837a6dfffffffff,154.0,0.0,0.0
837a6efffffffff,25.0,0.0,0.0
837ac1fffffffff,9.0,0.0,0.0
837ac8fffffffff,94.0,0.0,0.0
837acafffffffff,1.0,0.0,0.0
837accfffffffff,9.0,0.0,0.0
837acdfffffffff,59.0,0.0,0.0
837ad9fffffffff,23.0,0.0,0.0
837adafffffffff,1.0,0.0,0.0
837ae8fffffffff,51.0,0.0,0.0
837ae9fffffffff,36.0,0.0,0.0
837aeafffffffff,15.0,0.0,0.0
837aedfffffffff,8.0,0.0,0.0
837b4bfffffffff,15.0,0.0,0.0
837b5bfffffffff,3.0,0.0,0.0
837b6bfffffffff,5.0,0.0,0.0
838304fffffffff,1.0,0.0,0.0
838312fffffffff,3.0,0.0,0.0
838320fffffffff,2.0,0.0,0.0
838326fffffffff,1.0,0.0,0.0
838333fffffffff,1.0,0.0,0.0
839600fffffffff,16.0,0.0,5.0
839601fffffffff,7.0,0.0,1.0
839602fffffffff,2.0,0.0,0.0
839604fffffffff,2.0,0.0,0.0
839605fffffffff,2.0,0.0,0.0
839608fffffffff,1.0,0.0,0.0
83960afffffffff,1.0,0.0,0.0
83960bfffffffff,4.0,0.0,0.0
83960efffffffff,6.0,0.0,2.0
839615fffffffff,10.0,0.0,4.0
839620fffffffff,27.0,0.0,0.0
839621fffffffff,1.0,0.0,0.0
839622fffffffff,6.0,0.0,0.0
839623fffffffff,42.0,0.0,0.0
839624fffffffff,6.0,0.0,0.0
839626fffffffff,7.0,0.0,0.0
839628fffffffff,8.0,0.0,2.0
83962afffffffff,1.0,0.0,0.0
83962bfffffffff,1.0,0.0,0.0
83962cfffffffff,51.0,0.0,21.0
83962dfffffffff,4.0,0.0,0.0
83962efffffffff,8.0,0.0,7.0
839633fffffffff,3.0,0.0,0.0
839636fffffffff,20.0,0.0,0.0
839681fffffffff,2.0,0.0,0.0
839684fffffffff,2.0,0.0,0.0
83968cfffffffff,2.0,0.0,0.0
839690fffffffff,99.0,1.0,0.0
839692fffffffff,308.0,2.0,0.0
839693fffffffff,87.0,0.0,0.0
83969afffffffff,5.0,0.0,0.0
8396a2fffffffff,4.0,0.0,0.0
8396a3fffffffff,5.0,0.0,0.0
8396a5fffffffff,9.0,0.0,0.0
8396aafffffffff,2.0,0.0,0.0
8396abfffffffff,3.0,0.0,0.0
8396b0fffffffff,18.0,0.0,0.0
8396b1fffffffff,77.0,0.0,0.0
8396b2fffffffff,2.0,0.0,0.0
8396b5fffffffff,32.0,0.0,0.0
8396b6fffffffff,3.0,0.0,0.0
8396e4fffffffff,4.0,0.0,0.0
839701fffffffff,4.0,0.0,0.0
839702fffffffff,1.0,0.0,0.0
839703fffffffff,4.0,0.0,0.0
839705fffffffff,5.0,0.0,0.0
83970afffffffff,7.0,0.0,0.0
83970cfffffffff,3.0,0.0,0.0
83970dfffffffff,1.0,0.0,0.0
839710fffffffff,19.0,0.0,0.0
839711fffffffff,93.0,0.0,0.0
839713fffffffff,8.0,0.0,0.0
839715fffffffff,1.0,0.0,0.0
