cell_id,Cossyphicula isabellae,Cossyphicula isabellae batesi,Cossyphicula isabellae isabellae
8358c2fffffffff,1.0,0.0,0.0
8358d1fffffffff,11.0,1.0,0.0
8358d3fffffffff,14.0,14.0,0.0
8358dcfffffffff,5.0,1.0,0.0
8382d2fffffffff,6.0,0.0,0.0
8382d3fffffffff,67.0,0.0,28.0
