cell_id,Sporophila americana,Sporophila americana americana/dispar,Sporophila americana murallae
825f07fffffffff,3.0,0.0,0.0
825f0ffffffffff,491.0,3.0,0.0
825f17fffffffff,165.0,1.0,0.0
825f1ffffffffff,219.0,5.0,0.0
825f2ffffffffff,4.0,0.0,0.0
825f4ffffffffff,4.0,0.0,0.0
825f57fffffffff,19.0,0.0,0.0
82665ffffffffff,2.0,0.0,2.0
8266c7fffffffff,297.0,0.0,296.0
8266cffffffffff,41.0,0.0,41.0
8266d7fffffffff,6.0,0.0,6.0
8266dffffffffff,415.0,0.0,403.0
8266effffffffff,4.0,0.0,4.0
828047fffffffff,30.0,0.0,0.0
82804ffffffffff,47.0,0.0,0.0
828057fffffffff,5.0,0.0,0.0
828067fffffffff,23.0,0.0,0.0
82806ffffffffff,37.0,0.0,0.0
828077fffffffff,20.0,0.0,0.0
828147fffffffff,3.0,0.0,0.0
82814ffffffffff,162.0,1.0,0.0
82815ffffffffff,34.0,0.0,0.0
828167fffffffff,7.0,0.0,0.0
828a07fffffffff,33.0,1.0,0.0
828a1ffffffffff,9.0,0.0,0.0
828a27fffffffff,4.0,0.0,0.0
828a37fffffffff,2.0,1.0,0.0
828a47fffffffff,213.0,0.0,212.0
828a6ffffffffff,325.0,0.0,323.0
828a77fffffffff,4.0,0.0,0.0
828a87fffffffff,12.0,0.0,0.0
828a8ffffffffff,20.0,0.0,0.0
828a97fffffffff,8.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0
828aaffffffffff,26.0,0.0,0.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,181.0,3.0,0.0
828b57fffffffff,1.0,0.0,0.0
828b6ffffffffff,6.0,0.0,6.0
828f47fffffffff,16.0,0.0,14.0
828f4ffffffffff,77.0,0.0,77.0
828f67fffffffff,116.0,0.0,114.0
828f6ffffffffff,49.0,0.0,49.0
828f77fffffffff,31.0,0.0,30.0
