cell_id,Glaucidium gnoma,Glaucidium gnoma gnoma,Glaucidium gnoma [californicum Group],Glaucidium gnoma pinicola,Glaucidium gnoma cobanense,Glaucidium gnoma hoskinsii
84121a7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84121b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84121e3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412805ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412841ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8412847ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8412851ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
841285dffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8412887ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412893ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412897ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
841289bffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84128bdffffffff,145.0,0.0,0.0,0.0,0.0,0.0
84128d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84128dbffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84128e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84129abffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84129bbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84129bdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412a35ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412a37ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412a97ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412aa7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8412ab3ffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8412ad7ffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8412b01ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8412b03ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
8412b0bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412b0dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8412b43ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8412b4bffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8412b55ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8412b63ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8412c01ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
