cell_id,Centropus phasianinus,Centropus phasianinus mui,Centropus phasianinus spilopterus,Centropus phasianinus [phasianinus Group]
827297fffffffff,48.0,0.0,48.0,0.0
8272d7fffffffff,1.0,0.0,0.0,0.0
8272dffffffffff,15.0,0.0,0.0,0.0
8272f7fffffffff,32.0,0.0,0.0,14.0
82941ffffffffff,58.0,0.0,0.0,6.0
82942ffffffffff,15.0,6.0,0.0,0.0
829447fffffffff,1.0,0.0,0.0,0.0
82944ffffffffff,4.0,0.0,0.0,0.0
829457fffffffff,1099.0,0.0,0.0,142.0
82945ffffffffff,466.0,0.0,0.0,96.0
829487fffffffff,558.0,0.0,0.0,34.0
82948ffffffffff,31.0,0.0,0.0,0.0
829497fffffffff,34.0,0.0,0.0,0.0
8294affffffffff,28.0,0.0,0.0,2.0
8294c7fffffffff,11.0,0.0,0.0,8.0
8294cffffffffff,4.0,0.0,0.0,1.0
8294e7fffffffff,275.0,0.0,0.0,28.0
8294effffffffff,600.0,0.0,0.0,159.0
8294f7fffffffff,60.0,0.0,0.0,6.0
829c07fffffffff,551.0,0.0,0.0,158.0
829c0ffffffffff,44.0,0.0,0.0,13.0
829c1ffffffffff,326.0,0.0,0.0,37.0
829c27fffffffff,1732.0,0.0,0.0,481.0
829c2ffffffffff,62.0,0.0,0.0,9.0
829c47fffffffff,31.0,0.0,0.0,2.0
829c4ffffffffff,61.0,0.0,0.0,19.0
829c5ffffffffff,22.0,0.0,0.0,0.0
829c67fffffffff,10.0,0.0,0.0,2.0
829c6ffffffffff,7.0,0.0,0.0,0.0
829c77fffffffff,23.0,0.0,0.0,2.0
829c87fffffffff,2.0,0.0,0.0,0.0
829c8ffffffffff,1.0,0.0,0.0,1.0
829c9ffffffffff,15.0,0.0,0.0,0.0
829ca7fffffffff,44.0,0.0,0.0,36.0
829caffffffffff,271.0,0.0,0.0,78.0
829cb7fffffffff,20.0,0.0,0.0,0.0
829cc7fffffffff,9.0,0.0,0.0,4.0
829cd7fffffffff,23.0,0.0,0.0,2.0
829cdffffffffff,2.0,0.0,0.0,2.0
829ce7fffffffff,21.0,0.0,0.0,2.0
829ceffffffffff,40.0,0.0,0.0,5.0
829cf7fffffffff,116.0,0.0,0.0,42.0
829d07fffffffff,71.0,0.0,0.0,19.0
829d0ffffffffff,738.0,0.0,0.0,110.0
829d27fffffffff,402.0,0.0,0.0,39.0
829d2ffffffffff,82.0,0.0,0.0,15.0
829d47fffffffff,1.0,0.0,0.0,0.0
829d4ffffffffff,18.0,0.0,0.0,2.0
829d57fffffffff,18.0,0.0,0.0,7.0
829d5ffffffffff,17.0,0.0,0.0,0.0
829d77fffffffff,9.0,0.0,0.0,3.0
82a637fffffffff,1.0,0.0,0.0,0.0
82a6a7fffffffff,40.0,0.0,0.0,4.0
82a787fffffffff,4.0,0.0,0.0,0.0
82a78ffffffffff,4.0,0.0,0.0,0.0
82a79ffffffffff,7.0,0.0,0.0,0.0
82b89ffffffffff,4.0,0.0,0.0,0.0
82be0ffffffffff,81.0,0.0,0.0,6.0
82be1ffffffffff,420.0,0.0,0.0,60.0
82be8ffffffffff,5008.0,0.0,0.0,610.0
82beaffffffffff,680.0,0.0,0.0,58.0
82bec7fffffffff,2.0,0.0,0.0,0.0
82bed7fffffffff,44.0,0.0,0.0,9.0
82bedffffffffff,34.0,0.0,0.0,8.0
82bef7fffffffff,782.0,0.0,0.0,74.0
