cell_id,Aramus guarauna,Aramus guarauna [pictus Group],Aramus guarauna guarauna
832601fffffffff,6.0,4.0,0.0
83260efffffffff,34.0,4.0,0.0
832626fffffffff,4.0,0.0,0.0
83262afffffffff,15.0,3.0,0.0
83262efffffffff,1.0,0.0,0.0
832640fffffffff,23.0,0.0,0.0
832642fffffffff,1.0,0.0,0.0
832643fffffffff,9.0,0.0,0.0
832644fffffffff,1.0,0.0,0.0
832645fffffffff,42.0,0.0,0.0
832646fffffffff,29.0,0.0,0.0
832648fffffffff,57.0,0.0,0.0
832649fffffffff,3.0,0.0,0.0
83264afffffffff,10.0,0.0,0.0
83264cfffffffff,2.0,0.0,0.0
83264dfffffffff,7.0,1.0,0.0
832652fffffffff,15.0,0.0,0.0
832653fffffffff,30.0,2.0,0.0
832655fffffffff,12.0,0.0,0.0
832656fffffffff,42.0,2.0,0.0
832659fffffffff,4.0,1.0,0.0
83265afffffffff,5.0,0.0,0.0
83265bfffffffff,16.0,2.0,0.0
83265cfffffffff,2.0,0.0,0.0
83265dfffffffff,14.0,2.0,0.0
832661fffffffff,4.0,0.0,0.0
832664fffffffff,57.0,0.0,0.0
832666fffffffff,32.0,0.0,0.0
83266bfffffffff,10.0,0.0,0.0
83266cfffffffff,47.0,0.0,0.0
83266dfffffffff,21.0,0.0,0.0
83266efffffffff,2.0,0.0,0.0
832671fffffffff,11.0,0.0,0.0
832674fffffffff,8.0,2.0,0.0
832681fffffffff,9.0,2.0,0.0
83268cfffffffff,30.0,0.0,0.0
8326c1fffffffff,2.0,0.0,0.0
8326c4fffffffff,1.0,1.0,0.0
8326c8fffffffff,22.0,0.0,0.0
8326c9fffffffff,1.0,0.0,0.0
8326cafffffffff,5.0,0.0,0.0
8326cbfffffffff,19.0,0.0,0.0
8326cefffffffff,4.0,0.0,0.0
8326d1fffffffff,2.0,0.0,0.0
8326e0fffffffff,3.0,0.0,0.0
8326e1fffffffff,7.0,1.0,0.0
8326e2fffffffff,9.0,0.0,0.0
8326e3fffffffff,3.0,0.0,0.0
8326e4fffffffff,3.0,0.0,0.0
8326ecfffffffff,2.0,0.0,0.0
8326edfffffffff,20.0,0.0,0.0
8326eefffffffff,40.0,0.0,0.0
832743fffffffff,7.0,1.0,0.0
832748fffffffff,19.0,0.0,0.0
832749fffffffff,5.0,0.0,0.0
83274bfffffffff,2.0,0.0,0.0
83274dfffffffff,12.0,0.0,0.0
83274efffffffff,71.0,0.0,0.0
832752fffffffff,105.0,0.0,0.0
832758fffffffff,9.0,0.0,0.0
832759fffffffff,73.0,0.0,0.0
83275bfffffffff,1.0,0.0,0.0
83275cfffffffff,2.0,0.0,0.0
83275dfffffffff,33.0,0.0,0.0
83276bfffffffff,10.0,0.0,0.0
832a13fffffffff,10.0,2.0,0.0
832a83fffffffff,2.0,0.0,0.0
832a85fffffffff,6.0,0.0,0.0
832a86fffffffff,19.0,0.0,0.0
832a89fffffffff,2.0,0.0,0.0
832a8cfffffffff,11.0,0.0,0.0
832a8efffffffff,29.0,0.0,0.0
832a90fffffffff,2.0,0.0,0.0
832a91fffffffff,3.0,0.0,0.0
832a93fffffffff,13.0,2.0,0.0
832a94fffffffff,69.0,2.0,0.0
832a9cfffffffff,5.0,0.0,0.0
832aa4fffffffff,9.0,0.0,0.0
832aa8fffffffff,3.0,1.0,0.0
832aaafffffffff,53.0,2.0,0.0
832aabfffffffff,20.0,0.0,0.0
832aacfffffffff,27.0,0.0,0.0
832aaefffffffff,26.0,4.0,0.0
832ab0fffffffff,7.0,0.0,0.0
832ab1fffffffff,5.0,0.0,0.0
832ab2fffffffff,22.0,0.0,0.0
832ab3fffffffff,30.0,0.0,0.0
832ad0fffffffff,1.0,0.0,0.0
832ad3fffffffff,62.0,0.0,0.0
832ad4fffffffff,1.0,0.0,0.0
832ad5fffffffff,2.0,0.0,0.0
832ad6fffffffff,14.0,0.0,0.0
832af0fffffffff,5.0,2.0,0.0
832af6fffffffff,8.0,0.0,0.0
832b0efffffffff,9.0,1.0,0.0
832b83fffffffff,5.0,0.0,0.0
832b9afffffffff,24.0,0.0,0.0
832b9bfffffffff,31.0,8.0,0.0
834412fffffffff,10.0,0.0,0.0
834413fffffffff,57.0,8.0,0.0
834414fffffffff,4.0,0.0,0.0
834416fffffffff,19.0,0.0,0.0
83441afffffffff,66.0,2.0,0.0
83441bfffffffff,1.0,0.0,0.0
83441efffffffff,142.0,4.0,0.0
834436fffffffff,4.0,0.0,0.0
834440fffffffff,23.0,0.0,0.0
834442fffffffff,3.0,0.0,0.0
834443fffffffff,14.0,0.0,0.0
834444fffffffff,47.0,0.0,0.0
834445fffffffff,73.0,0.0,0.0
834446fffffffff,531.0,10.0,0.0
834448fffffffff,7.0,0.0,0.0
834449fffffffff,4.0,0.0,0.0
83444bfffffffff,2.0,0.0,0.0
83444cfffffffff,8.0,0.0,0.0
83444dfffffffff,3.0,0.0,0.0
83444efffffffff,1.0,0.0,0.0
834450fffffffff,22.0,2.0,0.0
834451fffffffff,6.0,0.0,0.0
834452fffffffff,5.0,0.0,0.0
834455fffffffff,72.0,0.0,0.0
834458fffffffff,2.0,0.0,0.0
834459fffffffff,2.0,0.0,0.0
83445afffffffff,15.0,0.0,0.0
83445bfffffffff,4.0,0.0,0.0
83445cfffffffff,20.0,0.0,0.0
834463fffffffff,12.0,0.0,0.0
834468fffffffff,2.0,0.0,0.0
834469fffffffff,6.0,0.0,0.0
83446bfffffffff,2.0,0.0,0.0
83446cfffffffff,324.0,10.0,0.0
83446dfffffffff,39.0,0.0,0.0
834471fffffffff,13.0,0.0,0.0
834485fffffffff,9.0,3.0,0.0
834486fffffffff,43.0,0.0,0.0
8344a1fffffffff,4.0,0.0,0.0
8344a3fffffffff,11.0,2.0,0.0
8344a5fffffffff,12.0,2.0,0.0
8344a8fffffffff,9.0,0.0,0.0
8344a9fffffffff,68.0,2.0,0.0
8344acfffffffff,76.0,0.0,0.0
8344adfffffffff,25.0,2.0,0.0
8344b0fffffffff,3.0,0.0,0.0
8344b1fffffffff,4.0,2.0,0.0
8344b2fffffffff,2.0,0.0,0.0
8344c1fffffffff,133.0,1.0,0.0
8344c2fffffffff,9.0,2.0,0.0
8344c3fffffffff,2.0,0.0,0.0
8344c4fffffffff,51.0,0.0,0.0
8344c6fffffffff,1.0,0.0,0.0
8344c8fffffffff,26.0,0.0,0.0
8344cafffffffff,22.0,0.0,0.0
8344cdfffffffff,1.0,0.0,0.0
8344d0fffffffff,98.0,1.0,0.0
8344d1fffffffff,30.0,0.0,0.0
8344d3fffffffff,2.0,0.0,0.0
8344d5fffffffff,11.0,0.0,0.0
8344d8fffffffff,38.0,2.0,0.0
8344d9fffffffff,1.0,0.0,0.0
8344dafffffffff,4.0,0.0,0.0
8344dbfffffffff,22.0,0.0,0.0
8344ddfffffffff,30.0,0.0,0.0
8344e0fffffffff,47.0,0.0,0.0
8344e1fffffffff,9.0,2.0,0.0
8344e2fffffffff,11.0,0.0,0.0
8344e3fffffffff,63.0,13.0,0.0
8344e6fffffffff,43.0,2.0,0.0
8344e8fffffffff,16.0,0.0,0.0
8344edfffffffff,1.0,0.0,0.0
8344eefffffffff,9.0,0.0,0.0
8344f0fffffffff,12.0,0.0,0.0
8344f1fffffffff,4.0,0.0,0.0
8344f3fffffffff,22.0,0.0,0.0
8344f4fffffffff,73.0,0.0,0.0
