cell_id,Icterus pustulatus,Icterus pustulatus [pustulatus Group],Icterus pustulatus [sclateri Group],Icterus pustulatus graysonii
8445205ffffffff,2.0,0.0,0.0,0.0
8445207ffffffff,2.0,0.0,0.0,0.0
8445209ffffffff,17.0,0.0,0.0,0.0
844520dffffffff,14.0,0.0,0.0,0.0
8445241ffffffff,11.0,0.0,0.0,0.0
8445243ffffffff,149.0,0.0,0.0,0.0
8445245ffffffff,15.0,0.0,0.0,0.0
8445247ffffffff,576.0,0.0,0.0,0.0
8445249ffffffff,357.0,0.0,0.0,0.0
844524bffffffff,113.0,0.0,0.0,0.0
844524dffffffff,32.0,0.0,0.0,0.0
8445251ffffffff,103.0,0.0,39.0,0.0
8445255ffffffff,274.0,0.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0,0.0
8445259ffffffff,6.0,0.0,0.0,0.0
844525bffffffff,451.0,0.0,183.0,0.0
844525dffffffff,10.0,0.0,0.0,0.0
8445261ffffffff,7.0,0.0,0.0,0.0
8445263ffffffff,11.0,0.0,0.0,0.0
8445265ffffffff,5.0,0.0,0.0,0.0
8445269ffffffff,111.0,0.0,0.0,0.0
844526bffffffff,16.0,0.0,0.0,0.0
844526dffffffff,10.0,0.0,0.0,0.0
8445309ffffffff,3.0,0.0,0.0,0.0
8445343ffffffff,7.0,0.0,0.0,0.0
8445351ffffffff,1.0,0.0,0.0,0.0
8445353ffffffff,5.0,0.0,0.0,0.0
8445359ffffffff,2.0,0.0,0.0,0.0
844535dffffffff,3.0,0.0,0.0,0.0
8448005ffffffff,2.0,0.0,0.0,0.0
8448007ffffffff,1.0,0.0,0.0,0.0
8448017ffffffff,29.0,2.0,0.0,0.0
8448021ffffffff,15.0,0.0,0.0,0.0
8448029ffffffff,2.0,0.0,0.0,0.0
844802bffffffff,285.0,2.0,0.0,0.0
8448035ffffffff,3.0,3.0,0.0,0.0
8448039ffffffff,6.0,0.0,0.0,0.0
844803bffffffff,15.0,0.0,0.0,0.0
8448061ffffffff,20.0,5.0,0.0,0.0
8448065ffffffff,163.0,13.0,0.0,0.0
8448067ffffffff,17.0,0.0,0.0,0.0
844806dffffffff,163.0,4.0,0.0,0.0
8448097ffffffff,55.0,0.0,0.0,0.0
84480a1ffffffff,5.0,0.0,0.0,0.0
84480a3ffffffff,2.0,0.0,0.0,0.0
