cell_id,Ramphastos vitellinus,Ramphastos vitellinus citreolaemus,Ramphastos vitellinus culminatus/pintoi,Ramphastos vitellinus vitellinus,Ramphastos vitellinus ariel,Ramphastos vitellinus citreolaemus x culminatus,Ramphastos vitellinus culminatus x vitellinus,Ramphastos vitellinus culminatus x ariel
825f07fffffffff,206.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
825f0ffffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f17fffffffff,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f1ffffffffff,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f2ffffffffff,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f47fffffffff,82.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
825f4ffffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f57fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f5ffffffffff,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f6ffffffffff,42.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
825f77fffffffff,178.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
82660ffffffffff,1432.0,188.0,6.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,1116.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0
826627fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,34.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
826647fffffffff,294.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82664ffffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826657fffffffff,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82665ffffffffff,562.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
826667fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82666ffffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826677fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,269.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
8266cffffffffff,102.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,2447.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,2052.0,175.0,9.0,0.0,0.0,0.0,0.0,0.0
8266effffffffff,554.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82800ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82802ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828047fffffffff,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82804ffffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828067fffffffff,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82806ffffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828077fffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828117fffffffff,45.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
828137fffffffff,408.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
828147fffffffff,129.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
82814ffffffffff,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82815ffffffffff,85.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
828167fffffffff,81.0,0.0,25.0,0.0,2.0,0.0,0.0,0.0
828177fffffffff,110.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
828187fffffffff,52.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0
8281affffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a07fffffffff,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a17fffffffff,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a1ffffffffff,17.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
828a27fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a2ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a37fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a47fffffffff,192.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
828a4ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a57fffffffff,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
828a6ffffffffff,337.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
828a77fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a87fffffffff,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a8ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a97fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828a9ffffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828aa7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828aaffffffffff,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828ab7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828ad7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828adffffffffff,70.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
