cell_id,Rhynchocyclus olivaceus,Rhynchocyclus olivaceus guianensis/sordidus,Rhynchocyclus olivaceus olivaceus
835f03fffffffff,5.0,0.0,0.0
835f06fffffffff,1.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0
835f0dfffffffff,4.0,0.0,0.0
835f0efffffffff,1.0,0.0,0.0
835f10fffffffff,4.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0
835f13fffffffff,9.0,0.0,0.0
835f14fffffffff,3.0,0.0,0.0
835f15fffffffff,2.0,1.0,0.0
835f16fffffffff,1.0,0.0,0.0
835f1cfffffffff,2.0,0.0,0.0
835f2bfffffffff,64.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0
835f41fffffffff,1.0,0.0,0.0
835f42fffffffff,3.0,0.0,0.0
835f54fffffffff,2.0,0.0,0.0
835f62fffffffff,1.0,0.0,0.0
835f68fffffffff,7.0,0.0,0.0
835f71fffffffff,4.0,0.0,0.0
838044fffffffff,6.0,0.0,0.0
838046fffffffff,47.0,0.0,0.0
838061fffffffff,1.0,0.0,0.0
838065fffffffff,16.0,0.0,0.0
838066fffffffff,3.0,0.0,0.0
838068fffffffff,1.0,0.0,0.0
838069fffffffff,2.0,0.0,0.0
838070fffffffff,1.0,0.0,0.0
838074fffffffff,4.0,0.0,0.0
838075fffffffff,6.0,0.0,0.0
838076fffffffff,1.0,0.0,0.0
838114fffffffff,1.0,0.0,0.0
838116fffffffff,3.0,0.0,0.0
838132fffffffff,17.0,0.0,0.0
838136fffffffff,15.0,0.0,0.0
838142fffffffff,2.0,0.0,0.0
838143fffffffff,1.0,0.0,0.0
83814afffffffff,23.0,0.0,0.0
83814efffffffff,2.0,0.0,0.0
838159fffffffff,7.0,0.0,0.0
83815dfffffffff,6.0,0.0,0.0
838185fffffffff,16.0,0.0,0.0
838a10fffffffff,4.0,0.0,0.0
838a15fffffffff,2.0,0.0,0.0
838a24fffffffff,1.0,0.0,0.0
838a31fffffffff,15.0,0.0,0.0
838a33fffffffff,2.0,0.0,0.0
838a80fffffffff,4.0,0.0,0.0
838a81fffffffff,6.0,0.0,0.0
838a82fffffffff,4.0,0.0,0.0
838a8afffffffff,1.0,0.0,0.0
838a8efffffffff,1.0,0.0,0.0
838a9cfffffffff,9.0,0.0,0.0
838aaafffffffff,22.0,0.0,0.0
838af2fffffffff,11.0,0.0,0.0
838af6fffffffff,143.0,0.0,0.0
838b51fffffffff,1.0,0.0,0.0
838b5cfffffffff,2.0,0.0,0.0
838b99fffffffff,3.0,0.0,0.0
838b9bfffffffff,1.0,0.0,0.0
838b9dfffffffff,24.0,0.0,0.0
838baafffffffff,1.0,0.0,0.0
83a592fffffffff,1.0,0.0,0.0
83a596fffffffff,34.0,0.0,0.0
83a859fffffffff,1.0,0.0,0.0
83a883fffffffff,8.0,0.0,0.0
83a886fffffffff,8.0,0.0,0.0
83a891fffffffff,42.0,0.0,0.0
83a89efffffffff,1.0,0.0,0.0
