cell_id,Falco columbarius,Falco columbarius [aesalon Group],Falco columbarius pallidus,Falco columbarius columbarius,Falco columbarius richardsonii,Falco columbarius suckleyi
830126fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
830130fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830131fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830134fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830135fffffffff,37.0,2.0,0.0,0.0,0.0,0.0
830740fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830741fffffffff,108.0,11.0,0.0,0.0,0.0,0.0
830742fffffffff,22.0,4.0,0.0,0.0,0.0,0.0
830743fffffffff,172.0,13.0,0.0,0.0,0.0,0.0
830744fffffffff,16.0,5.0,0.0,0.0,0.0,0.0
830745fffffffff,46.0,5.0,0.0,0.0,0.0,0.0
830746fffffffff,155.0,37.0,0.0,0.0,0.0,0.0
83074efffffffff,29.0,4.0,0.0,0.0,0.0,0.0
830751fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830753fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830755fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830758fffffffff,23.0,1.0,0.0,0.0,0.0,0.0
83075cfffffffff,51.0,3.0,0.0,0.0,0.0,0.0
83075dfffffffff,163.0,24.0,0.0,0.0,0.0,0.0
83075efffffffff,32.0,2.0,0.0,0.0,0.0,0.0
830762fffffffff,103.0,39.0,0.0,0.0,0.0,0.0
830763fffffffff,44.0,20.0,0.0,0.0,0.0,0.0
830770fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830771fffffffff,9.0,1.0,0.0,0.0,0.0,0.0
830773fffffffff,145.0,59.0,0.0,0.0,0.0,0.0
830806fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830811fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830812fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830813fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830814fffffffff,5.0,1.0,0.0,0.0,0.0,0.0
830816fffffffff,1.0,1.0,0.0,0.0,0.0,0.0
830819fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83081dfffffffff,12.0,0.0,0.0,0.0,0.0,0.0
83082dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830833fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830836fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830880fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830883fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830884fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830885fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830888fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
83088afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83088dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83088efffffffff,2.0,1.0,0.0,0.0,0.0,0.0
830890fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830893fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
830895fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830896fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830898fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830899fffffffff,19.0,1.0,0.0,0.0,0.0,0.0
83089afffffffff,31.0,0.0,0.0,0.0,0.0,0.0
83089bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83089cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83089dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83089efffffffff,15.0,0.0,0.0,0.0,0.0,0.0
8308a5fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8308b1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8308b2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308b4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308c1fffffffff,3.0,1.0,0.0,0.0,0.0,0.0
8308c2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308c8fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8308c9fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8308ccfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8308cdfffffffff,14.0,1.0,0.0,0.0,0.0,0.0
8308cefffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8308d0fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308d1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8308d3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308d4fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8308d5fffffffff,8.0,1.0,0.0,0.0,0.0,0.0
8308d8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308dbfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308e1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8308e9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8308ecfffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8308edfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8308f6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830958fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
