cell_id,Psittacara holochlorus,Psittacara holochlorus holochlorus/brewsteri,Psittacara holochlorus rubritorquis
8344a1fffffffff,208.0,3.0,0.0
834520fffffffff,1.0,0.0,1.0
834521fffffffff,31.0,0.0,9.0
834522fffffffff,1.0,0.0,0.0
834525fffffffff,2.0,0.0,0.0
834534fffffffff,3.0,0.0,2.0
83481dfffffffff,1.0,0.0,0.0
834886fffffffff,3.0,0.0,0.0
834895fffffffff,1.0,0.0,0.0
8348a2fffffffff,2.0,0.0,0.0
8348b1fffffffff,35.0,0.0,0.0
8348b2fffffffff,3.0,0.0,0.0
8348b3fffffffff,31.0,3.0,0.0
8348c6fffffffff,2.0,0.0,0.0
834980fffffffff,7.0,0.0,0.0
834983fffffffff,2.0,0.0,0.0
834990fffffffff,10.0,0.0,0.0
834996fffffffff,2.0,0.0,0.0
83499cfffffffff,4.0,1.0,0.0
83499efffffffff,2.0,2.0,0.0
8349b3fffffffff,69.0,0.0,0.0
836d04fffffffff,1.0,0.0,0.0
836d05fffffffff,4.0,0.0,0.0
836d06fffffffff,2.0,0.0,0.0
836d23fffffffff,15.0,6.0,0.0
836d28fffffffff,3.0,0.0,0.0
836d29fffffffff,2.0,0.0,0.0
836d31fffffffff,5.0,5.0,0.0
836d60fffffffff,3.0,0.0,3.0
836d65fffffffff,1.0,0.0,1.0
836d66fffffffff,1.0,0.0,1.0
836d74fffffffff,3.0,0.0,0.0
