cell_id,Emberiza godlewskii,Emberiza godlewskii [godlewskii Group],Emberiza godlewskii yunnanensis/khamensis
83240afffffffff,2.0,0.0,0.0
832450fffffffff,1.0,0.0,0.0
832456fffffffff,1.0,0.0,0.0
8324c6fffffffff,1.0,0.0,0.0
832513fffffffff,4.0,0.0,0.0
83255afffffffff,2.0,0.0,0.0
8325acfffffffff,5.0,5.0,0.0
833c0bfffffffff,5.0,0.0,0.0
833c59fffffffff,47.0,0.0,0.0
833c68fffffffff,1.0,0.0,1.0
833c6afffffffff,3.0,0.0,3.0
833d04fffffffff,1.0,0.0,0.0
8340c2fffffffff,4.0,0.0,4.0
8340defffffffff,1.0,0.0,0.0
83415afffffffff,2.0,0.0,0.0
