cell_id,Pseudastur albicollis,Pseudastur albicollis ghiesbreghti,Pseudastur albicollis costaricensis,Pseudastur albicollis williaminae,Pseudastur albicollis albicollis
824527fffffffff,976.0,17.0,0.0,0.0,0.0
82452ffffffffff,3288.0,176.0,0.0,0.0,0.0
824537fffffffff,348.0,0.0,0.0,0.0,0.0
825f07fffffffff,108.0,0.0,0.0,0.0,0.0
825f0ffffffffff,7.0,0.0,0.0,0.0,0.0
825f17fffffffff,38.0,0.0,0.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0,0.0,0.0
825f27fffffffff,1.0,0.0,0.0,0.0,0.0
825f2ffffffffff,159.0,0.0,0.0,0.0,0.0
825f37fffffffff,1.0,0.0,0.0,0.0,0.0
825f47fffffffff,11.0,0.0,0.0,0.0,0.0
825f4ffffffffff,20.0,0.0,0.0,0.0,0.0
825f57fffffffff,5.0,0.0,0.0,0.0,0.0
825f5ffffffffff,862.0,0.0,0.0,0.0,54.0
825f77fffffffff,75.0,0.0,0.0,0.0,1.0
826607fffffffff,5.0,0.0,0.0,0.0,0.0
82660ffffffffff,41.0,0.0,0.0,0.0,0.0
826617fffffffff,830.0,0.0,70.0,0.0,0.0
82661ffffffffff,34.0,0.0,0.0,0.0,0.0
826627fffffffff,38.0,0.0,0.0,0.0,0.0
82662ffffffffff,10.0,0.0,0.0,0.0,0.0
826647fffffffff,13.0,0.0,0.0,0.0,0.0
82665ffffffffff,46.0,0.0,0.0,0.0,0.0
826667fffffffff,6.0,0.0,0.0,0.0,0.0
82666ffffffffff,1.0,0.0,0.0,0.0,0.0
826687fffffffff,19.0,0.0,0.0,0.0,0.0
8266a7fffffffff,1758.0,0.0,73.0,0.0,0.0
8266b7fffffffff,1558.0,0.0,0.0,0.0,0.0
8266c7fffffffff,73.0,0.0,0.0,0.0,0.0
8266cffffffffff,6.0,0.0,0.0,0.0,0.0
8266d7fffffffff,37.0,0.0,0.0,0.0,0.0
8266dffffffffff,322.0,0.0,0.0,0.0,14.0
8266e7fffffffff,22.0,0.0,0.0,0.0,0.0
826747fffffffff,72.0,0.0,0.0,0.0,5.0
82674ffffffffff,18.0,0.0,0.0,0.0,2.0
826757fffffffff,11.0,0.0,0.0,0.0,0.0
82675ffffffffff,29.0,0.0,0.0,0.0,0.0
826797fffffffff,113.0,0.0,0.0,0.0,0.0
82679ffffffffff,269.0,0.0,0.0,0.0,0.0
826d07fffffffff,35.0,5.0,0.0,0.0,0.0
826d27fffffffff,159.0,22.0,0.0,0.0,0.0
826d2ffffffffff,445.0,99.0,0.0,0.0,0.0
826d37fffffffff,223.0,16.0,0.0,0.0,0.0
826d67fffffffff,15.0,0.0,0.0,0.0,0.0
826d6ffffffffff,5227.0,0.0,0.0,0.0,0.0
826d77fffffffff,9.0,0.0,0.0,0.0,0.0
828047fffffffff,12.0,0.0,0.0,0.0,3.0
82804ffffffffff,3.0,0.0,0.0,0.0,1.0
828067fffffffff,19.0,0.0,0.0,0.0,0.0
828077fffffffff,3.0,0.0,0.0,0.0,0.0
82812ffffffffff,2.0,0.0,0.0,0.0,0.0
82814ffffffffff,146.0,0.0,0.0,0.0,1.0
82815ffffffffff,23.0,0.0,0.0,0.0,0.0
828177fffffffff,5.0,0.0,0.0,0.0,0.0
828a27fffffffff,2.0,0.0,0.0,0.0,0.0
828a37fffffffff,1.0,0.0,0.0,0.0,0.0
828a47fffffffff,3.0,0.0,0.0,0.0,0.0
828a6ffffffffff,7.0,0.0,0.0,0.0,0.0
828a87fffffffff,4.0,0.0,0.0,0.0,0.0
828a97fffffffff,5.0,0.0,0.0,0.0,0.0
828a9ffffffffff,25.0,0.0,0.0,0.0,0.0
828aa7fffffffff,2.0,0.0,0.0,0.0,0.0
828aaffffffffff,16.0,0.0,0.0,0.0,0.0
828adffffffffff,13.0,0.0,0.0,0.0,5.0
828af7fffffffff,277.0,0.0,0.0,0.0,22.0
828b17fffffffff,3.0,0.0,0.0,0.0,0.0
828b27fffffffff,8.0,0.0,0.0,0.0,0.0
828b2ffffffffff,7.0,0.0,0.0,0.0,0.0
828b47fffffffff,10.0,0.0,0.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0,0.0,0.0
828b67fffffffff,136.0,0.0,0.0,0.0,0.0
828b6ffffffffff,10.0,0.0,0.0,0.0,0.0
828b77fffffffff,53.0,0.0,0.0,0.0,1.0
828b9ffffffffff,37.0,0.0,0.0,0.0,6.0
828ba7fffffffff,9.0,0.0,0.0,0.0,4.0
828bb7fffffffff,50.0,0.0,0.0,0.0,6.0
828e67fffffffff,13.0,0.0,0.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0,0.0,0.0
828f47fffffffff,125.0,0.0,0.0,0.0,9.0
828f4ffffffffff,12.0,0.0,0.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0,0.0,0.0
828f67fffffffff,1.0,0.0,0.0,0.0,0.0
828f6ffffffffff,2.0,0.0,0.0,0.0,0.0
828f77fffffffff,72.0,0.0,0.0,0.0,7.0
82a847fffffffff,1.0,0.0,0.0,0.0,0.0
82a857fffffffff,1.0,0.0,0.0,0.0,0.0
82a85ffffffffff,7.0,0.0,0.0,0.0,0.0
82a877fffffffff,2.0,0.0,0.0,0.0,0.0
82a8c7fffffffff,6.0,0.0,0.0,0.0,0.0
82a8d7fffffffff,9.0,0.0,0.0,0.0,0.0
82a8dffffffffff,2.0,0.0,0.0,0.0,0.0
82b327fffffffff,3.0,0.0,0.0,0.0,0.0
