cell_id,Zonotrichia capensis,Zonotrichia capensis [capensis Group],Zonotrichia capensis australis
844520dffffffff,237.0,0.0,0.0
8445241ffffffff,80.0,0.0,0.0
8445243ffffffff,54.0,0.0,0.0
8445245ffffffff,105.0,0.0,0.0
8445247ffffffff,63.0,0.0,0.0
844524bffffffff,169.0,0.0,0.0
8445253ffffffff,5.0,0.0,0.0
844525bffffffff,25.0,0.0,0.0
844525dffffffff,10.0,0.0,0.0
8445261ffffffff,1.0,0.0,0.0
8445269ffffffff,52.0,0.0,0.0
844526bffffffff,14.0,0.0,0.0
844526dffffffff,51.0,0.0,0.0
844c893ffffffff,5.0,0.0,0.0
844c897ffffffff,2.0,0.0,0.0
844cd45ffffffff,123.0,0.0,0.0
844cd47ffffffff,10.0,0.0,0.0
844cd4dffffffff,2.0,0.0,0.0
844cd69ffffffff,4.0,0.0,0.0
844cd6bffffffff,3.0,0.0,0.0
845f161ffffffff,2.0,0.0,0.0
845f163ffffffff,4.0,0.0,0.0
845f223ffffffff,5.0,0.0,0.0
845f227ffffffff,5.0,0.0,0.0
845f487ffffffff,42.0,0.0,0.0
845f4abffffffff,8.0,0.0,0.0
845f4bdffffffff,24.0,0.0,0.0
845f635ffffffff,2.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0
845f709ffffffff,1.0,0.0,0.0
845f711ffffffff,101.0,0.0,0.0
845f713ffffffff,2.0,0.0,0.0
845f719ffffffff,19.0,0.0,0.0
845f71bffffffff,1.0,0.0,0.0
845f755ffffffff,54.0,0.0,0.0
845f757ffffffff,3.0,0.0,0.0
845f759ffffffff,17.0,0.0,0.0
845f75dffffffff,5.0,0.0,0.0
846601bffffffff,9.0,0.0,0.0
8466081ffffffff,117.0,0.0,0.0
8466083ffffffff,168.0,0.0,0.0
8466085ffffffff,17.0,0.0,0.0
8466087ffffffff,205.0,0.0,0.0
8466089ffffffff,490.0,0.0,0.0
846608bffffffff,55.0,0.0,0.0
846608dffffffff,919.0,12.0,0.0
8466091ffffffff,9.0,0.0,0.0
8466095ffffffff,51.0,0.0,0.0
846609dffffffff,160.0,0.0,0.0
84660a3ffffffff,31.0,0.0,0.0
84660a5ffffffff,1.0,0.0,0.0
84660a7ffffffff,9.0,0.0,0.0
84660abffffffff,4.0,0.0,0.0
84660b1ffffffff,277.0,4.0,0.0
84660b3ffffffff,100.0,0.0,0.0
84660b5ffffffff,776.0,2.0,0.0
84660b7ffffffff,283.0,0.0,0.0
84660b9ffffffff,490.0,3.0,0.0
84660bbffffffff,785.0,0.0,0.0
84660bdffffffff,734.0,2.0,0.0
84660c1ffffffff,75.0,0.0,0.0
84660c3ffffffff,426.0,0.0,0.0
84660c7ffffffff,11.0,0.0,0.0
84660cbffffffff,63.0,0.0,0.0
84660d5ffffffff,53.0,2.0,0.0
84660d7ffffffff,4.0,0.0,0.0
84660ddffffffff,232.0,0.0,0.0
84660e3ffffffff,2.0,0.0,0.0
8466181ffffffff,362.0,6.0,0.0
8466183ffffffff,677.0,9.0,0.0
8466185ffffffff,3.0,0.0,0.0
8466187ffffffff,78.0,0.0,0.0
8466189ffffffff,33.0,0.0,0.0
846618bffffffff,564.0,5.0,0.0
846618dffffffff,17.0,0.0,0.0
8466191ffffffff,83.0,3.0,0.0
8466193ffffffff,145.0,2.0,0.0
8466195ffffffff,338.0,0.0,0.0
8466197ffffffff,1581.0,2.0,0.0
8466199ffffffff,29.0,1.0,0.0
846619bffffffff,4.0,0.0,0.0
846619dffffffff,1438.0,4.0,0.0
84661a5ffffffff,3.0,0.0,0.0
84661b1ffffffff,1218.0,0.0,0.0
84661b3ffffffff,628.0,10.0,0.0
84661b7ffffffff,46.0,0.0,0.0
84661b9ffffffff,2245.0,8.0,0.0
84661bbffffffff,3932.0,41.0,0.0
84661bdffffffff,7.0,0.0,0.0
84661c3ffffffff,11.0,0.0,0.0
84661d1ffffffff,41.0,0.0,0.0
84661d5ffffffff,296.0,0.0,0.0
84661d7ffffffff,23.0,0.0,0.0
84661ddffffffff,6.0,0.0,0.0
84661ebffffffff,1.0,0.0,0.0
8466201ffffffff,1.0,0.0,0.0
8466205ffffffff,5.0,0.0,0.0
8466207ffffffff,110.0,41.0,0.0
8466217ffffffff,1289.0,0.0,0.0
8466221ffffffff,1.0,0.0,0.0
846622bffffffff,2925.0,114.0,0.0
8466231ffffffff,2.0,0.0,0.0
