cell_id,Atlapetes albofrenatus,Atlapetes albofrenatus albofrenatus,Atlapetes albofrenatus meridae
826607fffffffff,139.0,13.0,0.0
82660ffffffffff,894.0,12.0,0.0
82662ffffffffff,303.0,0.0,70.0
8266c7fffffffff,26.0,0.0,0.0
8266e7fffffffff,1417.0,56.0,0.0
